"Candidate","Windows","TotalNetProfit","WorstWindowNetProfit","BestWindowNetProfit","ProfitableWindows","FlatWindows","LosingWindows"
"risk175","7","560.41","-172.8","457.45","2","4","1"
"sl18_tp35","7","540.51","-148.99","444.38","2","4","1"
"trail12","7","487.46","-149.76","392.1","2","4","1"
"adx16","7","487.46","-149.76","392.1","2","4","1"
"trail22","7","487.46","-149.76","392.1","2","4","1"
"adx22","7","487.46","-149.76","392.1","2","4","1"
"spread500","7","487.46","-149.76","392.1","2","4","1"
"base_risk15","7","487.46","-149.76","392.1","2","4","1"
"bos25_sweep12","7","487.46","-149.76","392.1","2","4","1"
"bos15_sweep8","7","487.46","-149.76","392.1","2","4","1"
"sl20_tp40_rr2","7","342.95","-150.07","493.02","1","5","1"
"risk200","7","321.72","0","321.72","1","6","0"
"sl26_tp39","7","261.76","0","261.76","1","6","0"
"london_only","7","245.12","0","245.12","1","6","0"
"ny_only","7","242.34","-149.76","392.1","1","5","1"
"bos30_sweep15","7","242.34","-149.76","392.1","1","5","1"
