"Rank","Score","Priority","Role","Reason","Status","Phase","Model","Profile","Set","Window","From","To","Config","ExpectedReportName","Phase1ParsedForProfile","Phase1LosingForProfile","Phase1WorstForProfile","Phase1TotalForProfile"
"1","21140","1","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","baseline_promoted","stress","2024_Q1","2024.01.01","2024.03.31","work\generated_profit_search\phase1_fast_triage\baseline_promoted\stress\baseline_promoted_2024_Q1.ini","profit_search_phase1_baseline_promoted_stress_2024_Q1","0","0","","0"
"2","21140","1","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","baseline_promoted","stress","2024_Q3","2024.07.01","2024.09.30","work\generated_profit_search\phase1_fast_triage\baseline_promoted\stress\baseline_promoted_2024_Q3.ini","profit_search_phase1_baseline_promoted_stress_2024_Q3","0","0","","0"
"3","21140","1","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","baseline_promoted","stress","2025_Q2","2025.04.01","2025.06.30","work\generated_profit_search\phase1_fast_triage\baseline_promoted\stress\baseline_promoted_2025_Q2.ini","profit_search_phase1_baseline_promoted_stress_2025_Q2","0","0","","0"
"4","21140","1","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","baseline_promoted","stress","2025_Q3","2025.07.01","2025.09.30","work\generated_profit_search\phase1_fast_triage\baseline_promoted\stress\baseline_promoted_2025_Q3.ini","profit_search_phase1_baseline_promoted_stress_2025_Q3","0","0","","0"
"5","21080","2","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","tp38_sl18","stress","2024_Q1","2024.01.01","2024.03.31","work\generated_profit_search\phase1_fast_triage\tp38_sl18\stress\tp38_sl18_2024_Q1.ini","profit_search_phase1_tp38_sl18_stress_2024_Q1","0","0","","0"
"6","21080","2","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","tp38_sl18","stress","2024_Q3","2024.07.01","2024.09.30","work\generated_profit_search\phase1_fast_triage\tp38_sl18\stress\tp38_sl18_2024_Q3.ini","profit_search_phase1_tp38_sl18_stress_2024_Q3","0","0","","0"
"7","21080","2","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","tp38_sl18","stress","2025_Q2","2025.04.01","2025.06.30","work\generated_profit_search\phase1_fast_triage\tp38_sl18\stress\tp38_sl18_2025_Q2.ini","profit_search_phase1_tp38_sl18_stress_2025_Q2","0","0","","0"
"8","21080","2","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","tp38_sl18","stress","2025_Q3","2025.07.01","2025.09.30","work\generated_profit_search\phase1_fast_triage\tp38_sl18\stress\tp38_sl18_2025_Q3.ini","profit_search_phase1_tp38_sl18_stress_2025_Q3","0","0","","0"
"9","21020","3","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","tp42_sl18","stress","2024_Q1","2024.01.01","2024.03.31","work\generated_profit_search\phase1_fast_triage\tp42_sl18\stress\tp42_sl18_2024_Q1.ini","profit_search_phase1_tp42_sl18_stress_2024_Q1","0","0","","0"
"10","21020","3","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","tp42_sl18","stress","2024_Q3","2024.07.01","2024.09.30","work\generated_profit_search\phase1_fast_triage\tp42_sl18\stress\tp42_sl18_2024_Q3.ini","profit_search_phase1_tp42_sl18_stress_2024_Q3","0","0","","0"
"11","21020","3","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","tp42_sl18","stress","2025_Q2","2025.04.01","2025.06.30","work\generated_profit_search\phase1_fast_triage\tp42_sl18\stress\tp42_sl18_2025_Q2.ini","profit_search_phase1_tp42_sl18_stress_2025_Q2","0","0","","0"
"12","21020","3","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","tp42_sl18","stress","2025_Q3","2025.07.01","2025.09.30","work\generated_profit_search\phase1_fast_triage\tp42_sl18\stress\tp42_sl18_2025_Q3.ini","profit_search_phase1_tp42_sl18_stress_2025_Q3","0","0","","0"
"13","20960","4","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","tp38_sl16","stress","2024_Q1","2024.01.01","2024.03.31","work\generated_profit_search\phase1_fast_triage\tp38_sl16\stress\tp38_sl16_2024_Q1.ini","profit_search_phase1_tp38_sl16_stress_2024_Q1","0","0","","0"
"14","20960","4","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","tp38_sl16","stress","2024_Q3","2024.07.01","2024.09.30","work\generated_profit_search\phase1_fast_triage\tp38_sl16\stress\tp38_sl16_2024_Q3.ini","profit_search_phase1_tp38_sl16_stress_2024_Q3","0","0","","0"
"15","20960","4","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","tp38_sl16","stress","2025_Q2","2025.04.01","2025.06.30","work\generated_profit_search\phase1_fast_triage\tp38_sl16\stress\tp38_sl16_2025_Q2.ini","profit_search_phase1_tp38_sl16_stress_2025_Q2","0","0","","0"
"16","20960","4","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","tp38_sl16","stress","2025_Q3","2025.07.01","2025.09.30","work\generated_profit_search\phase1_fast_triage\tp38_sl16\stress\tp38_sl16_2025_Q3.ini","profit_search_phase1_tp38_sl16_stress_2025_Q3","0","0","","0"
"17","20900","5","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","tp42_sl16","stress","2024_Q1","2024.01.01","2024.03.31","work\generated_profit_search\phase1_fast_triage\tp42_sl16\stress\tp42_sl16_2024_Q1.ini","profit_search_phase1_tp42_sl16_stress_2024_Q1","0","0","","0"
"18","20900","5","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","tp42_sl16","stress","2024_Q3","2024.07.01","2024.09.30","work\generated_profit_search\phase1_fast_triage\tp42_sl16\stress\tp42_sl16_2024_Q3.ini","profit_search_phase1_tp42_sl16_stress_2024_Q3","0","0","","0"
"19","20900","5","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","tp42_sl16","stress","2025_Q2","2025.04.01","2025.06.30","work\generated_profit_search\phase1_fast_triage\tp42_sl16\stress\tp42_sl16_2025_Q2.ini","profit_search_phase1_tp42_sl16_stress_2025_Q2","0","0","","0"
"20","20900","5","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","tp42_sl16","stress","2025_Q3","2025.07.01","2025.09.30","work\generated_profit_search\phase1_fast_triage\tp42_sl16\stress\tp42_sl16_2025_Q3.ini","profit_search_phase1_tp42_sl16_stress_2025_Q3","0","0","","0"
"21","20890","1","Fast prune","Fast full-period sanity check.","MISSING_REPORT","phase1_fast_triage","2","baseline_promoted","full","full","2024.01.01","2026.07.02","work\generated_profit_search\phase1_fast_triage\baseline_promoted\full\baseline_promoted_full.ini","profit_search_phase1_baseline_promoted_full_full","0","0","","0"
"22","20840","6","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","tp45_sl18","stress","2024_Q1","2024.01.01","2024.03.31","work\generated_profit_search\phase1_fast_triage\tp45_sl18\stress\tp45_sl18_2024_Q1.ini","profit_search_phase1_tp45_sl18_stress_2024_Q1","0","0","","0"
"23","20840","6","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","tp45_sl18","stress","2024_Q3","2024.07.01","2024.09.30","work\generated_profit_search\phase1_fast_triage\tp45_sl18\stress\tp45_sl18_2024_Q3.ini","profit_search_phase1_tp45_sl18_stress_2024_Q3","0","0","","0"
"24","20840","6","Fast prune","Stress-window fast prune.","MISSING_REPORT","phase1_fast_triage","2","tp45_sl18","stress","2025_Q2","2025.04.01","2025.06.30","work\generated_profit_search\phase1_fast_triage\tp45_sl18\stress\tp45_sl18_2025_Q2.ini","profit_search_phase1_tp45_sl18_stress_2025_Q2","0","0","","0"
