"Candidate","Windows","TotalNetProfit","WorstWindowNetProfit","BestWindowNetProfit","ProfitableWindows","FlatWindows","LosingWindows"
"risk160_sl18_tp38","7","798","0","526.51","2","5","0"
"risk160_sl16_tp38","7","798","0","526.51","2","5","0"
"risk170_sl18_tp35","7","785.49","0","509.73","2","5","0"
"risk165_sl18_tp35","7","757.1","0","496.66","2","5","0"
"base_risk160_sl18_tp35","7","744.03","0","483.59","2","5","0"
"risk160_sl17_tp35","7","744.03","0","483.59","2","5","0"
"risk160_sl16_tp35","7","744.03","0","483.59","2","5","0"
"risk160_sl19_tp35","7","585.15","-158.88","483.59","2","4","1"
"risk155_sl18_tp35","7","547.24","-155.33","457.45","2","4","1"
"risk160_sl18_tp32","7","442.15","0","442.15","1","6","0"
