"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","BaseProfileSha256","SignalTimeframe","AdaptiveEnabled","VolatilityTimeframe","VolatilityATRPeriod","BaselineBars","MinimumScale","MaximumScale","StopRule"
"1","avp_fixed_control","1","adaptive_volatility_portfolio","1","discovery_model1","avp_fixed_control.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_avp_fixed_control_older_2015_2018_m1.ini","avp_fixed_control_older_2015_2018_m1","profiles\avp_fixed_control.set","3E3E636166052846C4A517420E18D9436C2610218DDBA7362C499E10C56C7F5D","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","false","16385","20","126","0.75","1.25","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass."
"2","avp_fixed_control","1","adaptive_volatility_portfolio","1","discovery_model1","avp_fixed_control.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_avp_fixed_control_discovery_2019_2020_m1.ini","avp_fixed_control_discovery_2019_2020_m1","profiles\avp_fixed_control.set","3E3E636166052846C4A517420E18D9436C2610218DDBA7362C499E10C56C7F5D","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","false","16385","20","126","0.75","1.25","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass."
"3","avp_fixed_control","1","adaptive_volatility_portfolio","1","discovery_model1","avp_fixed_control.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_avp_fixed_control_continuous_2015_2020_m1.ini","avp_fixed_control_continuous_2015_2020_m1","profiles\avp_fixed_control.set","3E3E636166052846C4A517420E18D9436C2610218DDBA7362C499E10C56C7F5D","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","false","16385","20","126","0.75","1.25","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass."
"4","avp_center","2","adaptive_volatility_portfolio","1","discovery_model1","avp_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_avp_center_older_2015_2018_m1.ini","avp_center_older_2015_2018_m1","profiles\avp_center.set","C7821D959D1EA0ACD0AD8189D1F24948FFA08D8E26097ADBCC54B2393CA09138","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","16385","20","126","0.75","1.25","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass."
"5","avp_center","2","adaptive_volatility_portfolio","1","discovery_model1","avp_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_avp_center_discovery_2019_2020_m1.ini","avp_center_discovery_2019_2020_m1","profiles\avp_center.set","C7821D959D1EA0ACD0AD8189D1F24948FFA08D8E26097ADBCC54B2393CA09138","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","16385","20","126","0.75","1.25","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass."
"6","avp_center","2","adaptive_volatility_portfolio","1","discovery_model1","avp_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_avp_center_continuous_2015_2020_m1.ini","avp_center_continuous_2015_2020_m1","profiles\avp_center.set","C7821D959D1EA0ACD0AD8189D1F24948FFA08D8E26097ADBCC54B2393CA09138","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","16385","20","126","0.75","1.25","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass."
"7","avp_bounds80_120","3","adaptive_volatility_portfolio","1","discovery_model1","avp_bounds80_120.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_avp_bounds80_120_older_2015_2018_m1.ini","avp_bounds80_120_older_2015_2018_m1","profiles\avp_bounds80_120.set","A36E93BF86E90B7100C6DF2B881E9D513E80FDB39931DB884C210431D796F20D","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","16385","20","126","0.80","1.20","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass."
"8","avp_bounds80_120","3","adaptive_volatility_portfolio","1","discovery_model1","avp_bounds80_120.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_avp_bounds80_120_discovery_2019_2020_m1.ini","avp_bounds80_120_discovery_2019_2020_m1","profiles\avp_bounds80_120.set","A36E93BF86E90B7100C6DF2B881E9D513E80FDB39931DB884C210431D796F20D","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","16385","20","126","0.80","1.20","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass."
"9","avp_bounds80_120","3","adaptive_volatility_portfolio","1","discovery_model1","avp_bounds80_120.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_avp_bounds80_120_continuous_2015_2020_m1.ini","avp_bounds80_120_continuous_2015_2020_m1","profiles\avp_bounds80_120.set","A36E93BF86E90B7100C6DF2B881E9D513E80FDB39931DB884C210431D796F20D","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","16385","20","126","0.80","1.20","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass."
"10","avp_bounds85_115","4","adaptive_volatility_portfolio","1","discovery_model1","avp_bounds85_115.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_avp_bounds85_115_older_2015_2018_m1.ini","avp_bounds85_115_older_2015_2018_m1","profiles\avp_bounds85_115.set","C04DE71AA3E18ABF2E2CDFFF6B38F60BACB74112D117EE26DBAB827469CC7D75","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","16385","20","126","0.85","1.15","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass."
