"QueueRank","Candidate","CandidateRank","SourceType","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","BaseProfileSha256","AdaptiveEnabled","VolatilityTimeframe","VolatilityATRPeriod","BaselineBars","MinimumScale","MaximumScale","StopRule","Status","ReportPath","ReportSha256","ReportSourceIdentityPass","ReportDisposition","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"1","avp_fixed_control","1","adaptive_volatility_portfolio","discovery_model1","avp_fixed_control.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_avp_fixed_control_older_2015_2018_m1.ini","avp_fixed_control_older_2015_2018_m1","profiles\avp_fixed_control.set","3E3E636166052846C4A517420E18D9436C2610218DDBA7362C499E10C56C7F5D","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","false","16385","20","126","0.75","1.25","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_fixed_control_older_2015_2018_m1.htm","15D0178A16811A66F8DE745391932421E790B33B8964C21BE896929E4D7FEB21","True","REPRODUCED_AFTER_IDENTITY_RETRY","10000","1460","3.9973","814.7","10814.7","8.15","2.04","1.98","1.87","5.36","7.27","46.05","152","5","105.51","1.01","75.68","105.51","7.7215"
"2","avp_fixed_control","1","adaptive_volatility_portfolio","discovery_model1","avp_fixed_control.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_avp_fixed_control_discovery_2019_2020_m1.ini","avp_fixed_control_discovery_2019_2020_m1","profiles\avp_fixed_control.set","3E3E636166052846C4A517420E18D9436C2610218DDBA7362C499E10C56C7F5D","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","false","16385","20","126","0.75","1.25","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_fixed_control_discovery_2019_2020_m1.htm","4CE2E59362FFB861BFA1928C24B77086A08199BE0FD064BAC207BFC9DB8DCC73","True","FIRST_VALID_EXPORT","10000","730","1.9986","-105.45","9894.55","-1.05","-0.53","-0.53","0.84","-1.46","-1.84","37.5","72","7","313.42","3.08","274.79","313.42","-0.3364"
"3","avp_fixed_control","1","adaptive_volatility_portfolio","discovery_model1","avp_fixed_control.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_avp_fixed_control_continuous_2015_2020_m1.ini","avp_fixed_control_continuous_2015_2020_m1","profiles\avp_fixed_control.set","3E3E636166052846C4A517420E18D9436C2610218DDBA7362C499E10C56C7F5D","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","false","16385","20","126","0.75","1.25","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_fixed_control_continuous_2015_2020_m1.htm","78B4168E8903CC5321C145A462DA775D0D35E174BCC104076EEE32259B82A6D1","True","FIRST_VALID_EXPORT","10000","2191","5.9986","694.13","10694.13","6.94","1.16","1.13","1.42","3.09","4.07","43.11","225","7","303.87","2.77","265.24","303.87","2.2843"
"4","avp_center","2","adaptive_volatility_portfolio","discovery_model1","avp_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_avp_center_older_2015_2018_m1.ini","avp_center_older_2015_2018_m1","profiles\avp_center.set","C7821D959D1EA0ACD0AD8189D1F24948FFA08D8E26097ADBCC54B2393CA09138","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","20","126","0.75","1.25","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_center_older_2015_2018_m1.htm","197D17DA8385CC2BD7240A8B20B5D176352F9981BB9F1A28A66F958125DD73FB","True","REPRODUCED_AFTER_IDENTITY_RETRY","10000","1460","3.9973","810.02","10810.02","8.1","2.03","1.97","1.82","5.33","6.99","46.05","152","5","108.35","1.03","80.65","108.35","7.476"
"5","avp_center","2","adaptive_volatility_portfolio","discovery_model1","avp_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_avp_center_discovery_2019_2020_m1.ini","avp_center_discovery_2019_2020_m1","profiles\avp_center.set","C7821D959D1EA0ACD0AD8189D1F24948FFA08D8E26097ADBCC54B2393CA09138","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","20","126","0.75","1.25","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_center_discovery_2019_2020_m1.htm","D3BC1DA5D4BA53D27A84B5834D8A6F19D575F998748BEE9B53B0BB545CE481EE","True","FIRST_VALID_EXPORT","10000","730","1.9986","-172.06","9827.94","-1.72","-0.86","-0.86","0.76","-2.39","-2.65","37.5","72","7","352.35","3.47","314.35","352.35","-0.4883"
"6","avp_center","2","adaptive_volatility_portfolio","discovery_model1","avp_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_avp_center_continuous_2015_2020_m1.ini","avp_center_continuous_2015_2020_m1","profiles\avp_center.set","C7821D959D1EA0ACD0AD8189D1F24948FFA08D8E26097ADBCC54B2393CA09138","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","20","126","0.75","1.25","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_center_continuous_2015_2020_m1.htm","B9BB1E8CEC74B0B6DCB0AEDDB0ACBE19937D562C5849DE649CFA6CEF3346F3A0","True","FIRST_VALID_EXPORT","10000","2191","5.9986","628","10628","6.28","1.05","1.02","1.35","2.79","3.4","43.11","225","7","376.8","3.43","328.16","376.8","1.6667"
"7","avp_bounds80_120","3","adaptive_volatility_portfolio","discovery_model1","avp_bounds80_120.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_avp_bounds80_120_older_2015_2018_m1.ini","avp_bounds80_120_older_2015_2018_m1","profiles\avp_bounds80_120.set","A36E93BF86E90B7100C6DF2B881E9D513E80FDB39931DB884C210431D796F20D","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","20","126","0.80","1.20","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_bounds80_120_older_2015_2018_m1.htm","9730AF4D86206F7F74C7A399001BB019E96F7493B45EA87F930918CEF6B1F7C0","True","FIRST_VALID_EXPORT","10000","1460","3.9973","811.49","10811.49","8.11","2.03","1.97","1.82","5.34","7.01","46.05","152","5","105.51","1.01","86.78","105.51","7.6911"
"8","avp_bounds80_120","3","adaptive_volatility_portfolio","discovery_model1","avp_bounds80_120.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_avp_bounds80_120_discovery_2019_2020_m1.ini","avp_bounds80_120_discovery_2019_2020_m1","profiles\avp_bounds80_120.set","A36E93BF86E90B7100C6DF2B881E9D513E80FDB39931DB884C210431D796F20D","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","20","126","0.80","1.20","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_bounds80_120_discovery_2019_2020_m1.htm","5BA59A9EB4AB035757E4298410BF9DED9D616EE3F4206EF8727D4A6F8837DA5B","True","FIRST_VALID_EXPORT","10000","730","1.9986","-177.16","9822.84","-1.77","-0.89","-0.89","0.75","-2.46","-2.86","37.5","72","7","346.1","3.41","312.03","346.1","-0.5119"
"9","avp_bounds80_120","3","adaptive_volatility_portfolio","discovery_model1","avp_bounds80_120.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_avp_bounds80_120_continuous_2015_2020_m1.ini","avp_bounds80_120_continuous_2015_2020_m1","profiles\avp_bounds80_120.set","A36E93BF86E90B7100C6DF2B881E9D513E80FDB39931DB884C210431D796F20D","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","20","126","0.80","1.20","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_bounds80_120_continuous_2015_2020_m1.htm","09358DB8C5E52B375C1F379615BA669A2D01A114FE4B734C593394BBC8DEC33F","True","FIRST_VALID_EXPORT","10000","2191","5.9986","590.71","10590.71","5.91","0.98","0.96","1.33","2.63","3.21","43.11","225","7","391.07","3.57","370.94","391.07","1.5105"
"10","avp_bounds85_115","4","adaptive_volatility_portfolio","discovery_model1","avp_bounds85_115.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_avp_bounds85_115_older_2015_2018_m1.ini","avp_bounds85_115_older_2015_2018_m1","profiles\avp_bounds85_115.set","C04DE71AA3E18ABF2E2CDFFF6B38F60BACB74112D117EE26DBAB827469CC7D75","EE792939C2E50CED18DA0F5B2E885FB30F14ED58CA97AFB92CA553F6AC4C1229","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","16385","20","126","0.85","1.15","Discovery only: both eras positive; continuous PF >= 1.35, trades >= 180, DD <= 5%; at least 5% control-relative net or return/DD improvement under the frozen quality tolerances; one adjacent adaptive pass.","PARSED","outputs\adaptive_volatility_portfolio_discovery_model1_package\reports_here\avp_bounds85_115_older_2015_2018_m1.htm","66B2DFBD8CDA158752645744C5CE8E4C22C387221B41F4B322B8E95D0E498D93","True","FIRST_VALID_EXPORT","10000","1460","3.9973","808.26","10808.26","8.08","2.02","1.96","1.83","5.32","6.99","46.05","152","5","105.51","1.01","86.78","105.51","7.6605"
