"Lanes","Reason","Count","Percent","AvgQualityScore","AvgPriceActionScore"
"primary","session closed","14732","64.8","0.74","8.32"
"primary","no setup","4021","17.69","0","5.67"
"primary","month filter","3228","14.2","1.56","12.91"
"primary","month day window","481","2.12","1.51","12.08"
"primary","spread","80","0.35","1.48","11.69"
"primary","month start filter","42","0.18","1.9","14.38"
"primary","equity profit peak trail","30","0.13","1.83","14.33"
"primary","minimum RR","25","0.11","1.4","14.2"
"primary","trade failed: not enough money","16","0.07","1.44","9.12"
"primary","liquidity max stop ATR","14","0.06","1.79","15.36"
"primary","daily profit lock","13","0.06","1.46","12.92"
"primary","max positions","10","0.04","1.8","12.3"
"breakout_continuation|in_session_liquidity_pullback","minimum RR","10","0.04","4.8","13"
"breakout_continuation|flat_structural_displacement","month filter","7","0.03","6","20"
"primary","entered sell","4","0.02","1.5","9.25"
"primary","trade spacing","2","0.01","3","20"
"primary","spread regime","2","0.01","2","18"
"primary","weak regime score 3 netATR 0.38 alt 47.1 adx 17.0","1","0","1","11"
"primary","weak regime score 3 netATR 0.33 alt 52.9 adx 16.2","1","0","1","3"
"range_reversion|flat_micro_reversion","session closed","1","0","5","12"
"primary","weak regime score 3 netATR 0.24 alt 52.9 adx 18.2","1","0","1","5"
"breakout_continuation|in_session_liquidity_pullback","entered buy","1","0","6","17"
"breakout_continuation|in_session_liquidity_pullback","daily profit lock","1","0","4","15"
"primary","weak regime score 4 netATR 0.02 alt 58.8 adx 15.5","1","0","1","8"
"primary","weak regime score 3 netATR 0.42 alt 47.1 adx 11.2","1","0","1","13"
"primary","weak regime score 3 netATR 0.54 alt 58.8 adx 24.8","1","0","3","16"
"primary","weak regime score 3 netATR 2.54 alt 64.7 adx 19.1","1","0","1","6"
"primary","entered buy","1","0","1","8"
"primary","weak regime score 3 netATR 0.64 alt 58.8 adx 52.1","1","0","1","10"
"primary","weak regime score 3 netATR 0.42 alt 35.3 adx 10.9","1","0","1","8"
"primary","weak regime score 3 netATR 0.02 alt 41.2 adx 9.6","1","0","1","11"
"primary","cooldown","1","0","3","24"
"primary","weak regime score 3 netATR 0.26 alt 35.3 adx 11.1","1","0","1","9"
