"Reason","Count","Percent","SignalRows","EnteredRows","AvgConfirmations","AvgQualityScore","AvgPriceActionScore","AvgSpreadPoints"
"session closed","14733","64.81","7556","0","0.62","0.74","8.32","20.72"
"no setup","4021","17.69","0","0","0","0","5.67","16.67"
"month filter","3235","14.23","3235","0","1.26","1.57","12.92","17.3"
"month day window","481","2.12","481","0","1.23","1.51","12.08","12.64"
"spread","80","0.35","80","0","1.21","1.48","11.69","17.86"
"month start filter","42","0.18","42","0","1.43","1.9","14.38","13.43"
"minimum RR","35","0.15","35","0","1.54","2.37","13.86","12"
"equity profit peak trail","30","0.13","30","0","1.4","1.83","14.33","11.5"
"trade failed: not enough money","16","0.07","16","0","1.12","1.44","9.12","12.69"
"daily profit lock","14","0.06","14","0","1.29","1.64","13.07","11.43"
"liquidity max stop ATR","14","0.06","14","0","1.36","1.79","15.36","11.21"
"max positions","10","0.04","10","0","1.4","1.8","12.3","15"
"entered sell","4","0.02","4","4","1.25","1.5","9.25","7.5"
"trade spacing","2","0.01","2","0","2","3","20","14.5"
"spread regime","2","0.01","2","0","1.5","2","18","36"
"entered buy","2","0.01","2","2","2","3.5","12.5","14.5"
"weak regime score 3 netATR 0.38 alt 47.1 adx 17.0","1","0","1","0","1","1","11","21"
"weak regime score 3 netATR 0.24 alt 52.9 adx 18.2","1","0","1","0","1","1","5","21"
"weak regime score 3 netATR 0.02 alt 41.2 adx 9.6","1","0","1","0","1","1","11","12"
"weak regime score 3 netATR 0.42 alt 47.1 adx 11.2","1","0","1","0","1","1","13","16"
"weak regime score 4 netATR 0.02 alt 58.8 adx 15.5","1","0","1","0","1","1","8","17"
"weak regime score 3 netATR 0.33 alt 52.9 adx 16.2","1","0","1","0","1","1","3","21"
"weak regime score 3 netATR 2.54 alt 64.7 adx 19.1","1","0","1","0","1","1","6","6"
"weak regime score 3 netATR 0.64 alt 58.8 adx 52.1","1","0","1","0","1","1","10","14"
"weak regime score 3 netATR 0.54 alt 58.8 adx 24.8","1","0","1","0","2","3","16","13"
"weak regime score 3 netATR 0.42 alt 35.3 adx 10.9","1","0","1","0","1","1","8","13"
"cooldown","1","0","1","0","2","3","24","7"
"weak regime score 3 netATR 0.26 alt 35.3 adx 11.1","1","0","1","0","1","1","9","10"
