"Window","Rows","SignalRows","EnteredRows","TopReason","TopReasonCount","AvgQualityScoreOnSignals","AvgPriceActionScoreOnSignals"
"2024_01","1923","926","0","session closed","1251","1.45","11.45"
"2024_02","1830","835","0","session closed","1190","1.49","12"
"2024_04","1932","875","0","session closed","1260","1.48","12.12"
"2024_05","2014","913","3","session closed","1310","1.5","11.97"
"2024_09","1830","820","0","session closed","1190","1.52","12.79"
"2024_10","2024","968","0","session closed","1320","1.52","12.59"
"2025_01","1908","864","0","session closed","1236","1.53","12.55"
"2025_04","1840","1027","0","session closed","1200","1.48","11.41"
"2025_06","1830","838","0","session closed","1190","1.54","11.86"
"2026_01","1922","1140","0","session closed","1250","1.47","11.3"
"2026_05","1843","1146","2","session closed","1171","1.44","10.96"
"2026_06","1837","1183","1","session closed","1165","1.5","10.87"
