"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","brs_uncapped_sweep_on","","broker_risk_sizing_probe","","fast_model1","brs_uncapped_sweep_on.set","continuous_2019_2026","2019.01.01","2026.07.12","1","configs\001_brs_uncapped_sweep_on_continuous_2019_2026_m1.ini","broker_risk_brs_uncapped_sweep_on_continuous_2019_2026_m1","profiles\brs_uncapped_sweep_on.set","2487B897337D3A33D6DD7371C6D10DEB7A2AE2E480D9857FD93D825AF688E19B","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\broker_risk_brs_uncapped_sweep_on_continuous_2019_2026_m1.htm","1000","2749","7.5264","-38.84","961.16","-3.88","-0.52","-0.52","0.55","-0.71","-5","29.09","55","12","43.15","4.3","40","43.15","-0.9","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"2","brs_uncapped_sweep_on","","broker_risk_sizing_probe","","fast_model1","brs_uncapped_sweep_on.set","2019_full","2019.01.01","2019.12.31","1","configs\002_brs_uncapped_sweep_on_2019_full_m1.ini","broker_risk_brs_uncapped_sweep_on_2019_full_m1","profiles\brs_uncapped_sweep_on.set","2487B897337D3A33D6DD7371C6D10DEB7A2AE2E480D9857FD93D825AF688E19B","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\broker_risk_brs_uncapped_sweep_on_2019_full_m1.htm","1000","364","0.9966","-1.87","998.13","-0.19","-0.19","-0.19","0","-1.87","-0.08","0","1","1","2.49","0.25","1.87","2.49","-0.75","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"3","brs_uncapped_sweep_on","","broker_risk_sizing_probe","","fast_model1","brs_uncapped_sweep_on.set","2020_full","2020.01.01","2020.12.31","1","configs\003_brs_uncapped_sweep_on_2020_full_m1.ini","broker_risk_brs_uncapped_sweep_on_2020_full_m1","profiles\brs_uncapped_sweep_on.set","2487B897337D3A33D6DD7371C6D10DEB7A2AE2E480D9857FD93D825AF688E19B","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\broker_risk_brs_uncapped_sweep_on_2020_full_m1.htm","1000","365","0.9993","-1.79","998.21","-0.18","-0.18","-0.18","0.78","-0.36","-0.23","40","5","2","15.08","1.49","7.85","15.08","-0.12","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"4","brs_uncapped_sweep_on","","broker_risk_sizing_probe","","fast_model1","brs_uncapped_sweep_on.set","2021_full","2021.01.01","2021.12.31","1","configs\004_brs_uncapped_sweep_on_2021_full_m1.ini","broker_risk_brs_uncapped_sweep_on_2021_full_m1","profiles\brs_uncapped_sweep_on.set","2487B897337D3A33D6DD7371C6D10DEB7A2AE2E480D9857FD93D825AF688E19B","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\broker_risk_brs_uncapped_sweep_on_2021_full_m1.htm","1000","364","0.9966","-5.59","994.41","-0.56","-0.56","-0.56","0.75","-0.37","-3.37","26.67","15","7","34.29","3.37","18.37","34.29","-0.16","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"5","brs_uncapped_sweep_on","","broker_risk_sizing_probe","","fast_model1","brs_uncapped_sweep_on.set","2022_full","2022.01.01","2022.12.31","1","configs\005_brs_uncapped_sweep_on_2022_full_m1.ini","broker_risk_brs_uncapped_sweep_on_2022_full_m1","profiles\brs_uncapped_sweep_on.set","2487B897337D3A33D6DD7371C6D10DEB7A2AE2E480D9857FD93D825AF688E19B","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\broker_risk_brs_uncapped_sweep_on_2022_full_m1.htm","1000","364","0.9966","-1.85","998.15","-0.18","-0.19","-0.19","0.92","-0.14","-0.61","46.15","13","3","34.18","3.35","16.78","34.18","-0.05","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"6","brs_uncapped_sweep_on","","broker_risk_sizing_probe","","fast_model1","brs_uncapped_sweep_on.set","2023_full","2023.01.01","2023.12.31","1","configs\006_brs_uncapped_sweep_on_2023_full_m1.ini","broker_risk_brs_uncapped_sweep_on_2023_full_m1","profiles\brs_uncapped_sweep_on.set","2487B897337D3A33D6DD7371C6D10DEB7A2AE2E480D9857FD93D825AF688E19B","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\broker_risk_brs_uncapped_sweep_on_2023_full_m1.htm","1000","364","0.9966","-26.76","973.24","-2.68","-2.69","-2.69","0.06","-1.78","-5","13.33","15","12","35.08","3.48","28.04","35.08","-0.76","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"7","brs_uncapped_sweep_on","","broker_risk_sizing_probe","","fast_model1","brs_uncapped_sweep_on.set","2024_full","2024.01.01","2024.12.31","1","configs\007_brs_uncapped_sweep_on_2024_full_m1.ini","broker_risk_brs_uncapped_sweep_on_2024_full_m1","profiles\brs_uncapped_sweep_on.set","2487B897337D3A33D6DD7371C6D10DEB7A2AE2E480D9857FD93D825AF688E19B","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\broker_risk_brs_uncapped_sweep_on_2024_full_m1.htm","1000","365","0.9993","49.34","1049.34","4.93","4.94","4.94","5.33","4.49","12.28","54.55","11","4","13.55","1.29","7.84","13.55","3.64","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"8","brs_uncapped_sweep_on","","broker_risk_sizing_probe","","fast_model1","brs_uncapped_sweep_on.set","2025_full","2025.01.01","2025.12.31","1","configs\008_brs_uncapped_sweep_on_2025_full_m1.ini","broker_risk_brs_uncapped_sweep_on_2025_full_m1","profiles\brs_uncapped_sweep_on.set","2487B897337D3A33D6DD7371C6D10DEB7A2AE2E480D9857FD93D825AF688E19B","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\broker_risk_brs_uncapped_sweep_on_2025_full_m1.htm","1000","364","0.9966","-8.07","991.93","-0.81","-0.81","-0.81","0.17","-2.02","-1.1","50","4","1","11.15","1.11","8.3","11.15","-0.72","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"9","brs_uncapped_sweep_on","","broker_risk_sizing_probe","","fast_model1","brs_uncapped_sweep_on.set","2026_ytd","2026.01.01","2026.07.12","1","configs\009_brs_uncapped_sweep_on_2026_ytd_m1.ini","broker_risk_brs_uncapped_sweep_on_2026_ytd_m1","profiles\brs_uncapped_sweep_on.set","2487B897337D3A33D6DD7371C6D10DEB7A2AE2E480D9857FD93D825AF688E19B","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\broker_risk_brs_uncapped_sweep_on_2026_ytd_m1.htm","1000","192","0.5257","-4.18","995.82","-0.42","-0.8","-0.79","0","-4.18","-0.02","0","1","1","14.07","1.39","4.18","14.07","-0.3","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"10","brs_uncapped_sweep_off","","broker_risk_sizing_probe","","fast_model1","brs_uncapped_sweep_off.set","continuous_2019_2026","2019.01.01","2026.07.12","1","configs\010_brs_uncapped_sweep_off_continuous_2019_2026_m1.ini","broker_risk_brs_uncapped_sweep_off_continuous_2019_2026_m1","profiles\brs_uncapped_sweep_off.set","B27CF011E9808970D2F85FF3FBCEBB97742175CC694708970DDCC09602E6C8F9","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\broker_risk_brs_uncapped_sweep_off_continuous_2019_2026_m1.htm","1000","2749","7.5264","-1.34","998.66","-0.13","-0.02","-0.02","0.91","-0.12","-0.56","36.36","11","2","11.32","1.13","6.26","11.32","-0.12","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
