Profile,StressRPerTrade,Year,Trades,NetProfit,StartingBalance,EndingBalance,ReturnPercent
dd_0.05_rv_0.35_mom_0.10,0.0,2015,22,212.98,10000.0,10212.98,2.13
dd_0.05_rv_0.35_mom_0.10,0.0,2016,40,248.36,10212.98,10461.34,2.432
dd_0.05_rv_0.35_mom_0.10,0.0,2017,53,84.52,10461.34,10545.86,0.808
dd_0.05_rv_0.35_mom_0.10,0.0,2018,54,311.75,10545.86,10857.61,2.956
dd_0.05_rv_0.35_mom_0.10,0.0,2019,39,-61.25,10857.61,10796.36,-0.564
dd_0.05_rv_0.35_mom_0.10,0.0,2020,35,6.84,10796.36,10803.2,0.063
dd_0.05_rv_0.35_mom_0.10,0.0,2021,37,346.47,10803.2,11149.67,3.207
dd_0.05_rv_0.35_mom_0.10,0.0,2022,43,50.39,11149.67,11200.06,0.452
dd_0.05_rv_0.35_mom_0.10,0.0,2023,46,154.94,11200.06,11355.0,1.383
dd_0.05_rv_0.35_mom_0.10,0.0,2024,35,144.08,11355.0,11499.08,1.269
dd_0.05_rv_0.35_mom_0.10,0.0,2025,7,16.51,11499.08,11515.59,0.144
dd_0.05_rv_0.35_mom_0.10,0.0,2026,2,212.24,11515.59,11727.83,1.843
dd_0.05_rv_0.35_mom_0.10,0.05,2015,22,196.94,10000.0,10196.94,1.969
dd_0.05_rv_0.35_mom_0.10,0.05,2016,40,225.58,10196.94,10422.52,2.212
dd_0.05_rv_0.35_mom_0.10,0.05,2017,53,50.38,10422.52,10472.9,0.483
dd_0.05_rv_0.35_mom_0.10,0.05,2018,54,274.93,10472.9,10747.83,2.625
dd_0.05_rv_0.35_mom_0.10,0.05,2019,39,-81.19,10747.83,10666.64,-0.755
dd_0.05_rv_0.35_mom_0.10,0.05,2020,35,-20.16,10666.64,10646.48,-0.189
dd_0.05_rv_0.35_mom_0.10,0.05,2021,37,313.53,10646.48,10960.01,2.945
dd_0.05_rv_0.35_mom_0.10,0.05,2022,43,25.08,10960.01,10985.09,0.229
dd_0.05_rv_0.35_mom_0.10,0.05,2023,46,122.52,10985.09,11107.61,1.115
dd_0.05_rv_0.35_mom_0.10,0.05,2024,35,115.38,11107.61,11222.99,1.039
dd_0.05_rv_0.35_mom_0.10,0.05,2025,7,8.25,11222.99,11231.24,0.074
dd_0.05_rv_0.35_mom_0.10,0.05,2026,2,203.03,11231.24,11434.27,1.808
dd_0.05_rv_0.35_mom_0.10,0.1,2015,22,180.93,10000.0,10180.93,1.809
dd_0.05_rv_0.35_mom_0.10,0.1,2016,40,202.91,10180.93,10383.84,1.993
dd_0.05_rv_0.35_mom_0.10,0.1,2017,53,16.6,10383.84,10400.44,0.16
dd_0.05_rv_0.35_mom_0.10,0.1,2018,54,238.72,10400.44,10639.16,2.295
dd_0.05_rv_0.35_mom_0.10,0.1,2019,39,-100.69,10639.16,10538.47,-0.946
dd_0.05_rv_0.35_mom_0.10,0.1,2020,35,-46.44,10538.47,10492.03,-0.441
dd_0.05_rv_0.35_mom_0.10,0.1,2021,37,281.54,10492.03,10773.57,2.683
dd_0.05_rv_0.35_mom_0.10,0.1,2022,43,0.67,10773.57,10774.24,0.006
dd_0.05_rv_0.35_mom_0.10,0.1,2023,46,91.36,10774.24,10865.6,0.848
dd_0.05_rv_0.35_mom_0.10,0.1,2024,35,87.93,10865.6,10953.53,0.809
dd_0.05_rv_0.35_mom_0.10,0.1,2025,7,0.38,10953.53,10953.91,0.003
dd_0.05_rv_0.35_mom_0.10,0.1,2026,2,194.15,10953.91,11148.06,1.772
dd_0.05_rv_0.35_mom_0.15,0.0,2015,22,241.82,10000.0,10241.82,2.418
dd_0.05_rv_0.35_mom_0.15,0.0,2016,40,270.8,10241.82,10512.62,2.644
dd_0.05_rv_0.35_mom_0.15,0.0,2017,53,132.3,10512.62,10644.92,1.258
dd_0.05_rv_0.35_mom_0.15,0.0,2018,54,368.92,10644.92,11013.84,3.466
dd_0.05_rv_0.35_mom_0.15,0.0,2019,39,-72.72,11013.84,10941.12,-0.66
dd_0.05_rv_0.35_mom_0.15,0.0,2020,35,49.43,10941.12,10990.55,0.452
dd_0.05_rv_0.35_mom_0.15,0.0,2021,37,314.11,10990.55,11304.66,2.858
dd_0.05_rv_0.35_mom_0.15,0.0,2022,43,27.11,11304.66,11331.77,0.24
dd_0.05_rv_0.35_mom_0.15,0.0,2023,46,146.56,11331.77,11478.33,1.293
dd_0.05_rv_0.35_mom_0.15,0.0,2024,35,213.1,11478.33,11691.43,1.857
dd_0.05_rv_0.35_mom_0.15,0.0,2025,7,29.9,11691.43,11721.33,0.256
dd_0.05_rv_0.35_mom_0.15,0.0,2026,2,216.03,11721.33,11937.36,1.843
dd_0.05_rv_0.35_mom_0.15,0.05,2015,22,221.39,10000.0,10221.39,2.214
dd_0.05_rv_0.35_mom_0.15,0.05,2016,40,238.88,10221.39,10460.27,2.337
dd_0.05_rv_0.35_mom_0.15,0.05,2017,53,87.0,10460.27,10547.27,0.832
dd_0.05_rv_0.35_mom_0.15,0.05,2018,54,318.24,10547.27,10865.51,3.017
dd_0.05_rv_0.35_mom_0.15,0.05,2019,39,-101.13,10865.51,10764.38,-0.931
dd_0.05_rv_0.35_mom_0.15,0.05,2020,35,14.91,10764.38,10779.29,0.139
dd_0.05_rv_0.35_mom_0.15,0.05,2021,37,273.55,10779.29,11052.84,2.538
dd_0.05_rv_0.35_mom_0.15,0.05,2022,43,-7.5,11052.84,11045.34,-0.068
dd_0.05_rv_0.35_mom_0.15,0.05,2023,46,103.24,11045.34,11148.58,0.935
dd_0.05_rv_0.35_mom_0.15,0.05,2024,35,173.83,11148.58,11322.41,1.559
dd_0.05_rv_0.35_mom_0.15,0.05,2025,7,20.16,11322.41,11342.57,0.178
dd_0.05_rv_0.35_mom_0.15,0.05,2026,2,205.04,11342.57,11547.61,1.808
dd_0.05_rv_0.35_mom_0.15,0.1,2015,22,201.01,10000.0,10201.01,2.01
dd_0.05_rv_0.35_mom_0.15,0.1,2016,40,207.18,10201.01,10408.19,2.031
