"Profile","Parsed","Expected","TotalNet","Continuous","YTD","Full2025","Full2024","WeakSum","WorstWindow","LosingWindows"
"may_r300","12","12","13265.73","6648.63","1116.41","214.18","2374.19","","-37.31","1"
"march_may_tp120","12","12","13167.2","6125.57","1107.9","214.18","2381.09","","0","0"
"runner_stretch","12","12","13167.2","6125.57","1107.9","214.18","2381.09","","0","0"
"march_tp120","12","12","13167.2","6125.57","1107.9","214.18","2381.09","","0","0"
"base","12","12","13167.2","6125.57","1107.9","214.18","2381.09","","0","0"
"may_r320","12","12","11166.03","963.34","4292.89","214.18","963.34","","-207.86","1"
"march_r150","12","12","3678.66","397.07","901.63","-5.66","397.07","","-5.66","2"
"march_r125","12","12","2638.92","198.47","692.82","262.01","-42.5","","-122.22","2"
"march125_tp120","12","12","2638.92","198.47","692.82","262.01","-42.5","","-122.22","2"
"march125_may300","12","12","2219.19","81.19","692.82","262.01","81.19","","-122.22","2"
