Profile,Year,Trades,NetProfit,StartingBalance,EndingBalance,ReturnPercent
dd0.175_rv0.325,2015,3,114.67,10000.0,10114.67,1.147
dd0.175_rv0.325,2016,5,33.7,10114.67,10148.37,0.333
dd0.175_rv0.325,2017,10,-91.03,10148.37,10057.34,-0.897
dd0.175_rv0.325,2018,9,91.61,10057.34,10148.95,0.911
dd0.175_rv0.325,2019,6,-5.72,10148.95,10143.23,-0.056
dd0.175_rv0.325,2020,11,65.88,10143.23,10209.11,0.649
dd0.175_rv0.325,2021,14,329.38,10209.11,10538.49,3.226
dd0.175_rv0.325,2022,10,47.18,10538.49,10585.67,0.448
dd0.175_rv0.325,2023,9,160.21,10585.67,10745.88,1.513
dd0.175_rv0.325,2024,9,80.95,10745.88,10826.83,0.753
dd0.175_rv0.325,2025,4,59.08,10826.83,10885.91,0.546
dd0.175_rv0.325,2026,2,186.25,10885.91,11072.16,1.711
dd0.250_rv0.250,2015,3,106.73,10000.0,10106.73,1.067
dd0.250_rv0.250,2016,5,69.75,10106.73,10176.48,0.69
dd0.250_rv0.250,2017,10,-145.43,10176.48,10031.05,-1.429
dd0.250_rv0.250,2018,9,106.96,10031.05,10138.01,1.066
dd0.250_rv0.250,2019,6,-8.21,10138.01,10129.8,-0.081
dd0.250_rv0.250,2020,11,98.96,10129.8,10228.76,0.977
dd0.250_rv0.250,2021,14,217.18,10228.76,10445.94,2.123
dd0.250_rv0.250,2022,10,32.58,10445.94,10478.52,0.312
dd0.250_rv0.250,2023,9,96.0,10478.52,10574.52,0.916
dd0.250_rv0.250,2024,9,124.07,10574.52,10698.59,1.173
dd0.250_rv0.250,2025,4,88.29,10698.59,10786.88,0.825
dd0.250_rv0.250,2026,2,141.84,10786.88,10928.72,1.315
dd0.100_rv0.400,2015,3,122.56,10000.0,10122.56,1.226
dd0.100_rv0.400,2016,5,-2.42,10122.56,10120.14,-0.024
dd0.100_rv0.400,2017,10,-36.73,10120.14,10083.41,-0.363
dd0.100_rv0.400,2018,9,75.97,10083.41,10159.38,0.753
dd0.100_rv0.400,2019,6,-3.25,10159.38,10156.13,-0.032
dd0.100_rv0.400,2020,11,32.63,10156.13,10188.76,0.321
dd0.100_rv0.400,2021,14,442.02,10188.76,10630.78,4.338
dd0.100_rv0.400,2022,10,61.87,10630.78,10692.65,0.582
dd0.100_rv0.400,2023,9,225.96,10692.65,10918.61,2.113
dd0.100_rv0.400,2024,9,36.26,10918.61,10954.87,0.332
dd0.100_rv0.400,2025,4,29.12,10954.87,10983.99,0.266
dd0.100_rv0.400,2026,2,231.5,10983.99,11215.49,2.108
dd0.325_rv0.175,2015,3,98.75,10000.0,10098.75,0.988
dd0.325_rv0.175,2016,5,105.74,10098.75,10204.49,1.047
dd0.325_rv0.175,2017,10,-199.94,10204.49,10004.55,-1.959
dd0.325_rv0.175,2018,9,122.04,10004.55,10126.59,1.22
dd0.325_rv0.175,2019,6,-10.72,10126.59,10115.87,-0.106
dd0.325_rv0.175,2020,11,131.87,10115.87,10247.74,1.304
dd0.325_rv0.175,2021,14,105.45,10247.74,10353.19,1.029
dd0.325_rv0.175,2022,10,18.07,10353.19,10371.26,0.175
dd0.325_rv0.175,2023,9,33.32,10371.26,10404.58,0.321
dd0.325_rv0.175,2024,9,165.64,10404.58,10570.22,1.592
dd0.325_rv0.175,2025,4,116.77,10570.22,10686.99,1.105
dd0.325_rv0.175,2026,2,98.28,10686.99,10785.27,0.92
dd0.400_rv0.100,2015,3,90.73,10000.0,10090.73,0.907
dd0.400_rv0.100,2016,5,141.67,10090.73,10232.4,1.404
dd0.400_rv0.100,2017,10,-254.55,10232.4,9977.85,-2.488
dd0.400_rv0.100,2018,9,136.83,9977.85,10114.68,1.371
dd0.400_rv0.100,2019,6,-13.25,10114.68,10101.43,-0.131
dd0.400_rv0.100,2020,11,164.61,10101.43,10266.04,1.63
dd0.400_rv0.100,2021,14,-5.78,10266.04,10260.26,-0.056
dd0.400_rv0.100,2022,10,3.67,10260.26,10263.93,0.036
dd0.400_rv0.100,2023,9,-27.83,10263.93,10236.1,-0.271
dd0.400_rv0.100,2024,9,205.69,10236.1,10441.79,2.009
dd0.400_rv0.100,2025,4,144.5,10441.79,10586.29,1.384
dd0.400_rv0.100,2026,2,55.58,10586.29,10641.87,0.525
