"QueueRank","Candidate","SourceType","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","BaseProfileSha256","SourceSha256","StopRule","Rationale"
"1","dfa_lb_on_throttle050","broker_risk_sizing_probe","fast_model1","dfa_lb_on_throttle050.set","continuous_2019_2026","2019.01.01","2026.07.12","1","configs\001_dfa_lb_on_throttle050_continuous_2019_2026_m1.ini","broker_risk_dfa_lb_on_throttle050_continuous_2019_2026_m1","profiles\dfa_lb_on_throttle050.set","4D1AC0AD31C09AD644F051DB930E89828C385D21DA514D82592C9440EEA98A06","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","Correct sizing control: standalone sweeps off, 1.00% cap, DGF loss block on, 0.50 no-cushion risk."
"2","dfa_lb_on_throttle050","broker_risk_sizing_probe","fast_model1","dfa_lb_on_throttle050.set","2019_full","2019.01.01","2019.12.31","1","configs\002_dfa_lb_on_throttle050_2019_full_m1.ini","broker_risk_dfa_lb_on_throttle050_2019_full_m1","profiles\dfa_lb_on_throttle050.set","4D1AC0AD31C09AD644F051DB930E89828C385D21DA514D82592C9440EEA98A06","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","Correct sizing control: standalone sweeps off, 1.00% cap, DGF loss block on, 0.50 no-cushion risk."
"3","dfa_lb_on_throttle050","broker_risk_sizing_probe","fast_model1","dfa_lb_on_throttle050.set","2020_full","2020.01.01","2020.12.31","1","configs\003_dfa_lb_on_throttle050_2020_full_m1.ini","broker_risk_dfa_lb_on_throttle050_2020_full_m1","profiles\dfa_lb_on_throttle050.set","4D1AC0AD31C09AD644F051DB930E89828C385D21DA514D82592C9440EEA98A06","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","Correct sizing control: standalone sweeps off, 1.00% cap, DGF loss block on, 0.50 no-cushion risk."
"4","dfa_lb_on_throttle050","broker_risk_sizing_probe","fast_model1","dfa_lb_on_throttle050.set","2021_full","2021.01.01","2021.12.31","1","configs\004_dfa_lb_on_throttle050_2021_full_m1.ini","broker_risk_dfa_lb_on_throttle050_2021_full_m1","profiles\dfa_lb_on_throttle050.set","4D1AC0AD31C09AD644F051DB930E89828C385D21DA514D82592C9440EEA98A06","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","Correct sizing control: standalone sweeps off, 1.00% cap, DGF loss block on, 0.50 no-cushion risk."
"5","dfa_lb_on_throttle050","broker_risk_sizing_probe","fast_model1","dfa_lb_on_throttle050.set","2022_full","2022.01.01","2022.12.31","1","configs\005_dfa_lb_on_throttle050_2022_full_m1.ini","broker_risk_dfa_lb_on_throttle050_2022_full_m1","profiles\dfa_lb_on_throttle050.set","4D1AC0AD31C09AD644F051DB930E89828C385D21DA514D82592C9440EEA98A06","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","Correct sizing control: standalone sweeps off, 1.00% cap, DGF loss block on, 0.50 no-cushion risk."
"6","dfa_lb_on_throttle050","broker_risk_sizing_probe","fast_model1","dfa_lb_on_throttle050.set","2023_full","2023.01.01","2023.12.31","1","configs\006_dfa_lb_on_throttle050_2023_full_m1.ini","broker_risk_dfa_lb_on_throttle050_2023_full_m1","profiles\dfa_lb_on_throttle050.set","4D1AC0AD31C09AD644F051DB930E89828C385D21DA514D82592C9440EEA98A06","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","Correct sizing control: standalone sweeps off, 1.00% cap, DGF loss block on, 0.50 no-cushion risk."
"7","dfa_lb_on_throttle050","broker_risk_sizing_probe","fast_model1","dfa_lb_on_throttle050.set","2024_full","2024.01.01","2024.12.31","1","configs\007_dfa_lb_on_throttle050_2024_full_m1.ini","broker_risk_dfa_lb_on_throttle050_2024_full_m1","profiles\dfa_lb_on_throttle050.set","4D1AC0AD31C09AD644F051DB930E89828C385D21DA514D82592C9440EEA98A06","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","Correct sizing control: standalone sweeps off, 1.00% cap, DGF loss block on, 0.50 no-cushion risk."
"8","dfa_lb_on_throttle050","broker_risk_sizing_probe","fast_model1","dfa_lb_on_throttle050.set","2025_full","2025.01.01","2025.12.31","1","configs\008_dfa_lb_on_throttle050_2025_full_m1.ini","broker_risk_dfa_lb_on_throttle050_2025_full_m1","profiles\dfa_lb_on_throttle050.set","4D1AC0AD31C09AD644F051DB930E89828C385D21DA514D82592C9440EEA98A06","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","Correct sizing control: standalone sweeps off, 1.00% cap, DGF loss block on, 0.50 no-cushion risk."
"9","dfa_lb_on_throttle050","broker_risk_sizing_probe","fast_model1","dfa_lb_on_throttle050.set","2026_ytd","2026.01.01","2026.07.12","1","configs\009_dfa_lb_on_throttle050_2026_ytd_m1.ini","broker_risk_dfa_lb_on_throttle050_2026_ytd_m1","profiles\dfa_lb_on_throttle050.set","4D1AC0AD31C09AD644F051DB930E89828C385D21DA514D82592C9440EEA98A06","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","Correct sizing control: standalone sweeps off, 1.00% cap, DGF loss block on, 0.50 no-cushion risk."
"10","dfa_lb_off_throttle025","broker_risk_sizing_probe","fast_model1","dfa_lb_off_throttle025.set","continuous_2019_2026","2019.01.01","2026.07.12","1","configs\010_dfa_lb_off_throttle025_continuous_2019_2026_m1.ini","broker_risk_dfa_lb_off_throttle025_continuous_2019_2026_m1","profiles\dfa_lb_off_throttle025.set","779C0D0AE0B7DADEE87E80BD0DF9C7CB98ADE6BDAF8936B119EC445851D3BA3B","0FBFA1F540422DF1B88A9410752E706B917F3111BFEF317F7EE9A03D7A4C2499","3C738B730A47A089ECE11A53EC9E726DE2E64B63E53866B9731253C5035A114C","Reject if any broad year loses, continuous net is non-positive, PF is below 1.20, or drawdown remains above 10%.","DGF loss block off; hold DGF at 0.25 risk until the 5% closed-profit cushion."
