"Feature","Mode","Threshold","DiscoveryQualified","DiscoveryNet","DiscoveryWorstYearNet","DiscoveryMinYearPF","DiscoveryTrades","DiscoveryLiquidityTrades","HoldoutQualified","HoldoutNet","HoldoutWorstYearNet","HoldoutMinYearPF","HoldoutTrades","HoldoutLiquidityTrades","AllYearsQualified","AllYearsNet","AllYearsWorstYearNet","AllYearsMinYearPF","AllTrades","AllLiquidityTrades","NeighborAllYearsPass","OfflineSurvivor"
"Confirmations","ge","1","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"Confirmations","ge","2","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"Confirmations","ge","3","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"Confirmations","ge","4","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"Confirmations","le","1","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"Confirmations","le","2","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"Confirmations","le","3","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"Confirmations","le","4","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"QualityScore","ge","1","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"QualityScore","ge","2","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"QualityScore","ge","3","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"QualityScore","ge","4","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"QualityScore","ge","5","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"QualityScore","ge","6","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"QualityScore","le","1","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"QualityScore","le","2","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"QualityScore","le","3","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"QualityScore","le","4","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"QualityScore","le","5","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"QualityScore","le","6","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"PriceActionScore","ge","2","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"PriceActionScore","ge","3","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"PriceActionScore","ge","4","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"PriceActionScore","ge","5","False","5147.63","-637.59","0.46","63","20","False","1712.06","-787.59","0.57","58","20","False","6859.69","-787.59","0.46","121","40","False","False"
"PriceActionScore","ge","6","False","5318.83","-466.39","0.54","62","19","False","2157.12","-787.59","0.6","56","18","False","7475.95","-787.59","0.54","118","37","False","False"
"PriceActionScore","ge","7","False","5397.39","-636.95","0.37","60","17","False","2407.28","-787.59","0.6","55","17","False","7804.67","-787.59","0.37","115","34","False","False"
"PriceActionScore","le","2","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"PriceActionScore","le","3","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"PriceActionScore","le","4","False","4581.04","-233.83","0","44","1","True","3803.68","175.2","1.64","38","0","False","8384.72","-233.83","0","82","1","False","False"
"PriceActionScore","le","5","False","4409.84","-405.03","0","45","2","False","3358.62","-109.7","0.8","40","2","False","7768.46","-405.03","0","85","4","False","False"
"PriceActionScore","le","6","False","4331.28","-256.98","0","47","4","False","3108.46","-359.86","0.55","41","3","False","7439.74","-359.86","0","88","7","False","False"
"PriceActionScore","le","7","False","3969.92","-508.53","0","49","6","False","3030.31","-181.86","0.77","45","7","False","7000.23","-508.53","0","94","13","False","False"
"ADX","ge","15","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"ADX","ge","20","False","4534.43","-752.15","0.42","63","20","False","1896.38","-787.59","0.6","57","19","False","6430.81","-787.59","0.42","120","39","False","False"
"ADX","ge","25","False","4436.57","-752.15","0.21","60","17","False","2256.13","-531.44","0.68","53","15","False","6692.7","-752.15","0.21","113","32","False","False"
"ADX","ge","30","False","4695.35","-515.93","0.21","58","15","False","1624.38","-531.44","0.68","50","12","False","6319.73","-531.44","0.21","108","27","False","False"
"ADX","ge","35","False","5478.72","-159.78","0","50","7","False","1931.41","-272.05","0.7","47","9","False","7410.13","-272.05","0","97","16","False","False"
"ADX","ge","40","False","4918.12","-418.78","0","48","5","False","3024.73","47.79","1.12","41","3","False","7942.85","-418.78","0","89","8","False","False"
"ADX","le","15","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"ADX","le","20","False","5194.24","-119.27","0.51","44","1","False","3619.36","-9.12","0.98","39","1","False","8813.6","-119.27","0.51","83","2","False","False"
"ADX","le","25","False","5292.1","-259.41","0.51","47","4","False","3259.61","-112.72","0.8","43","5","False","8551.71","-259.41","0.51","90","9","False","False"
"ADX","le","30","False","5033.32","-355.49","0.26","49","6","False","3891.36","-331.22","0.61","46","8","False","8924.68","-355.49","0.26","95","14","False","False"
"ADX","le","35","False","4249.95","-711.64","0.29","57","14","False","3584.33","-188.14","0.78","49","11","False","7834.28","-711.64","0.29","106","25","False","False"
"ADX","le","40","False","4810.55","-452.64","0.55","59","16","False","2491.01","-507.98","0.62","55","17","False","7301.56","-507.98","0.55","114","33","False","False"
"DIAlignment","ge","-15","True","5789.9","51.29","1.21","51","8","False","3484.96","-397.62","0.53","46","8","False","9274.86","-397.62","0.53","97","16","False","False"
"DIAlignment","ge","-10","False","4788.01","-119.27","0.51","46","3","False","2919.61","-112.72","0.8","44","6","False","7707.62","-119.27","0.51","90","9","False","False"
"DIAlignment","ge","-5","False","5194.24","-119.27","0.51","44","1","False","3553.58","71.6","1.19","41","3","False","8747.82","-119.27","0.51","85","4","False","False"
"DIAlignment","ge","0","False","4695.6","-122.76","0","43","0","False","3553.58","71.6","1.19","41","3","False","8249.18","-122.76","0","84","3","False","False"
"DIAlignment","ge","5","False","4695.6","-122.76","0","43","0","True","3586.68","175.2","1.64","39","1","False","8282.28","-122.76","0","82","1","False","False"
"DIAlignment","ge","10","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"DIAlignment","ge","15","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"DIAlignment","le","-15","False","3938.77","-922.71","0.29","56","13","False","2030.78","-191.44","0.85","50","12","False","5969.55","-922.71","0.29","106","25","False","False"
"DIAlignment","le","-10","False","4940.66","-752.15","0.42","61","18","False","2596.13","-347.47","0.71","52","14","False","7536.79","-752.15","0.42","113","32","False","False"
"DIAlignment","le","-5","False","4534.43","-752.15","0.42","63","20","False","1962.16","-641.09","0.61","55","17","False","6496.59","-752.15","0.42","118","37","False","False"
"DIAlignment","le","0","False","5033.07","-752.15","0.42","64","21","False","1962.16","-641.09","0.61","55","17","False","6995.23","-752.15","0.42","119","38","False","False"
"DIAlignment","le","5","False","5033.07","-752.15","0.42","64","21","False","1929.06","-635.39","0.57","57","19","False","6962.13","-752.15","0.42","121","40","False","False"
