"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","dlq_control","1","dgf_loss_quarantine","1","broad_model1","dlq_control.set","continuous_2019_2026","2019.01.01","2026.07.12","1","configs\001_dlq_control_continuous_2019_2026_m1.ini","dgf_loss_quarantine_dlq_control_continuous_2019_2026_m1","profiles\dlq_control.set","397C63759598988DEAA7B27E9B4C6660DC231AFF006230D456E1352BCFC6AD9F","Require all broad periods positive, max DD at or below 15%, PF at least 1.20, loss streak at most 5, and no severe profit collapse versus control.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\dgf_loss_quarantine_dlq_control_continuous_2019_2026_m1.htm","10000","2749","7.5264","15023.66","25023.66","150.24","19.96","12.96","1.65","97.56","12.22","40.91","154","8","3031.36","14.77","2622.96","3031.36","4.96","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"2","dlq_control","1","dgf_loss_quarantine","1","broad_model1","dlq_control.set","early_2019_2022","2019.01.01","2022.12.31","1","configs\002_dlq_control_early_2019_2022_m1.ini","dgf_loss_quarantine_dlq_control_early_2019_2022_m1","profiles\dlq_control.set","397C63759598988DEAA7B27E9B4C6660DC231AFF006230D456E1352BCFC6AD9F","Require all broad periods positive, max DD at or below 15%, PF at least 1.20, loss streak at most 5, and no severe profit collapse versus control.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\dgf_loss_quarantine_dlq_control_early_2019_2022_m1.htm","10000","1460","3.9973","4967.3","14967.3","49.67","12.43","10.62","1.55","69.96","12.78","40.85","71","4","2406.84","14.84","1874.78","2406.84","2.06","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"3","dlq_control","1","dgf_loss_quarantine","1","broad_model1","dlq_control.set","recent_2023_2026","2023.01.01","2026.07.12","1","configs\003_dlq_control_recent_2023_2026_m1.ini","dgf_loss_quarantine_dlq_control_recent_2023_2026_m1","profiles\dlq_control.set","397C63759598988DEAA7B27E9B4C6660DC231AFF006230D456E1352BCFC6AD9F","Require all broad periods positive, max DD at or below 15%, PF at least 1.20, loss streak at most 5, and no severe profit collapse versus control.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\dgf_loss_quarantine_dlq_control_recent_2023_2026_m1.htm","10000","1288","3.5264","4877.92","14877.92","48.78","13.83","11.93","1.61","60.22","9.75","43.21","81","6","1802.04","14.72","1564.35","1802.04","2.71","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"4","dlq_s3_h24","2","dgf_loss_quarantine","1","broad_model1","dlq_s3_h24.set","continuous_2019_2026","2019.01.01","2026.07.12","1","configs\004_dlq_s3_h24_continuous_2019_2026_m1.ini","dgf_loss_quarantine_dlq_s3_h24_continuous_2019_2026_m1","profiles\dlq_s3_h24.set","5DCC2B0812D15D339D4FDC0C08DF7DEF2115CC32B5BC5FAD911CC39E6019E242","Require all broad periods positive, max DD at or below 15%, PF at least 1.20, loss streak at most 5, and no severe profit collapse versus control.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\dgf_loss_quarantine_dlq_s3_h24_continuous_2019_2026_m1.htm","10000","2749","7.5264","10064.76","20064.76","100.65","13.37","9.69","1.52","72.41","10.84","40.29","139","8","4034.71","24.55","3712.63","4034.71","2.49","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"5","dlq_s3_h24","2","dgf_loss_quarantine","1","broad_model1","dlq_s3_h24.set","early_2019_2022","2019.01.01","2022.12.31","1","configs\005_dlq_s3_h24_early_2019_2022_m1.ini","dgf_loss_quarantine_dlq_s3_h24_early_2019_2022_m1","profiles\dlq_s3_h24.set","5DCC2B0812D15D339D4FDC0C08DF7DEF2115CC32B5BC5FAD911CC39E6019E242","Require all broad periods positive, max DD at or below 15%, PF at least 1.20, loss streak at most 5, and no severe profit collapse versus control.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\dgf_loss_quarantine_dlq_s3_h24_early_2019_2022_m1.htm","10000","1460","3.9973","3728.25","13728.25","37.28","9.33","8.25","1.42","55.65","10.91","38.81","67","5","2705.5","16.46","2393.5","2705.5","1.38","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"6","dlq_s3_h24","2","dgf_loss_quarantine","1","broad_model1","dlq_s3_h24.set","recent_2023_2026","2023.01.01","2026.07.12","1","configs\006_dlq_s3_h24_recent_2023_2026_m1.ini","dgf_loss_quarantine_dlq_s3_h24_recent_2023_2026_m1","profiles\dlq_s3_h24.set","5DCC2B0812D15D339D4FDC0C08DF7DEF2115CC32B5BC5FAD911CC39E6019E242","Require all broad periods positive, max DD at or below 15%, PF at least 1.20, loss streak at most 5, and no severe profit collapse versus control.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\dgf_loss_quarantine_dlq_s3_h24_recent_2023_2026_m1.htm","10000","1288","3.5264","645.96","10645.96","6.46","1.83","1.79","1.12","10.25","2.48","44.44","63","6","1569.88","14.83","1353.35","1569.88","0.41","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"7","dlq_s3_h72","3","dgf_loss_quarantine","1","broad_model1","dlq_s3_h72.set","continuous_2019_2026","2019.01.01","2026.07.12","1","configs\007_dlq_s3_h72_continuous_2019_2026_m1.ini","dgf_loss_quarantine_dlq_s3_h72_continuous_2019_2026_m1","profiles\dlq_s3_h72.set","C01F879286B22D13D129241BCF3FA704BA44B0E326F2376E65D803F249E55486","Require all broad periods positive, max DD at or below 15%, PF at least 1.20, loss streak at most 5, and no severe profit collapse versus control.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\dgf_loss_quarantine_dlq_s3_h72_continuous_2019_2026_m1.htm","10000","2749","7.5264","13495.71","23495.71","134.96","17.93","12.02","1.68","97.09","12.46","40.29","139","8","3243.32","20.15","2587.23","3243.32","4.16","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"8","dlq_s3_h72","3","dgf_loss_quarantine","1","broad_model1","dlq_s3_h72.set","early_2019_2022","2019.01.01","2022.12.31","1","configs\008_dlq_s3_h72_early_2019_2022_m1.ini","dgf_loss_quarantine_dlq_s3_h72_early_2019_2022_m1","profiles\dlq_s3_h72.set","C01F879286B22D13D129241BCF3FA704BA44B0E326F2376E65D803F249E55486","Require all broad periods positive, max DD at or below 15%, PF at least 1.20, loss streak at most 5, and no severe profit collapse versus control.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\dgf_loss_quarantine_dlq_s3_h72_early_2019_2022_m1.htm","10000","1460","3.9973","4134.36","14134.36","41.34","10.34","9.04","1.55","64.6","12.29","39.06","64","5","3243.32","20.15","2587.23","3243.32","1.27","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"9","dlq_s3_h72","3","dgf_loss_quarantine","1","broad_model1","dlq_s3_h72.set","recent_2023_2026","2023.01.01","2026.07.12","1","configs\009_dlq_s3_h72_recent_2023_2026_m1.ini","dgf_loss_quarantine_dlq_s3_h72_recent_2023_2026_m1","profiles\dlq_s3_h72.set","C01F879286B22D13D129241BCF3FA704BA44B0E326F2376E65D803F249E55486","Require all broad periods positive, max DD at or below 15%, PF at least 1.20, loss streak at most 5, and no severe profit collapse versus control.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\dgf_loss_quarantine_dlq_s3_h72_recent_2023_2026_m1.htm","10000","1288","3.5264","5701.4","15701.4","57.01","16.17","13.65","1.72","75.02","11.17","43.42","76","6","1566.2","14.79","1108.48","1566.2","3.64","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"10","dlq_s3_h168","4","dgf_loss_quarantine","1","broad_model1","dlq_s3_h168.set","continuous_2019_2026","2019.01.01","2026.07.12","1","configs\010_dlq_s3_h168_continuous_2019_2026_m1.ini","dgf_loss_quarantine_dlq_s3_h168_continuous_2019_2026_m1","profiles\dlq_s3_h168.set","C400078DFCE4D850D9AA780162319F5CE0A55A12986CA898A3A4116F4A962D81","Require all broad periods positive, max DD at or below 15%, PF at least 1.20, loss streak at most 5, and no severe profit collapse versus control.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\dgf_loss_quarantine_dlq_s3_h168_continuous_2019_2026_m1.htm","10000","2749","7.5264","1522.13","11522.13","15.22","2.02","1.9","1.19","15.38","3.39","42.42","99","5","1836.66","17.38","1588.65","1836.66","0.83","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"11","dlq_s3_h168","4","dgf_loss_quarantine","1","broad_model1","dlq_s3_h168.set","early_2019_2022","2019.01.01","2022.12.31","1","configs\011_dlq_s3_h168_early_2019_2022_m1.ini","dgf_loss_quarantine_dlq_s3_h168_early_2019_2022_m1","profiles\dlq_s3_h168.set","C400078DFCE4D850D9AA780162319F5CE0A55A12986CA898A3A4116F4A962D81","Require all broad periods positive, max DD at or below 15%, PF at least 1.20, loss streak at most 5, and no severe profit collapse versus control.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\dgf_loss_quarantine_dlq_s3_h168_early_2019_2022_m1.htm","10000","1460","3.9973","-554.1","9445.9","-5.54","-1.39","-1.42","0.83","-13.85","-3.62","37.5","40","4","1836.66","17.38","1528.9","1836.66","-0.3","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"12","dlq_s3_h168","4","dgf_loss_quarantine","1","broad_model1","dlq_s3_h168.set","recent_2023_2026","2023.01.01","2026.07.12","1","configs\012_dlq_s3_h168_recent_2023_2026_m1.ini","dgf_loss_quarantine_dlq_s3_h168_recent_2023_2026_m1","profiles\dlq_s3_h168.set","C400078DFCE4D850D9AA780162319F5CE0A55A12986CA898A3A4116F4A962D81","Require all broad periods positive, max DD at or below 15%, PF at least 1.20, loss streak at most 5, and no severe profit collapse versus control.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\dgf_loss_quarantine_dlq_s3_h168_recent_2023_2026_m1.htm","10000","1288","3.5264","3950.63","13950.63","39.51","11.2","9.9","1.61","62.71","10.23","42.86","63","6","1724.58","14.08","1617.32","1724.58","2.29","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"13","dlq_s3_h720","5","dgf_loss_quarantine","1","broad_model1","dlq_s3_h720.set","continuous_2019_2026","2019.01.01","2026.07.12","1","configs\013_dlq_s3_h720_continuous_2019_2026_m1.ini","dgf_loss_quarantine_dlq_s3_h720_continuous_2019_2026_m1","profiles\dlq_s3_h720.set","CC620A6959A2397B969C50415C5CF8C1CF5A5179C20A3BFC7BA0E00F0CAE5B9F","Require all broad periods positive, max DD at or below 15%, PF at least 1.20, loss streak at most 5, and no severe profit collapse versus control.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\dgf_loss_quarantine_dlq_s3_h720_continuous_2019_2026_m1.htm","10000","2749","7.5264","1147.59","11147.59","11.48","1.52","1.45","1.19","12.89","3.35","42.7","89","4","2236.74","21.17","2067.72","2236.74","0.51","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"14","dlq_s3_h720","5","dgf_loss_quarantine","1","broad_model1","dlq_s3_h720.set","early_2019_2022","2019.01.01","2022.12.31","1","configs\014_dlq_s3_h720_early_2019_2022_m1.ini","dgf_loss_quarantine_dlq_s3_h720_early_2019_2022_m1","profiles\dlq_s3_h720.set","CC620A6959A2397B969C50415C5CF8C1CF5A5179C20A3BFC7BA0E00F0CAE5B9F","Require all broad periods positive, max DD at or below 15%, PF at least 1.20, loss streak at most 5, and no severe profit collapse versus control.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\dgf_loss_quarantine_dlq_s3_h720_early_2019_2022_m1.htm","10000","1460","3.9973","-1243.86","8756.14","-12.44","-3.11","-3.27","0.58","-34.55","-5","33.33","36","4","1809.42","17.13","1643.76","1809.42","-0.69","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"15","dlq_s3_h720","5","dgf_loss_quarantine","1","broad_model1","dlq_s3_h720.set","recent_2023_2026","2023.01.01","2026.07.12","1","configs\015_dlq_s3_h720_recent_2023_2026_m1.ini","dgf_loss_quarantine_dlq_s3_h720_recent_2023_2026_m1","profiles\dlq_s3_h720.set","CC620A6959A2397B969C50415C5CF8C1CF5A5179C20A3BFC7BA0E00F0CAE5B9F","Require all broad periods positive, max DD at or below 15%, PF at least 1.20, loss streak at most 5, and no severe profit collapse versus control.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\dgf_loss_quarantine_dlq_s3_h720_recent_2023_2026_m1.htm","10000","1288","3.5264","6244.52","16244.52","62.45","17.71","14.75","1.98","107.66","15.2","46.55","58","4","1640.93","11.9","1519.88","1640.93","3.81","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"16","dlq_s4_h24","6","dgf_loss_quarantine","1","broad_model1","dlq_s4_h24.set","continuous_2019_2026","2019.01.01","2026.07.12","1","configs\016_dlq_s4_h24_continuous_2019_2026_m1.ini","dgf_loss_quarantine_dlq_s4_h24_continuous_2019_2026_m1","profiles\dlq_s4_h24.set","FBA2A768C6E255937AE645D17A7350AAA32838BDEA01B68D9410B00D5D47DDBC","Require all broad periods positive, max DD at or below 15%, PF at least 1.20, loss streak at most 5, and no severe profit collapse versus control.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\dgf_loss_quarantine_dlq_s4_h24_continuous_2019_2026_m1.htm","10000","2749","7.5264","17112.01","27112.01","171.12","22.74","14.17","1.76","113.32","13.55","41.72","151","8","3458.89","21.05","3114.82","3458.89","4.95","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"17","dlq_s4_h24","6","dgf_loss_quarantine","1","broad_model1","dlq_s4_h24.set","early_2019_2022","2019.01.01","2022.12.31","1","configs\017_dlq_s4_h24_early_2019_2022_m1.ini","dgf_loss_quarantine_dlq_s4_h24_early_2019_2022_m1","profiles\dlq_s4_h24.set","FBA2A768C6E255937AE645D17A7350AAA32838BDEA01B68D9410B00D5D47DDBC","Require all broad periods positive, max DD at or below 15%, PF at least 1.20, loss streak at most 5, and no severe profit collapse versus control.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\dgf_loss_quarantine_dlq_s4_h24_early_2019_2022_m1.htm","10000","1460","3.9973","3728.25","13728.25","37.28","9.33","8.25","1.42","55.65","10.91","38.81","67","5","2705.5","16.46","2393.5","2705.5","1.38","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
