"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","BaseProfileSha256","SignalTimeframe","RVFailureExitEnabled","RVFailureBars","RVFailureMaximumR","MOFailureExitEnabled","MOFailureBars","MOFailureMaximumR","StopRule"
"1","efp_fixed_control","1","early_failure_portfolio","1","discovery_model1","efp_fixed_control.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_efp_fixed_control_older_2015_2018_m1.ini","efp_fixed_control_older_2015_2018_m1","profiles\efp_fixed_control.set","63221C9C0355FE08137A2AACB641EC1FFDA265836CB168D63E8B2A38A5C2D85B","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","false","3","0.00","false","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass."
"2","efp_fixed_control","1","early_failure_portfolio","1","discovery_model1","efp_fixed_control.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_efp_fixed_control_discovery_2019_2020_m1.ini","efp_fixed_control_discovery_2019_2020_m1","profiles\efp_fixed_control.set","63221C9C0355FE08137A2AACB641EC1FFDA265836CB168D63E8B2A38A5C2D85B","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","false","3","0.00","false","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass."
"3","efp_fixed_control","1","early_failure_portfolio","1","discovery_model1","efp_fixed_control.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_efp_fixed_control_continuous_2015_2020_m1.ini","efp_fixed_control_continuous_2015_2020_m1","profiles\efp_fixed_control.set","63221C9C0355FE08137A2AACB641EC1FFDA265836CB168D63E8B2A38A5C2D85B","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","false","3","0.00","false","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass."
"4","efp_center","2","early_failure_portfolio","1","discovery_model1","efp_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_efp_center_older_2015_2018_m1.ini","efp_center_older_2015_2018_m1","profiles\efp_center.set","71DDAC2F1DFF3CA47E47F00CCA633108817A16DBD487A3B89D8C0562AC8E64B3","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","3","0.00","true","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass."
"5","efp_center","2","early_failure_portfolio","1","discovery_model1","efp_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_efp_center_discovery_2019_2020_m1.ini","efp_center_discovery_2019_2020_m1","profiles\efp_center.set","71DDAC2F1DFF3CA47E47F00CCA633108817A16DBD487A3B89D8C0562AC8E64B3","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","3","0.00","true","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass."
"6","efp_center","2","early_failure_portfolio","1","discovery_model1","efp_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_efp_center_continuous_2015_2020_m1.ini","efp_center_continuous_2015_2020_m1","profiles\efp_center.set","71DDAC2F1DFF3CA47E47F00CCA633108817A16DBD487A3B89D8C0562AC8E64B3","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","3","0.00","true","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass."
"7","efp_rv_only","3","early_failure_portfolio","1","discovery_model1","efp_rv_only.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_efp_rv_only_older_2015_2018_m1.ini","efp_rv_only_older_2015_2018_m1","profiles\efp_rv_only.set","B0910A6E52BD46B50F0D21995DE2CC23B3A57C022873400E09C6685ABE5CABFB","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","3","0.00","false","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass."
"8","efp_rv_only","3","early_failure_portfolio","1","discovery_model1","efp_rv_only.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_efp_rv_only_discovery_2019_2020_m1.ini","efp_rv_only_discovery_2019_2020_m1","profiles\efp_rv_only.set","B0910A6E52BD46B50F0D21995DE2CC23B3A57C022873400E09C6685ABE5CABFB","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","3","0.00","false","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass."
"9","efp_rv_only","3","early_failure_portfolio","1","discovery_model1","efp_rv_only.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_efp_rv_only_continuous_2015_2020_m1.ini","efp_rv_only_continuous_2015_2020_m1","profiles\efp_rv_only.set","B0910A6E52BD46B50F0D21995DE2CC23B3A57C022873400E09C6685ABE5CABFB","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","true","3","0.00","false","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass."
"10","efp_mo_only","4","early_failure_portfolio","1","discovery_model1","efp_mo_only.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_efp_mo_only_older_2015_2018_m1.ini","efp_mo_only_older_2015_2018_m1","profiles\efp_mo_only.set","288B15AEB33D1FF47966F41B8C8616FBE0D4D11E73615D9AE43EC17F9A742BC6","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","60","false","3","0.00","true","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass."
