"QueueRank","Candidate","CandidateRank","SourceType","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","BaseProfileSha256","RVFailureExitEnabled","RVFailureBars","RVFailureMaximumR","MOFailureExitEnabled","MOFailureBars","MOFailureMaximumR","StopRule","Status","ReportPath","ReportSha256","ReportSourceIdentityPass","ReportDisposition","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"1","efp_fixed_control","1","early_failure_portfolio","discovery_model1","efp_fixed_control.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_efp_fixed_control_older_2015_2018_m1.ini","efp_fixed_control_older_2015_2018_m1","profiles\efp_fixed_control.set","63221C9C0355FE08137A2AACB641EC1FFDA265836CB168D63E8B2A38A5C2D85B","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","false","3","0.00","false","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass.","PARSED","outputs\early_failure_portfolio_discovery_model1_package\reports_here\efp_fixed_control_older_2015_2018_m1.htm","E5438E179843621D3A6FD66016739E19AA4FC630E5205778563D7760D20A487B","True","REPRODUCED_AFTER_IDENTITY_RETRY","10000","1460","3.9973","814.7","10814.7","8.15","2.04","1.98","1.87","5.36","7.27","46.05","152","5","105.51","1.01","75.68","105.51","7.7215"
"2","efp_fixed_control","1","early_failure_portfolio","discovery_model1","efp_fixed_control.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_efp_fixed_control_discovery_2019_2020_m1.ini","efp_fixed_control_discovery_2019_2020_m1","profiles\efp_fixed_control.set","63221C9C0355FE08137A2AACB641EC1FFDA265836CB168D63E8B2A38A5C2D85B","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","false","3","0.00","false","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass.","PARSED","outputs\early_failure_portfolio_discovery_model1_package\reports_here\efp_fixed_control_discovery_2019_2020_m1.htm","74931E78F39162D25EE113A3FB6A8CA41F4DA2D3C9ABC8F0DDAED64245F0D44C","True","FIRST_VALID_EXPORT","10000","730","1.9986","-105.45","9894.55","-1.05","-0.53","-0.53","0.84","-1.46","-1.84","37.5","72","7","313.42","3.08","274.79","313.42","-0.3364"
"3","efp_fixed_control","1","early_failure_portfolio","discovery_model1","efp_fixed_control.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_efp_fixed_control_continuous_2015_2020_m1.ini","efp_fixed_control_continuous_2015_2020_m1","profiles\efp_fixed_control.set","63221C9C0355FE08137A2AACB641EC1FFDA265836CB168D63E8B2A38A5C2D85B","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","false","3","0.00","false","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass.","PARSED","outputs\early_failure_portfolio_discovery_model1_package\reports_here\efp_fixed_control_continuous_2015_2020_m1.htm","156E25824BF66A8C34280CB31827C0F7458B8DF89B2B568FF33BAD6A32F8EA3B","True","FIRST_VALID_EXPORT","10000","2191","5.9986","694.13","10694.13","6.94","1.16","1.13","1.42","3.09","4.07","43.11","225","7","303.87","2.77","265.24","303.87","2.2843"
"4","efp_center","2","early_failure_portfolio","discovery_model1","efp_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_efp_center_older_2015_2018_m1.ini","efp_center_older_2015_2018_m1","profiles\efp_center.set","71DDAC2F1DFF3CA47E47F00CCA633108817A16DBD487A3B89D8C0562AC8E64B3","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","3","0.00","true","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass.","PARSED","outputs\early_failure_portfolio_discovery_model1_package\reports_here\efp_center_older_2015_2018_m1.htm","A334BA601E805D676ACED7517B0BB2E4FAC624A2924235B261B23104D5ACADD5","True","FIRST_VALID_EXPORT","10000","1460","3.9973","770.78","10770.78","7.71","1.93","1.87","2.13","5.14","9.16","36.67","150","10","100.06","0.96","73.14","100.06","7.7032"
"5","efp_center","2","early_failure_portfolio","discovery_model1","efp_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_efp_center_discovery_2019_2020_m1.ini","efp_center_discovery_2019_2020_m1","profiles\efp_center.set","71DDAC2F1DFF3CA47E47F00CCA633108817A16DBD487A3B89D8C0562AC8E64B3","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","3","0.00","true","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass.","PARSED","outputs\early_failure_portfolio_discovery_model1_package\reports_here\efp_center_discovery_2019_2020_m1.htm","66F0E1E047D5CD527EAA63F14549A6655B2AE0D50C8A5196E88C4D282247B560","True","FIRST_VALID_EXPORT","10000","730","1.9986","-75.07","9924.93","-0.75","-0.38","-0.38","0.86","-1.03","-1.79","31.51","73","7","249.5","2.46","208.36","249.5","-0.3009"
"6","efp_center","2","early_failure_portfolio","discovery_model1","efp_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_efp_center_continuous_2015_2020_m1.ini","efp_center_continuous_2015_2020_m1","profiles\efp_center.set","71DDAC2F1DFF3CA47E47F00CCA633108817A16DBD487A3B89D8C0562AC8E64B3","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","3","0.00","true","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass.","PARSED","outputs\early_failure_portfolio_discovery_model1_package\reports_here\efp_center_continuous_2015_2020_m1.htm","44D566E51DF261864FC78168FCCE0EF63E365633BFBAA9573E057AFB51037D69","True","FIRST_VALID_EXPORT","10000","2191","5.9986","680.6","10680.6","6.81","1.13","1.1","1.54","3.04","5.35","34.82","224","10","239.95","2.21","204.64","239.95","2.8364"
"7","efp_rv_only","3","early_failure_portfolio","discovery_model1","efp_rv_only.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_efp_rv_only_older_2015_2018_m1.ini","efp_rv_only_older_2015_2018_m1","profiles\efp_rv_only.set","B0910A6E52BD46B50F0D21995DE2CC23B3A57C022873400E09C6685ABE5CABFB","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","3","0.00","false","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass.","PARSED","outputs\early_failure_portfolio_discovery_model1_package\reports_here\efp_rv_only_older_2015_2018_m1.htm","96DF8985345FDCD007A3C56031B74EAB47A4C4979E50F1321B0F56D42523E160","True","FIRST_VALID_EXPORT","10000","1460","3.9973","752.33","10752.33","7.52","1.88","1.83","1.81","4.95","6.92","45.39","152","5","105.51","1.02","75.68","105.51","7.1304"
"8","efp_rv_only","3","early_failure_portfolio","discovery_model1","efp_rv_only.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_efp_rv_only_discovery_2019_2020_m1.ini","efp_rv_only_discovery_2019_2020_m1","profiles\efp_rv_only.set","B0910A6E52BD46B50F0D21995DE2CC23B3A57C022873400E09C6685ABE5CABFB","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","3","0.00","false","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass.","PARSED","outputs\early_failure_portfolio_discovery_model1_package\reports_here\efp_rv_only_discovery_2019_2020_m1.htm","E385D04D26B38D0F54DDA4D72EF484639876B121CA794E6A8D84DB7CD24B15EA","True","FIRST_VALID_EXPORT","10000","730","1.9986","-31.65","9968.35","-0.32","-0.16","-0.16","0.95","-0.44","-0.59","37.5","72","7","255.92","2.51","217.29","255.92","-0.1237"
"9","efp_rv_only","3","early_failure_portfolio","discovery_model1","efp_rv_only.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_efp_rv_only_continuous_2015_2020_m1.ini","efp_rv_only_continuous_2015_2020_m1","profiles\efp_rv_only.set","B0910A6E52BD46B50F0D21995DE2CC23B3A57C022873400E09C6685ABE5CABFB","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","true","3","0.00","false","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass.","PARSED","outputs\early_failure_portfolio_discovery_model1_package\reports_here\efp_rv_only_continuous_2015_2020_m1.htm","D08CA3578B98E04E4B3C3DF709F365BE86D4FCC28153F28F0D408270DAD36C4D","True","FIRST_VALID_EXPORT","10000","2191","5.9986","715.24","10715.24","7.15","1.19","1.16","1.46","3.18","4.37","42.67","225","7","239.94","2.2","201.31","239.94","2.9809"
"10","efp_mo_only","4","early_failure_portfolio","discovery_model1","efp_mo_only.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_efp_mo_only_older_2015_2018_m1.ini","efp_mo_only_older_2015_2018_m1","profiles\efp_mo_only.set","288B15AEB33D1FF47966F41B8C8616FBE0D4D11E73615D9AE43EC17F9A742BC6","2613BDF5BFCE4DB9220961540F851E2444F14AF17B690CAAE0AC4BE59C8C1342","ECBD1693D09AF6A04CB92F2756442DF8BF0B604118834D1C5E0F50CC57FFEC3E","false","3","0.00","true","4","0.00","Discovery only: both eras positive; continuous PF >= 1.45, trades >= 180, DD <= 2.80%; at least 5% control-relative net or return/DD improvement under frozen quality tolerances; one adjacent exit profile must pass.","PARSED","outputs\early_failure_portfolio_discovery_model1_package\reports_here\efp_mo_only_older_2015_2018_m1.htm","02C24F8DF8D6642C2B15CFC97C51810ED5338647EA549101E4321B0435E9ACE1","True","FIRST_VALID_EXPORT","10000","1460","3.9973","814.14","10814.14","8.14","2.04","1.98","2.17","5.43","9.37","37.33","150","10","100.06","0.95","77.19","100.06","8.1365"
