Feature,FeatureIndex,Direction,Quantile,NeighborOffset,Threshold,Trades,KeptTrades,RemovedTrades,Retention,BaselineNet,KeptNet,RemovedNet,Improvement,BaselinePF,KeptPF,early_improvement,early_removed,late_improvement,late_removed,TrainingSupport
BreakoutATR,0,minimum,0.15000000,-1,0.08051870,55,46,9,0.83636364,186.06000000,165.18000000,20.88000000,-20.88000000,1.69957888,1.72917494,-30.06000000,7,9.18000000,2,False
BreakoutATR,0,minimum,0.20000000,0,0.10239460,55,44,11,0.80000000,186.06000000,158.21000000,27.85000000,-27.85000000,1.69957888,1.73153928,-30.06000000,7,2.21000000,4,False
BreakoutATR,0,minimum,0.25000000,1,0.11943250,55,41,14,0.74545455,186.06000000,188.23000000,-2.17000000,2.17000000,1.69957888,2.01063087,-10.38000000,9,12.55000000,5,False
BreakoutATR,0,maximum,0.15000000,-1,0.58784010,55,46,9,0.83636364,186.06000000,134.53000000,51.53000000,-51.53000000,1.69957888,1.59178287,-18.29000000,7,-33.24000000,2,False
BreakoutATR,0,maximum,0.20000000,0,0.53985900,55,44,11,0.80000000,186.06000000,129.73000000,56.33000000,-56.33000000,1.69957888,1.59681649,-8.33000000,8,-48.00000000,3,False
BreakoutATR,0,maximum,0.25000000,1,0.49278400,55,41,14,0.74545455,186.06000000,130.25000000,55.81000000,-55.81000000,1.69957888,1.66274869,-28.65000000,9,-27.16000000,5,False
BodyRatio,1,minimum,0.15000000,-1,0.55348680,55,46,9,0.83636364,186.06000000,180.85000000,5.21000000,-5.21000000,1.69957888,1.83579813,38.40000000,4,-43.61000000,5,False
BodyRatio,1,minimum,0.20000000,0,0.57573920,55,44,11,0.80000000,186.06000000,174.79000000,11.27000000,-11.27000000,1.69957888,1.84639969,32.34000000,6,-43.61000000,5,False
BodyRatio,1,minimum,0.25000000,1,0.59586300,55,41,14,0.74545455,186.06000000,142.96000000,43.10000000,-43.10000000,1.69957888,1.72812468,-9.66000000,8,-33.44000000,6,False
BodyRatio,1,maximum,0.15000000,-1,0.76996940,55,46,9,0.83636364,186.06000000,165.75000000,20.31000000,-20.31000000,1.69957888,1.76615513,-10.97000000,4,-9.34000000,5,False
BodyRatio,1,maximum,0.20000000,0,0.75034480,55,44,11,0.80000000,186.06000000,160.14000000,25.92000000,-25.92000000,1.69957888,1.77291375,-1.82000000,5,-24.10000000,6,False
