"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","SqueezeEnabled","MaximumAccountPositions","PartialRunnerEnabled","ClosePercent","TriggerR","TargetR","StopLockR","SqueezeRiskPercent","SqueezeTakeProfitR","ExpectedReportName","PackageConfig","SourceConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","sqpr_exact_control","1","exact_leader_control","four_lane_m15_squeeze_partial_runner_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","3","false","80","1.50","4.00","1.25","0.10","1.50","sqpr_exact_control_older_2015_2018_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\001_sqpr_exact_control_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\001_sqpr_exact_control_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_exact_control_older_2015_2018_m1","D7CE5A76903FD97D501C4A99ED77E67BAFD0D8DA5B8F893DD77A75DF592A9A30","92B75EF9145FC15A6306974635B4022AFFCA8793E0880C269D4065A0EA07AD92","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"2","sqpr_exact_control","1","exact_leader_control","four_lane_m15_squeeze_partial_runner_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","false","3","false","80","1.50","4.00","1.25","0.10","1.50","sqpr_exact_control_discovery_2019_2020_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\002_sqpr_exact_control_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\002_sqpr_exact_control_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_exact_control_discovery_2019_2020_m1","0D0DB68D40081458B5CE5EF5DA33EDEFC954CFEA4598C05C070B00FA22D8CF19","92B75EF9145FC15A6306974635B4022AFFCA8793E0880C269D4065A0EA07AD92","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"3","sqpr_exact_control","1","exact_leader_control","four_lane_m15_squeeze_partial_runner_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","3","false","80","1.50","4.00","1.25","0.10","1.50","sqpr_exact_control_continuous_2015_2020_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\003_sqpr_exact_control_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\003_sqpr_exact_control_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_exact_control_continuous_2015_2020_m1","562004FE4C80783B8D1746C3D28EBDEA9FA925970E075522EF000A06DBF26002","92B75EF9145FC15A6306974635B4022AFFCA8793E0880C269D4065A0EA07AD92","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"4","sqpr_reference","2","active_squeeze_reference","four_lane_m15_squeeze_partial_runner_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","false","80","1.50","4.00","1.25","0.10","1.50","sqpr_reference_older_2015_2018_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\004_sqpr_reference_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\004_sqpr_reference_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_reference_older_2015_2018_m1","C875B3F845F6F95424C8D247595A572A722C91D8FA61CFF62A808C44CF02BAF0","C7FBCEE290AA1C6B3B89092ED84E8DD737CEA48D088D784C81F5F2F236DD5A4A","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"5","sqpr_reference","2","active_squeeze_reference","four_lane_m15_squeeze_partial_runner_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","false","80","1.50","4.00","1.25","0.10","1.50","sqpr_reference_discovery_2019_2020_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\005_sqpr_reference_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\005_sqpr_reference_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_reference_discovery_2019_2020_m1","57181849CC1B95C4D941C43BC10734BA53A9D86A9D03D526FA8308080D24062E","C7FBCEE290AA1C6B3B89092ED84E8DD737CEA48D088D784C81F5F2F236DD5A4A","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"6","sqpr_reference","2","active_squeeze_reference","four_lane_m15_squeeze_partial_runner_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","false","80","1.50","4.00","1.25","0.10","1.50","sqpr_reference_continuous_2015_2020_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\006_sqpr_reference_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\006_sqpr_reference_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_reference_continuous_2015_2020_m1","11EE4B57B2606564547132D2879D852E57041F78D2BD770C394CE4D9C370374B","C7FBCEE290AA1C6B3B89092ED84E8DD737CEA48D088D784C81F5F2F236DD5A4A","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"7","sqpr_center","3","fixed_center","four_lane_m15_squeeze_partial_runner_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","true","80","1.50","4.00","1.25","0.10","1.50","sqpr_center_older_2015_2018_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\007_sqpr_center_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\007_sqpr_center_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_center_older_2015_2018_m1","646B01D452A2F7BEEF5DAFD7D8E0D50B0F652D03B3D79484EC9DC0B79A99990E","64B524325F718BA2262598705EF2A256BE7F229407614FE596B941ABB3FAF159","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"8","sqpr_center","3","fixed_center","four_lane_m15_squeeze_partial_runner_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","true","80","1.50","4.00","1.25","0.10","1.50","sqpr_center_discovery_2019_2020_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\008_sqpr_center_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\008_sqpr_center_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_center_discovery_2019_2020_m1","9E869B936FB294991BC03CA1B9FA239C7A4868F008F12B64EAF566790FD6C7B1","64B524325F718BA2262598705EF2A256BE7F229407614FE596B941ABB3FAF159","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"9","sqpr_center","3","fixed_center","four_lane_m15_squeeze_partial_runner_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","true","80","1.50","4.00","1.25","0.10","1.50","sqpr_center_continuous_2015_2020_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\009_sqpr_center_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\009_sqpr_center_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_center_continuous_2015_2020_m1","5277010BBFDDE21F606121C183B55705E619966E52C681A0B7CE2E5E876F8002","64B524325F718BA2262598705EF2A256BE7F229407614FE596B941ABB3FAF159","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
"10","sqpr_close70","4","close_neighbor_low","four_lane_m15_squeeze_partial_runner_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","true","70","1.50","4.00","1.25","0.10","1.50","sqpr_close70_older_2015_2018_m1","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\010_sqpr_close70_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\configs\010_sqpr_close70_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_partial_runner_discovery_model1_package\reports_here\sqpr_close70_older_2015_2018_m1","C7829FE56DF0E95063F14053D08F1EB3669BD34E46FBC7905514E03D5304F7D8","643D524E6CBD3EA7A36DD23D0674ADA2B6779CB8F82411C0C76AAEA69F44A11F","1E05D5E8A9283EC34EC9F8116E21C363E4D100BE782065E87DDDC90CCC3E6005","Pre-2021 discovery only. Exact leader control and active 1.50R squeeze reference must reproduce prior results. Every report must be profitable. Fixed 80%/4R/+1.25R center must be no worse than the active reference in both disjoint eras, improve continuous net >=3% and CAGR >=0.08 point, retain PF >=98% of leader control, recovery and return/drawdown >=active reference, keep DD <=1.30% and <=reference+0.15 point, and produce 380-450 report trades. At least three of six one-factor neighbors must retain >=98% of reference net in both eras, improve continuous net >=1%, retain PF >=98% of leader control and recovery/return-DD >=98% of reference, and meet the same DD/activity limits. No alternate center, threshold rescue, or post-result parameter selection."
