"QueueRank","Candidate","CandidateRank","Role","Phase","Window","From","To","Model","Deposit","FeatureEnabled","MaximumAccountPositions","SqueezeRiskPercent","SqueezeTakeProfitR","BreakoutLookbackBars","MaximumHoldBars","MaximumPortfolioOpenRiskPercent","ExpectedReportName","PackageConfig","ReportDestination","ConfigSha256","ProfileSha256","SourceSha256","StopRule"
"1","sqt_exact_control","1","exact_leader_control","four_lane_m15_squeeze_target_interaction_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","3","0.10","1.50","8","32","0.75","sqt_exact_control_older_2015_2018_m1","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\configs\001_sqt_exact_control_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_exact_control_older_2015_2018_m1","CC2194D91A3FFDD687CDAFA0C0433281C9BBBD1CC20313069A268E0495EB4819","FE70AE3E8A634EFB8730D8513ABEFA158D954331AFF1B852FDF92D0EA4F697DB","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Both disabled controls and the enabled 1.50R reference must exactly reproduce their prior identities. Fixed 2.00R center must be profitable and no worse than leader control in each disjoint era, improve continuous net >=10% and CAGR >=0.20 point, retain PF >=98% of control, recovery and return/drawdown >=control, keep DD <=1.30% and <=control+0.15 point, and retain >=300 trades. At least one 1.75R or 2.25R neighbor must be no worse than control in both eras, improve net >=8% and CAGR >=0.15 point, retain PF/recovery/return-DD >=98% of control, meet the same DD and activity limits, and differ from the 1.50R reference. No alternate target selection or threshold rescue after observation."
"2","sqt_exact_control","1","exact_leader_control","four_lane_m15_squeeze_target_interaction_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","false","3","0.10","1.50","8","32","0.75","sqt_exact_control_discovery_2019_2020_m1","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\configs\002_sqt_exact_control_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_exact_control_discovery_2019_2020_m1","2457AA0C934E30A06C26E562CC6EDB06B49FFFF2E9E825BDAC152017C4D914EF","FE70AE3E8A634EFB8730D8513ABEFA158D954331AFF1B852FDF92D0EA4F697DB","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Both disabled controls and the enabled 1.50R reference must exactly reproduce their prior identities. Fixed 2.00R center must be profitable and no worse than leader control in each disjoint era, improve continuous net >=10% and CAGR >=0.20 point, retain PF >=98% of control, recovery and return/drawdown >=control, keep DD <=1.30% and <=control+0.15 point, and retain >=300 trades. At least one 1.75R or 2.25R neighbor must be no worse than control in both eras, improve net >=8% and CAGR >=0.15 point, retain PF/recovery/return-DD >=98% of control, meet the same DD and activity limits, and differ from the 1.50R reference. No alternate target selection or threshold rescue after observation."
"3","sqt_exact_control","1","exact_leader_control","four_lane_m15_squeeze_target_interaction_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","3","0.10","1.50","8","32","0.75","sqt_exact_control_continuous_2015_2020_m1","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\configs\003_sqt_exact_control_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_exact_control_continuous_2015_2020_m1","69242BE339E48606584B1C9D2416C37A7BFE883BF72F7C20E397F820676E8760","FE70AE3E8A634EFB8730D8513ABEFA158D954331AFF1B852FDF92D0EA4F697DB","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Both disabled controls and the enabled 1.50R reference must exactly reproduce their prior identities. Fixed 2.00R center must be profitable and no worse than leader control in each disjoint era, improve continuous net >=10% and CAGR >=0.20 point, retain PF >=98% of control, recovery and return/drawdown >=control, keep DD <=1.30% and <=control+0.15 point, and retain >=300 trades. At least one 1.75R or 2.25R neighbor must be no worse than control in both eras, improve net >=8% and CAGR >=0.15 point, retain PF/recovery/return-DD >=98% of control, meet the same DD and activity limits, and differ from the 1.50R reference. No alternate target selection or threshold rescue after observation."
"4","sqt_capacity_control","2","disabled_four_position_control","four_lane_m15_squeeze_target_interaction_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","false","4","0.10","1.50","8","32","0.75","sqt_capacity_control_older_2015_2018_m1","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\configs\004_sqt_capacity_control_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_capacity_control_older_2015_2018_m1","10A12ACFF3F71115CA90FFD339A2D26C13C342C9F08ABE4969B18969D0C55100","A332BBBB33981864326C34B77C95E6AF39B419F05BA9C4B1A6F9441E55F2DC2F","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Both disabled controls and the enabled 1.50R reference must exactly reproduce their prior identities. Fixed 2.00R center must be profitable and no worse than leader control in each disjoint era, improve continuous net >=10% and CAGR >=0.20 point, retain PF >=98% of control, recovery and return/drawdown >=control, keep DD <=1.30% and <=control+0.15 point, and retain >=300 trades. At least one 1.75R or 2.25R neighbor must be no worse than control in both eras, improve net >=8% and CAGR >=0.15 point, retain PF/recovery/return-DD >=98% of control, meet the same DD and activity limits, and differ from the 1.50R reference. No alternate target selection or threshold rescue after observation."
"5","sqt_capacity_control","2","disabled_four_position_control","four_lane_m15_squeeze_target_interaction_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","false","4","0.10","1.50","8","32","0.75","sqt_capacity_control_discovery_2019_2020_m1","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\configs\005_sqt_capacity_control_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_capacity_control_discovery_2019_2020_m1","DE38A8FD90951148ACBC344B811467F394AE530E50281EA4767E9ECF9786ADEF","A332BBBB33981864326C34B77C95E6AF39B419F05BA9C4B1A6F9441E55F2DC2F","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Both disabled controls and the enabled 1.50R reference must exactly reproduce their prior identities. Fixed 2.00R center must be profitable and no worse than leader control in each disjoint era, improve continuous net >=10% and CAGR >=0.20 point, retain PF >=98% of control, recovery and return/drawdown >=control, keep DD <=1.30% and <=control+0.15 point, and retain >=300 trades. At least one 1.75R or 2.25R neighbor must be no worse than control in both eras, improve net >=8% and CAGR >=0.15 point, retain PF/recovery/return-DD >=98% of control, meet the same DD and activity limits, and differ from the 1.50R reference. No alternate target selection or threshold rescue after observation."
"6","sqt_capacity_control","2","disabled_four_position_control","four_lane_m15_squeeze_target_interaction_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","false","4","0.10","1.50","8","32","0.75","sqt_capacity_control_continuous_2015_2020_m1","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\configs\006_sqt_capacity_control_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_capacity_control_continuous_2015_2020_m1","1E280CFB35E78D204054C22F167F836E9367041438FEEC3ACBDA03CB66991EFC","A332BBBB33981864326C34B77C95E6AF39B419F05BA9C4B1A6F9441E55F2DC2F","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Both disabled controls and the enabled 1.50R reference must exactly reproduce their prior identities. Fixed 2.00R center must be profitable and no worse than leader control in each disjoint era, improve continuous net >=10% and CAGR >=0.20 point, retain PF >=98% of control, recovery and return/drawdown >=control, keep DD <=1.30% and <=control+0.15 point, and retain >=300 trades. At least one 1.75R or 2.25R neighbor must be no worse than control in both eras, improve net >=8% and CAGR >=0.15 point, retain PF/recovery/return-DD >=98% of control, meet the same DD and activity limits, and differ from the 1.50R reference. No alternate target selection or threshold rescue after observation."
"7","sqt_reference150","3","enabled_reference","four_lane_m15_squeeze_target_interaction_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","0.10","1.50","8","32","0.75","sqt_reference150_older_2015_2018_m1","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\configs\007_sqt_reference150_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_reference150_older_2015_2018_m1","100574AB9F80BE9FAB60C4908F901791E2AABE98DD7761661EDC8DA19502C7BE","44465C16894FE98F937DF2EE84B8C098C958734EAD62AB44659A038BBF3DDF94","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Both disabled controls and the enabled 1.50R reference must exactly reproduce their prior identities. Fixed 2.00R center must be profitable and no worse than leader control in each disjoint era, improve continuous net >=10% and CAGR >=0.20 point, retain PF >=98% of control, recovery and return/drawdown >=control, keep DD <=1.30% and <=control+0.15 point, and retain >=300 trades. At least one 1.75R or 2.25R neighbor must be no worse than control in both eras, improve net >=8% and CAGR >=0.15 point, retain PF/recovery/return-DD >=98% of control, meet the same DD and activity limits, and differ from the 1.50R reference. No alternate target selection or threshold rescue after observation."
"8","sqt_reference150","3","enabled_reference","four_lane_m15_squeeze_target_interaction_discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","0.10","1.50","8","32","0.75","sqt_reference150_discovery_2019_2020_m1","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\configs\008_sqt_reference150_discovery_2019_2020_m1.ini","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_reference150_discovery_2019_2020_m1","F36026DB8EBE4A38220C072BDADC6FB566AC0CD5BDC1453B4805428271D69C48","44465C16894FE98F937DF2EE84B8C098C958734EAD62AB44659A038BBF3DDF94","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Both disabled controls and the enabled 1.50R reference must exactly reproduce their prior identities. Fixed 2.00R center must be profitable and no worse than leader control in each disjoint era, improve continuous net >=10% and CAGR >=0.20 point, retain PF >=98% of control, recovery and return/drawdown >=control, keep DD <=1.30% and <=control+0.15 point, and retain >=300 trades. At least one 1.75R or 2.25R neighbor must be no worse than control in both eras, improve net >=8% and CAGR >=0.15 point, retain PF/recovery/return-DD >=98% of control, meet the same DD and activity limits, and differ from the 1.50R reference. No alternate target selection or threshold rescue after observation."
"9","sqt_reference150","3","enabled_reference","four_lane_m15_squeeze_target_interaction_discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","0.10","1.50","8","32","0.75","sqt_reference150_continuous_2015_2020_m1","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\configs\009_sqt_reference150_continuous_2015_2020_m1.ini","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_reference150_continuous_2015_2020_m1","9CA97EC3C0727F719D881584C5742FE4749127264A3432FEB85275E29B2FB76F","44465C16894FE98F937DF2EE84B8C098C958734EAD62AB44659A038BBF3DDF94","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Both disabled controls and the enabled 1.50R reference must exactly reproduce their prior identities. Fixed 2.00R center must be profitable and no worse than leader control in each disjoint era, improve continuous net >=10% and CAGR >=0.20 point, retain PF >=98% of control, recovery and return/drawdown >=control, keep DD <=1.30% and <=control+0.15 point, and retain >=300 trades. At least one 1.75R or 2.25R neighbor must be no worse than control in both eras, improve net >=8% and CAGR >=0.15 point, retain PF/recovery/return-DD >=98% of control, meet the same DD and activity limits, and differ from the 1.50R reference. No alternate target selection or threshold rescue after observation."
"10","sqt_low175","4","lower_neighbor","four_lane_m15_squeeze_target_interaction_discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","0.10","1.75","8","32","0.75","sqt_low175_older_2015_2018_m1","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\configs\010_sqt_low175_older_2015_2018_m1.ini","outputs\four_lane_m15_squeeze_target_interaction_discovery_model1_package\reports_here\sqt_low175_older_2015_2018_m1","9E16CCFC5DD43A07C7E5EFC0D6A4542FB3A4E85F24B0C95CBC326766119C4122","0183C3BA8CCD119584BE71366CF93FBD77E8812479A5A794438FD81F10B7E2B9","5D756F58DDAB31D2DC909B8DD800C8D888582691A7208FFD7FD1E3F597D3A5C6","Discovery only. Both disabled controls and the enabled 1.50R reference must exactly reproduce their prior identities. Fixed 2.00R center must be profitable and no worse than leader control in each disjoint era, improve continuous net >=10% and CAGR >=0.20 point, retain PF >=98% of control, recovery and return/drawdown >=control, keep DD <=1.30% and <=control+0.15 point, and retain >=300 trades. At least one 1.75R or 2.25R neighbor must be no worse than control in both eras, improve net >=8% and CAGR >=0.15 point, retain PF/recovery/return-DD >=98% of control, meet the same DD and activity limits, and differ from the 1.50R reference. No alternate target selection or threshold rescue after observation."
