"Role","Required","Status","Detail","LocalPath","RemotePath","LocalSha256","LocalGitBlobSha","LocalGitTextBlobSha","RemoteSha256","RemoteGitBlobSha","LocalBytes","RemoteBytes","RemoteLocation","RemoteError","ConnectorVerification","Note"
"root-ea-source","True","PASS","CONNECTOR_TEXT_BLOB_MATCH","Professional_XAUUSD_EA.mq5","Professional_XAUUSD_EA.mq5","A167CDB787E09F6E97B961D46963452527936434245FC42C7593E94EDF504622","eb6b66d01249af8c4c12034d9eb5892d6a4a9580","f04f12ea3b4aadde892efe7df37319e3a4e7266f","","f04f12ea3b4aadde892efe7df37319e3a4e7266f","952086","0","https://raw.githubusercontent.com/Antoee/gold/main/Professional_XAUUSD_EA.mq5","unavailable-or-missing","outputs\GITHUB_CONNECTOR_PUBLICATION_VERIFICATION.csv","Exact root EA source required for reproducible publication."
"mirrored-ea-source","True","PASS","CONNECTOR_TEXT_BLOB_MATCH","outputs\Professional_XAUUSD_EA.mq5","outputs/Professional_XAUUSD_EA.mq5","A167CDB787E09F6E97B961D46963452527936434245FC42C7593E94EDF504622","eb6b66d01249af8c4c12034d9eb5892d6a4a9580","f04f12ea3b4aadde892efe7df37319e3a4e7266f","","f04f12ea3b4aadde892efe7df37319e3a4e7266f","952086","0","https://raw.githubusercontent.com/Antoee/gold/main/outputs/Professional_XAUUSD_EA.mq5","unavailable-or-missing","outputs\GITHUB_CONNECTOR_PUBLICATION_VERIFICATION.csv","Mirrored output EA source required for hash identity."
"trade-ready-conservative-profile","True","PASS","CONNECTOR_TEXT_BLOB_MATCH","outputs\CANDIDATE_TRADE_READY_CONSERVATIVE_PROFILE.set","outputs/CANDIDATE_TRADE_READY_CONSERVATIVE_PROFILE.set","7AA4135B6FBA2FFC59B48E6EB68E0F7E954AB9BA18054BCA3E658AC0FEAD6BAF","0815570cd1a16a8c81e0f7a947b260ba59707778","e2fb15a07701d4473d8b8dafda83f9b81b532efd","","e2fb15a07701d4473d8b8dafda83f9b81b532efd","22876","0","https://raw.githubusercontent.com/Antoee/gold/main/outputs/CANDIDATE_TRADE_READY_CONSERVATIVE_PROFILE.set","unavailable-or-missing","outputs\GITHUB_CONNECTOR_PUBLICATION_VERIFICATION.csv","Conservative profile used by live-readiness gates."
"money-ready-profile","True","PASS","CONNECTOR_TEXT_BLOB_MATCH","outputs\CANDIDATE_MONEY_READY_PROFILE.set","outputs/CANDIDATE_MONEY_READY_PROFILE.set","D0459197F2A8CA1385F139694BD036AA9A3A596BB406F7D4474CDC8444605C79","4d08c8fb1f0d52b6c0c62d62daa08a5303bfee8d","3fe8299255f9dcb0486fe67905d8e8c1772b2f90","","3fe8299255f9dcb0486fe67905d8e8c1772b2f90","22776","0","https://raw.githubusercontent.com/Antoee/gold/main/outputs/CANDIDATE_MONEY_READY_PROFILE.set","unavailable-or-missing","outputs\GITHUB_CONNECTOR_PUBLICATION_VERIFICATION.csv","Money-ready demo/forward-test candidate profile."
"trade-readiness-alias-profile","True","PASS","CONNECTOR_TEXT_BLOB_MATCH","outputs\CANDIDATE_TRADE_READINESS_PROFILE.set","outputs/CANDIDATE_TRADE_READINESS_PROFILE.set","D0459197F2A8CA1385F139694BD036AA9A3A596BB406F7D4474CDC8444605C79","4d08c8fb1f0d52b6c0c62d62daa08a5303bfee8d","3fe8299255f9dcb0486fe67905d8e8c1772b2f90","","3fe8299255f9dcb0486fe67905d8e8c1772b2f90","22776","0","https://raw.githubusercontent.com/Antoee/gold/main/outputs/CANDIDATE_TRADE_READINESS_PROFILE.set","unavailable-or-missing","outputs\GITHUB_CONNECTOR_PUBLICATION_VERIFICATION.csv","Alias profile expected to match money-ready profile."
"source-manifest","True","PASS","CONNECTOR_BLOB_MATCH","outputs\SOURCE_MANIFEST.md","outputs/SOURCE_MANIFEST.md","FCCD57903C96DF381552C910CAFD5C0F4943D457AC1FDA3A42F2A8D65A291611","7e923527303b01369581b318c0772b2564ac29a8","7e923527303b01369581b318c0772b2564ac29a8","","7e923527303b01369581b318c0772b2564ac29a8","7042","0","https://raw.githubusercontent.com/Antoee/gold/main/outputs/SOURCE_MANIFEST.md","unavailable-or-missing","outputs\GITHUB_CONNECTOR_PUBLICATION_VERIFICATION.csv","Source hash/status manifest."
"current-research-best","True","PASS","CONNECTOR_BLOB_MATCH","outputs\CURRENT_RESEARCH_BEST_PROFILE.md","outputs/CURRENT_RESEARCH_BEST_PROFILE.md","2F9EADEBA52BE67F15D83EFCC7F8B17784009C99BAED337DB5EFC61D82D9E0C4","67572b2721f36a56aaaa93eadb121a2ba7c87146","67572b2721f36a56aaaa93eadb121a2ba7c87146","","67572b2721f36a56aaaa93eadb121a2ba7c87146","52197","0","https://raw.githubusercontent.com/Antoee/gold/main/outputs/CURRENT_RESEARCH_BEST_PROFILE.md","unavailable-or-missing","outputs\GITHUB_CONNECTOR_PUBLICATION_VERIFICATION.csv","Current promoted research profile status."
"readme-dashboard","False","INFO","OPTIONAL_NOT_VERIFIED","README.md","README.md","68A2557AA32A7F5BCE585502EF7544E96A51131E70645D7037ED1368EF55C5F3","e20c8dc76e1c6ae89cf80256e740a54f3d34769f","e20c8dc76e1c6ae89cf80256e740a54f3d34769f","","","153017","0","https://raw.githubusercontent.com/Antoee/gold/main/README.md","unavailable-or-missing","outputs\GITHUB_CONNECTOR_PUBLICATION_VERIFICATION.csv","Human-facing repository dashboard."
"github-status-dashboard","False","INFO","OPTIONAL_NOT_VERIFIED","outputs\GITHUB_STATUS_DASHBOARD.md","outputs/GITHUB_STATUS_DASHBOARD.md","3F853CABD1F5310D078A555C615FEC29E887E58A7908437670981EEB8E6E7BDA","ce5f72a562b3347e82987728e12641a67a3641a1","ce5f72a562b3347e82987728e12641a67a3641a1","","","9961","0","https://raw.githubusercontent.com/Antoee/gold/main/outputs/GITHUB_STATUS_DASHBOARD.md","unavailable-or-missing","outputs\GITHUB_CONNECTOR_PUBLICATION_VERIFICATION.csv","Compact GitHub-facing status board."
"money-ready-refresh","False","INFO","OPTIONAL_NOT_VERIFIED","outputs\MONEY_READY_REFRESH_STATUS.md","outputs/MONEY_READY_REFRESH_STATUS.md","4D16948280D66FEE4F2A4E2263636148788692215F77CD5871B4485E0A0EA299","f432609b57dccbec5212b788689c153d033dd7a2","5f39d23b1a72ee7ae9011698c1c30d3cae2317a1","","","4483","0","https://raw.githubusercontent.com/Antoee/gold/main/outputs/MONEY_READY_REFRESH_STATUS.md","unavailable-or-missing","outputs\GITHUB_CONNECTOR_PUBLICATION_VERIFICATION.csv","Latest one-command refresh status."
