"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","h4cf_40_20_l20_a25","1","h4_channel_capital_feasible","1","capital_feasible_model1","h4cf_40_20_l20_a25.set","discovery_2015_2020","2015.01.01","2020.12.31","1","configs\001_h4cf_40_20_l20_a25_discovery_2015_2020_m1.ini","h4cf_40_20_l20_a25_discovery_2015_2020_m1","profiles\h4cf_40_20_l20_a25.set","C561DDE5F60F41FF7B6F7438900086318E2F3D06208E31F3E6DA030368021DB5","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\h4cf_40_20_l20_a25_discovery_2015_2020_m1.htm","10000","2191","5.9986","1888.65","11888.65","18.89","3.15","2.93","1.45","8.18","1.43","38.53","231","9","505.11","4.54","413.97","505.11","3.74","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"2","h4cf_40_20_l20_a25","1","h4_channel_capital_feasible","1","capital_feasible_model1","h4cf_40_20_l20_a25.set","validation_2021_2026","2021.01.01","2026.07.12","1","configs\002_h4cf_40_20_l20_a25_validation_2021_2026_m1.ini","h4cf_40_20_l20_a25_validation_2021_2026_m1","profiles\h4cf_40_20_l20_a25.set","C561DDE5F60F41FF7B6F7438900086318E2F3D06208E31F3E6DA030368021DB5","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\h4cf_40_20_l20_a25_validation_2021_2026_m1.htm","10000","2018","5.525","-477.88","9522.12","-4.78","-0.86","-0.88","0.47","-10.39","-2.65","21.74","46","12","570.41","5.65","505.04","570.41","-0.84","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"3","h4cf_40_20_l20_a25","1","h4_channel_capital_feasible","1","capital_feasible_model1","h4cf_40_20_l20_a25.set","continuous_2015_2026","2015.01.01","2026.07.12","1","configs\003_h4cf_40_20_l20_a25_continuous_2015_2026_m1.ini","h4cf_40_20_l20_a25_continuous_2015_2026_m1","profiles\h4cf_40_20_l20_a25.set","C561DDE5F60F41FF7B6F7438900086318E2F3D06208E31F3E6DA030368021DB5","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\h4cf_40_20_l20_a25_continuous_2015_2026_m1.htm","10000","4210","11.5264","1341.97","11341.97","13.42","1.16","1.1","1.27","5.04","0.93","36.47","266","10","673.6","5.61","606.62","673.6","1.99","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"4","h4cf_55_20_l20_a25","2","h4_channel_capital_feasible","1","capital_feasible_model1","h4cf_55_20_l20_a25.set","discovery_2015_2020","2015.01.01","2020.12.31","1","configs\004_h4cf_55_20_l20_a25_discovery_2015_2020_m1.ini","h4cf_55_20_l20_a25_discovery_2015_2020_m1","profiles\h4cf_55_20_l20_a25.set","F4093AA13832FC277E1D96616054AF2164A7774F1E0411415A655760CC77AD57","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\h4cf_55_20_l20_a25_discovery_2015_2020_m1.htm","10000","2191","5.9986","2139.7","12139.7","21.4","3.57","3.29","1.64","11.26","1.87","42.11","190","8","441.72","4.15","352.92","441.72","4.84","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"5","h4cf_55_20_l20_a25","2","h4_channel_capital_feasible","1","capital_feasible_model1","h4cf_55_20_l20_a25.set","validation_2021_2026","2021.01.01","2026.07.12","1","configs\005_h4cf_55_20_l20_a25_validation_2021_2026_m1.ini","h4cf_55_20_l20_a25_validation_2021_2026_m1","profiles\h4cf_55_20_l20_a25.set","F4093AA13832FC277E1D96616054AF2164A7774F1E0411415A655760CC77AD57","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\h4cf_55_20_l20_a25_validation_2021_2026_m1.htm","10000","2018","5.525","-473.37","9526.63","-4.73","-0.86","-0.87","0.41","-11.55","-2.86","24.39","41","9","581.75","5.76","515.2","581.75","-0.81","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"6","h4cf_55_20_l20_a25","2","h4_channel_capital_feasible","1","capital_feasible_model1","h4cf_55_20_l20_a25.set","continuous_2015_2026","2015.01.01","2026.07.12","1","configs\006_h4cf_55_20_l20_a25_continuous_2015_2026_m1.ini","h4cf_55_20_l20_a25_continuous_2015_2026_m1","profiles\h4cf_55_20_l20_a25.set","F4093AA13832FC277E1D96616054AF2164A7774F1E0411415A655760CC77AD57","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\h4cf_55_20_l20_a25_continuous_2015_2026_m1.htm","10000","4210","11.5264","1580.63","11580.63","15.81","1.37","1.28","1.37","6.9","1.23","39.3","229","9","685.99","5.59","614.47","685.99","2.3","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"7","h4cf_55_20_l20_a30","3","h4_channel_capital_feasible","1","capital_feasible_model1","h4cf_55_20_l20_a30.set","discovery_2015_2020","2015.01.01","2020.12.31","1","configs\007_h4cf_55_20_l20_a30_discovery_2015_2020_m1.ini","h4cf_55_20_l20_a30_discovery_2015_2020_m1","profiles\h4cf_55_20_l20_a30.set","940CB5B7C2E6C9786473460ED4C65274430C4CDC3665DDDBAF5EADDA870760DE","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\h4cf_55_20_l20_a30_discovery_2015_2020_m1.htm","10000","2191","5.9986","2423.58","12423.58","24.24","4.04","3.68","1.69","14.43","1.75","41.07","168","7","411.88","3.81","308.72","411.88","5.88","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"8","h4cf_55_20_l20_a30","3","h4_channel_capital_feasible","1","capital_feasible_model1","h4cf_55_20_l20_a30.set","validation_2021_2026","2021.01.01","2026.07.12","1","configs\008_h4cf_55_20_l20_a30_validation_2021_2026_m1.ini","h4cf_55_20_l20_a30_validation_2021_2026_m1","profiles\h4cf_55_20_l20_a30.set","940CB5B7C2E6C9786473460ED4C65274430C4CDC3665DDDBAF5EADDA870760DE","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\h4cf_55_20_l20_a30_validation_2021_2026_m1.htm","10000","2018","5.525","-501.7","9498.3","-5.02","-0.91","-0.93","0.25","-16.18","-3.25","22.58","31","8","600.49","5.95","536.29","600.49","-0.84","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"9","h4cf_55_20_l20_a30","3","h4_channel_capital_feasible","1","capital_feasible_model1","h4cf_55_20_l20_a30.set","continuous_2015_2026","2015.01.01","2026.07.12","1","configs\009_h4cf_55_20_l20_a30_continuous_2015_2026_m1.ini","h4cf_55_20_l20_a30_continuous_2015_2026_m1","profiles\h4cf_55_20_l20_a30.set","940CB5B7C2E6C9786473460ED4C65274430C4CDC3665DDDBAF5EADDA870760DE","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\h4cf_55_20_l20_a30_continuous_2015_2026_m1.htm","10000","4210","11.5264","1842.75","11842.75","18.43","1.6","1.48","1.43","9.4","1.21","38.78","196","7","731.95","5.82","646.67","731.95","2.52","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"10","h4cf_80_40_l20_a30","4","h4_channel_capital_feasible","1","capital_feasible_model1","h4cf_80_40_l20_a30.set","discovery_2015_2020","2015.01.01","2020.12.31","1","configs\010_h4cf_80_40_l20_a30_discovery_2015_2020_m1.ini","h4cf_80_40_l20_a30_discovery_2015_2020_m1","profiles\h4cf_80_40_l20_a30.set","AA9A1ECE6084E9F69AA19D99B2FD7B0CCC9A1290EE60F06D44250F3758AA4A90","Require discovery and validation net above zero, continuous PF >= 1.30, at least 100 continuous trades, max DD <= 5%, and at least two neighboring shapes passing before Model4. This follow-up is holdout-informed capital-feasibility research, not pristine OOS evidence.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\h4cf_80_40_l20_a30_discovery_2015_2020_m1.htm","10000","2191","5.9986","2459.78","12459.78","24.6","4.1","3.73","1.93","18.22","2.1","45.19","135","6","392.14","3.59","227.17","392.14","6.27","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
