"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","di_off","1","htf_band_reversion_di_gate","1","broad_model1","htf_band_reversion_di_off.set","continuous_2015_2026","2015.01.01","2026.07.12","1","configs\001_htf_band_reversion_di_off_continuous_2015_2026_m1.ini","htf_band_reversion_di_off_continuous_2015_2026_m1","profiles\htf_band_reversion_di_off.set","4A426D25CB029D0EA8E1BA458839643143B80C60FD772726140DA170AAB97C91","Advance only a neighboring DI threshold plateau with positive net in all three eras, continuous PF >= 1.50, and adequate activity.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\htf_band_reversion_di_off_continuous_2015_2026_m1.htm","10000","4210","11.5264","391.76","10391.76","3.92","0.34","0.33","2.05","8.71","7.87","42.22","45","5","125.95","1.25","108.72","125.95","3.11","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"2","di_off","2","htf_band_reversion_di_gate","1","broad_model1","htf_band_reversion_di_off.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\002_htf_band_reversion_di_off_older_2015_2018_m1.ini","htf_band_reversion_di_off_older_2015_2018_m1","profiles\htf_band_reversion_di_off.set","4A426D25CB029D0EA8E1BA458839643143B80C60FD772726140DA170AAB97C91","Advance only a neighboring DI threshold plateau with positive net in all three eras, continuous PF >= 1.50, and adequate activity.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\htf_band_reversion_di_off_older_2015_2018_m1.htm","10000","1460","3.9973","66.99","10066.99","0.67","0.17","0.17","1.9","6.09","3.99","36.36","11","2","32.35","0.32","20.78","32.35","2.07","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"3","di_off","3","htf_band_reversion_di_gate","1","broad_model1","htf_band_reversion_di_off.set","middle_2019_2022","2019.01.01","2022.12.31","1","configs\003_htf_band_reversion_di_off_middle_2019_2022_m1.ini","htf_band_reversion_di_off_middle_2019_2022_m1","profiles\htf_band_reversion_di_off.set","4A426D25CB029D0EA8E1BA458839643143B80C60FD772726140DA170AAB97C91","Advance only a neighboring DI threshold plateau with positive net in all three eras, continuous PF >= 1.50, and adequate activity.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\htf_band_reversion_di_off_middle_2019_2022_m1.htm","10000","1460","3.9973","144.38","10144.38","1.44","0.36","0.36","1.73","6.88","6.35","38.1","21","5","125.95","1.26","100.22","125.95","1.15","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"4","di_off","4","htf_band_reversion_di_gate","1","broad_model1","htf_band_reversion_di_off.set","recent_2023_2026","2023.01.01","2026.07.12","1","configs\004_htf_band_reversion_di_off_recent_2023_2026_m1.ini","htf_band_reversion_di_off_recent_2023_2026_m1","profiles\htf_band_reversion_di_off.set","4A426D25CB029D0EA8E1BA458839643143B80C60FD772726140DA170AAB97C91","Advance only a neighboring DI threshold plateau with positive net in all three eras, continuous PF >= 1.50, and adequate activity.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\htf_band_reversion_di_off_recent_2023_2026_m1.htm","10000","1288","3.5264","184.66","10184.66","1.85","0.52","0.52","2.91","14.2","2.29","53.85","13","4","108.19","1.07","61.8","108.19","1.71","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"5","di_m12","5","htf_band_reversion_di_gate","1","broad_model1","htf_band_reversion_di_m12.set","continuous_2015_2026","2015.01.01","2026.07.12","1","configs\005_htf_band_reversion_di_m12_continuous_2015_2026_m1.ini","htf_band_reversion_di_m12_continuous_2015_2026_m1","profiles\htf_band_reversion_di_m12.set","BD2B111788F3C4A7F459A2766BD5F035BCD312A02A6823E38B30AE540523B6F3","Advance only a neighboring DI threshold plateau with positive net in all three eras, continuous PF >= 1.50, and adequate activity.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\htf_band_reversion_di_m12_continuous_2015_2026_m1.htm","10000","4210","11.5264","456.9","10456.9","4.57","0.4","0.39","2.57","12.02","10.64","47.37","38","5","113.74","1.12","91.47","113.74","4.02","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"6","di_m12","6","htf_band_reversion_di_gate","1","broad_model1","htf_band_reversion_di_m12.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\006_htf_band_reversion_di_m12_older_2015_2018_m1.ini","htf_band_reversion_di_m12_older_2015_2018_m1","profiles\htf_band_reversion_di_m12.set","BD2B111788F3C4A7F459A2766BD5F035BCD312A02A6823E38B30AE540523B6F3","Advance only a neighboring DI threshold plateau with positive net in all three eras, continuous PF >= 1.50, and adequate activity.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\htf_band_reversion_di_m12_older_2015_2018_m1.htm","10000","1460","3.9973","87.59","10087.59","0.88","0.22","0.22","2.62","9.73","3.58","44.44","9","1","27.75","0.28","16.95","27.75","3.16","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"7","di_m12","7","htf_band_reversion_di_gate","1","broad_model1","htf_band_reversion_di_m12.set","middle_2019_2022","2019.01.01","2022.12.31","1","configs\007_htf_band_reversion_di_m12_middle_2019_2022_m1.ini","htf_band_reversion_di_m12_middle_2019_2022_m1","profiles\htf_band_reversion_di_m12.set","BD2B111788F3C4A7F459A2766BD5F035BCD312A02A6823E38B30AE540523B6F3","Advance only a neighboring DI threshold plateau with positive net in all three eras, continuous PF >= 1.50, and adequate activity.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\htf_band_reversion_di_m12_middle_2019_2022_m1.htm","10000","1460","3.9973","171","10171","1.71","0.43","0.43","2.12","10.06","7.16","41.18","17","5","113.74","1.13","91.47","113.74","1.5","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"8","di_m12","8","htf_band_reversion_di_gate","1","broad_model1","htf_band_reversion_di_m12.set","recent_2023_2026","2023.01.01","2026.07.12","1","configs\008_htf_band_reversion_di_m12_recent_2023_2026_m1.ini","htf_band_reversion_di_m12_recent_2023_2026_m1","profiles\htf_band_reversion_di_m12.set","BD2B111788F3C4A7F459A2766BD5F035BCD312A02A6823E38B30AE540523B6F3","Advance only a neighboring DI threshold plateau with positive net in all three eras, continuous PF >= 1.50, and adequate activity.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\htf_band_reversion_di_m12_recent_2023_2026_m1.htm","10000","1288","3.5264","202.58","10202.58","2.03","0.57","0.57","3.57","16.88","2.26","58.33","12","4","108.19","1.07","61.8","108.19","1.87","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"9","di_m10","9","htf_band_reversion_di_gate","1","broad_model1","htf_band_reversion_di_m10.set","continuous_2015_2026","2015.01.01","2026.07.12","1","configs\009_htf_band_reversion_di_m10_continuous_2015_2026_m1.ini","htf_band_reversion_di_m10_continuous_2015_2026_m1","profiles\htf_band_reversion_di_m10.set","84659F00B96CBB38CF79E81877CC9F0436BBFECF4D0DB79597E7602DD074AB19","Advance only a neighboring DI threshold plateau with positive net in all three eras, continuous PF >= 1.50, and adequate activity.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\htf_band_reversion_di_m10_continuous_2015_2026_m1.htm","10000","4210","11.5264","424.82","10424.82","4.25","0.37","0.36","3.13","14.16","13.01","53.33","30","4","110.86","1.06","64.47","110.86","3.83","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"10","di_m10","10","htf_band_reversion_di_gate","1","broad_model1","htf_band_reversion_di_m10.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\010_htf_band_reversion_di_m10_older_2015_2018_m1.ini","htf_band_reversion_di_m10_older_2015_2018_m1","profiles\htf_band_reversion_di_m10.set","84659F00B96CBB38CF79E81877CC9F0436BBFECF4D0DB79597E7602DD074AB19","Advance only a neighboring DI threshold plateau with positive net in all three eras, continuous PF >= 1.50, and adequate activity.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\htf_band_reversion_di_m10_older_2015_2018_m1.htm","10000","1460","3.9973","96.39","10096.39","0.96","0.24","0.24","3.12","12.05","3.24","50","8","1","27.75","0.28","16.95","27.75","3.47","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
