"EntryTime","ExitTime","EntryYear","EntryMonth","EntryHour","DayOfWeek","Symbol","Side","Volume","EntryPrice","ExitPrice","InitialStop","InitialTarget","InitialRiskMoney","RiskR","HoldMinutes","Profit","Winner","EntrySubtype","EntryComment","ExitComment"
"2015-11-05T18:00:00","2015-11-05T22:32:17","2015","11","18","Thursday","XAUUSD","buy","0.05","1107.32","1103.92","1103.93","1114.91","16.95","-1.00295","272.28","-17","False","other","RRO;Band VWAP reversion;Lower-","sl 1103.93"
"2015-11-20T13:00:00","2015-11-20T19:18:05","2015","11","13","Friday","XAUUSD","sell","0.05","1085.84","1076.23","1088.45","1076.25","13.05","3.681992","378.08","48.05","True","other","RRO;Band VWAP reversion;Upper-","tp 1076.25"
"2017-02-16T15:00:00","2017-02-16T15:36:39","2017","2","15","Thursday","XAUUSD","sell","0.05","1237.43","1239.45","1239.45","1229.36","10.1","-1","36.65","-10.1","False","other","RRO;Band VWAP reversion;Upper-","sl 1239.45"
"2017-02-17T15:00:00","2017-02-20T03:30:23","2017","2","15","Friday","XAUUSD","sell","0.05","1241.8","1234.82","1244.1","1234.82","11.5","3.014783","3630.38","34.67","True","other","RRO;Band VWAP reversion;Upper-","tp 1234.82"
"2017-04-03T22:00:00","2017-04-04T01:05:00","2017","4","22","Monday","XAUUSD","sell","0.05","1252.1","1254.53","1254.03","1246.26","9.65","-1.282902","185","-12.38","False","other","RRO;Band VWAP reversion;Upper-","sl 1254.03"
"2018-05-08T18:00:00","2018-05-08T19:10:20","2018","5","18","Tuesday","XAUUSD","buy","0.05","1307.93","1312.57","1305.47","1312.55","12.3","1.886179","70.33","23.2","True","other","RRO;Band VWAP reversion;Lower-","tp 1312.55"
"2018-09-28T15:00:00","2018-09-28T17:56:38","2018","9","15","Friday","XAUUSD","buy","0.05","1183.52","1190.74","1180.29","1190.74","16.15","2.235294","176.63","36.1","True","other","RRO;Band VWAP reversion;Lower-","tp 1190.74"
"2018-11-19T19:00:00","2018-11-19T19:58:02","2018","11","19","Monday","XAUUSD","sell","0.05","1222.57","1224.27","1224.27","1218.64","8.5","-1","58.03","-8.5","False","other","RRO;Band VWAP reversion;Upper-","sl 1224.27"
"2020-01-30T21:00:00","2020-01-31T01:10:00","2020","1","21","Thursday","XAUUSD","sell","0.05","1584.05","1575.07","1586.58","1575.14","12.65","3.531225","250","44.67","True","other","RRO;Band VWAP reversion;Upper-","tp 1575.14"
"2020-02-20T16:00:00","2020-02-20T17:22:11","2020","2","16","Thursday","XAUUSD","sell","0.05","1615.75","1619.99","1619.68","1605.29","19.65","-1.07888","82.18","-21.2","False","other","RRO;Band VWAP reversion;Upper-","sl 1619.68"
"2021-09-14T20:00:00","2021-09-15T17:53:42","2021","9","20","Tuesday","XAUUSD","sell","0.03","1803.64","1792.84","1809.33","1792.84","17.07","1.889865","1313.7","32.26","True","other","RRO;Band VWAP reversion;Upper-","tp 1792.84"
"2021-10-04T03:00:00","2021-10-04T13:26:36","2021","10","3","Monday","XAUUSD","sell","0.05","1763.09","1748.91","1765.93","1748.91","14.2","4.992958","626.6","70.9","True","other","RRO;Band VWAP reversion;Upper-","tp 1748.91"
"2021-10-27T13:00:00","2021-10-27T16:38:39","2021","10","13","Wednesday","XAUUSD","buy","0.05","1786.95","1798.02","1783.03","1798.01","19.6","2.82398","218.65","55.35","True","other","RRO;Band VWAP reversion;Lower-","tp 1798.01"
"2021-11-09T13:00:00","2021-11-09T13:42:13","2021","11","13","Tuesday","XAUUSD","sell","0.05","1825.13","1827.62","1827.6","1813.82","12.35","-1.008097","42.22","-12.45","False","other","RRO;Band VWAP reversion;Upper-","sl 1827.60"
"2021-11-30T21:00:00","2021-12-01T07:57:24","2021","11","21","Tuesday","XAUUSD","buy","0.02","1776.66","1790.08","1768.86","1790.07","15.6","1.704487","657.4","26.59","True","other","RRO;Band VWAP reversion;Lower-","tp 1790.07"
"2021-12-21T19:00:00","2021-12-22T18:01:42","2021","12","19","Tuesday","XAUUSD","buy","0.05","1788.36","1796.57","1784.42","1796.56","19.7","2.051777","1381.7","40.42","True","other","RRO;Band VWAP reversion;Lower-","tp 1796.56"
