Gate,Feature,Operator,Threshold,EligibleDiagnostic,Score,Trades,NetR,ProfitFactor,WinRatePercent,RedYears,WorstYear,WorstYearR,DiscoveryR,RecentR,StressNetR,StressProfitFactor,StressRedYears,StressWorstYear,StressWorstYearR
DIEdge>=0,DIEdge,>=,0.0,False,2.8035,1,1.8899,inf,100.0,0,0,0.0,1.8899,0,1.8399,inf,0,0,0.0
DIEdge>=5,DIEdge,>=,5.0,False,2.5,0,0,inf,0.0,0,0,0.0,0,0,0,inf,0,0,0.0
DIEdge>=-10,DIEdge,>=,-10.0,False,-1.2596,27,29.4476,3.5666,59.26,1,2022,-1.0,20.4397,9.0079,28.0976,3.3369,1,2022,-1.05
AbsTrendSlopeATR<=0.2,AbsTrendSlopeATR,<=,0.2,False,-1.7131,23,26.2103,3.7908,60.87,1,2017,-1.2829,17.6615,8.5488,25.0603,3.5464,1,2017,-1.3329
BodyPct>=30,BodyPct,>=,30.0,False,-2.4466,18,20.1817,4.3322,66.67,1,2024,-2.0429,16.705,3.4766,19.2817,4.0334,1,2024,-2.1429
ADXDelta<=0,ADXDelta,<=,0.0,False,-2.6038,24,22.7619,3.0038,54.17,1,2024,-4.0561,19.1838,3.5782,21.5619,2.8105,1,2024,-4.2561
TargetATR>=2,TargetATR,>=,2.0,False,-2.7451,31,23.1457,2.326,45.16,1,2020,-0.1862,13.8538,9.2918,21.5957,2.1798,1,2020,-0.5362
RSIDepth>=12,RSIDepth,>=,12.0,False,-2.7817,21,21.7214,3.0802,52.38,1,2025,-2.0545,14.3192,7.4022,20.6714,2.8892,1,2025,-2.1545
ADX<=18,ADX,<=,18.0,False,-2.7861,8,17.0259,9.2523,75.0,1,2025,-1.05,9.0994,7.9265,16.6259,8.6859,1,2025,-1.1
StopATR>=0.8,StopATR,>=,0.8,False,-3.0084,32,21.3517,2.2976,50.0,1,2020,-3.7174,10.8102,10.5415,19.7517,2.1447,1,2020,-4.0174
BandWidthATR<=3.5,BandWidthATR,<=,3.5,False,-3.0182,26,21.3676,2.5133,46.15,1,2016,-1.0,15.1695,6.1981,20.0676,2.3541,1,2016,-1.05
RSIDepth>=13,RSIDepth,>=,13.0,False,-3.3168,15,17.8724,3.4047,53.33,1,2025,-1.05,9.9327,7.9397,17.1224,3.2002,1,2025,-1.1
TradeRR<=2,TradeRR,<=,2.0,False,-3.595,10,11.3666,6.569,80.0,1,2024,-1.0376,5.8802,5.4864,10.8666,6.0754,1,2024,-1.0876
TargetATR>=2.5,TargetATR,>=,2.5,False,-3.7374,20,17.3449,2.5217,45.0,1,2025,-1.0045,14.3274,3.0175,16.3449,2.368,1,2025,-1.0545
RSIDepth>=15,RSIDepth,>=,15.0,False,-6.0121,5,4.646,2.382,40.0,1,2020,-1.0789,4.646,0,4.396,2.2518,1,2020,-1.1289
ADXDelta<=-10,ADXDelta,<=,-10.0,False,-8.3024,2,-2.2829,0.0,0.0,1,2017,-2.2829,-2.2829,0,-2.3829,0.0,1,2017,-2.3829
AbsTrendSlopeATR<=0.3,AbsTrendSlopeATR,<=,0.3,False,-9.1699,30,30.6031,3.2793,56.67,2,2017,-2.2829,18.1823,12.4208,29.1031,3.0675,2,2017,-2.3829
AbsTrendDistATR<=8,AbsTrendDistATR,<=,8.0,False,-9.2996,37,30.8319,2.6713,51.35,2,2016,-1.0,19.4243,11.4076,28.9819,2.4979,2,2016,-1.05
AbsTrendSlopeATR<=0.4,AbsTrendSlopeATR,<=,0.4,False,-9.2996,37,30.8319,2.6713,51.35,2,2016,-1.0,19.4243,11.4076,28.9819,2.4979,2,2016,-1.05
StopATR>=1,StopATR,>=,1.0,False,-9.4804,19,24.3319,4.9797,68.42,2,2020,-1.6969,17.2471,7.0848,23.3819,4.6454,2,2020,-1.8969
TargetATR>=1.75,TargetATR,>=,1.75,False,-9.5104,38,29.7751,2.5266,50.0,2,2025,-0.2017,18.3344,11.4407,27.8751,2.3628,2,2020,-0.5362
RSIDepth>=11,RSIDepth,>=,11.0,False,-9.5225,30,29.133,3.0152,53.33,2,2016,-1.0,16.6791,12.4539,27.633,2.8232,2,2016,-1.05
AbsTrendDistATR<=6,AbsTrendDistATR,<=,6.0,False,-9.8274,29,27.1981,3.0257,55.17,2,2017,-2.2829,18.1823,9.0158,25.7481,2.8291,2,2017,-2.3829
