"Rank","Priority","Phase","Profile","Set","Window","From","To","ExpectedReportName","Deposit"
"1","1","discovery_model1","dnrb_center","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_center_older_2015_2018_m1","10000"
"2","2","discovery_model1","dnrb_center","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_center_discovery_2019_2020_m1","10000"
"3","3","discovery_model1","dnrb_center","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_center_continuous_2015_2020_m1","10000"
"4","4","discovery_model1","dnrb_nr5","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_nr5_older_2015_2018_m1","10000"
"5","5","discovery_model1","dnrb_nr5","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_nr5_discovery_2019_2020_m1","10000"
"6","6","discovery_model1","dnrb_nr5","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_nr5_continuous_2015_2020_m1","10000"
"7","7","discovery_model1","dnrb_nr10","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_nr10_older_2015_2018_m1","10000"
"8","8","discovery_model1","dnrb_nr10","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_nr10_discovery_2019_2020_m1","10000"
"9","9","discovery_model1","dnrb_nr10","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_nr10_continuous_2015_2020_m1","10000"
"10","10","discovery_model1","dnrb_maxatr070","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_maxatr070_older_2015_2018_m1","10000"
"11","11","discovery_model1","dnrb_maxatr070","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_maxatr070_discovery_2019_2020_m1","10000"
"12","12","discovery_model1","dnrb_maxatr070","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_maxatr070_continuous_2015_2020_m1","10000"
"13","13","discovery_model1","dnrb_maxatr100","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_maxatr100_older_2015_2018_m1","10000"
"14","14","discovery_model1","dnrb_maxatr100","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_maxatr100_discovery_2019_2020_m1","10000"
"15","15","discovery_model1","dnrb_maxatr100","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_maxatr100_continuous_2015_2020_m1","10000"
"16","16","discovery_model1","dnrb_buffer000","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_buffer000_older_2015_2018_m1","10000"
"17","17","discovery_model1","dnrb_buffer000","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_buffer000_discovery_2019_2020_m1","10000"
"18","18","discovery_model1","dnrb_buffer000","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_buffer000_continuous_2015_2020_m1","10000"
"19","19","discovery_model1","dnrb_buffer010","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_buffer010_older_2015_2018_m1","10000"
"20","20","discovery_model1","dnrb_buffer010","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_buffer010_discovery_2019_2020_m1","10000"
"21","21","discovery_model1","dnrb_buffer010","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_buffer010_continuous_2015_2020_m1","10000"
"22","22","discovery_model1","dnrb_body025","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_body025_older_2015_2018_m1","10000"
"23","23","discovery_model1","dnrb_body025","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_body025_discovery_2019_2020_m1","10000"
"24","24","discovery_model1","dnrb_body025","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_body025_continuous_2015_2020_m1","10000"
"25","25","discovery_model1","dnrb_body045","independent_d1_nr7_h1_breakout","older_2015_2018","2015.01.01","2018.12.31","dnrb_body045_older_2015_2018_m1","10000"
"26","26","discovery_model1","dnrb_body045","independent_d1_nr7_h1_breakout","discovery_2019_2020","2019.01.01","2020.12.31","dnrb_body045_discovery_2019_2020_m1","10000"
"27","27","discovery_model1","dnrb_body045","independent_d1_nr7_h1_breakout","continuous_2015_2020","2015.01.01","2020.12.31","dnrb_body045_continuous_2015_2020_m1","10000"
