"QueueRank","Candidate","CandidateRank","SourceType","Phase","Window","Model","Deposit","ExpectedReportName","ProfileSha256","SourceSha256","StopRule","To","Set","BreakoutBufferATR","LookbackDays","Config","ADXFilter","EMAFilter","MinimumBodyPercent","MaximumSetupRangeATR","From","TakeProfitR","EMAPeriod","ChandelierTrail","MinimumVolumeRatio","ProfileSnapshot"
"1","dnrb_center","1","independent_d1_nr7_h1_breakout","discovery_model1","older_2015_2018","1","10000","dnrb_center_older_2015_2018_m1","55666ABD028EA50344820DA7125377FE02F400241DF4FB1E14A0B0990371BA33","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2018.12.31","dnrb_center.set","0.05","7","configs\001_dnrb_center_older_2015_2018_m1.ini","false","true","35.0","0.85","2015.01.01","3.00","50","true","1.00","profiles\dnrb_center.set"
"2","dnrb_center","1","independent_d1_nr7_h1_breakout","discovery_model1","discovery_2019_2020","1","10000","dnrb_center_discovery_2019_2020_m1","55666ABD028EA50344820DA7125377FE02F400241DF4FB1E14A0B0990371BA33","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_center.set","0.05","7","configs\002_dnrb_center_discovery_2019_2020_m1.ini","false","true","35.0","0.85","2019.01.01","3.00","50","true","1.00","profiles\dnrb_center.set"
"3","dnrb_center","1","independent_d1_nr7_h1_breakout","discovery_model1","continuous_2015_2020","1","10000","dnrb_center_continuous_2015_2020_m1","55666ABD028EA50344820DA7125377FE02F400241DF4FB1E14A0B0990371BA33","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_center.set","0.05","7","configs\003_dnrb_center_continuous_2015_2020_m1.ini","false","true","35.0","0.85","2015.01.01","3.00","50","true","1.00","profiles\dnrb_center.set"
"4","dnrb_nr5","2","independent_d1_nr7_h1_breakout","discovery_model1","older_2015_2018","1","10000","dnrb_nr5_older_2015_2018_m1","805547219C6EECCA4964DE2E795966A2250732FBAEB8DF34134F39346E4FC1CA","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2018.12.31","dnrb_nr5.set","0.05","5","configs\004_dnrb_nr5_older_2015_2018_m1.ini","false","true","35.0","0.85","2015.01.01","3.00","50","true","1.00","profiles\dnrb_nr5.set"
"5","dnrb_nr5","2","independent_d1_nr7_h1_breakout","discovery_model1","discovery_2019_2020","1","10000","dnrb_nr5_discovery_2019_2020_m1","805547219C6EECCA4964DE2E795966A2250732FBAEB8DF34134F39346E4FC1CA","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_nr5.set","0.05","5","configs\005_dnrb_nr5_discovery_2019_2020_m1.ini","false","true","35.0","0.85","2019.01.01","3.00","50","true","1.00","profiles\dnrb_nr5.set"
"6","dnrb_nr5","2","independent_d1_nr7_h1_breakout","discovery_model1","continuous_2015_2020","1","10000","dnrb_nr5_continuous_2015_2020_m1","805547219C6EECCA4964DE2E795966A2250732FBAEB8DF34134F39346E4FC1CA","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_nr5.set","0.05","5","configs\006_dnrb_nr5_continuous_2015_2020_m1.ini","false","true","35.0","0.85","2015.01.01","3.00","50","true","1.00","profiles\dnrb_nr5.set"
"7","dnrb_nr10","3","independent_d1_nr7_h1_breakout","discovery_model1","older_2015_2018","1","10000","dnrb_nr10_older_2015_2018_m1","C0D187B2A48830259E6F0419CD8A48EFD38749A4EB00E95B755D39A41EBA7710","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2018.12.31","dnrb_nr10.set","0.05","10","configs\007_dnrb_nr10_older_2015_2018_m1.ini","false","true","35.0","0.85","2015.01.01","3.00","50","true","1.00","profiles\dnrb_nr10.set"
"8","dnrb_nr10","3","independent_d1_nr7_h1_breakout","discovery_model1","discovery_2019_2020","1","10000","dnrb_nr10_discovery_2019_2020_m1","C0D187B2A48830259E6F0419CD8A48EFD38749A4EB00E95B755D39A41EBA7710","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_nr10.set","0.05","10","configs\008_dnrb_nr10_discovery_2019_2020_m1.ini","false","true","35.0","0.85","2019.01.01","3.00","50","true","1.00","profiles\dnrb_nr10.set"
"9","dnrb_nr10","3","independent_d1_nr7_h1_breakout","discovery_model1","continuous_2015_2020","1","10000","dnrb_nr10_continuous_2015_2020_m1","C0D187B2A48830259E6F0419CD8A48EFD38749A4EB00E95B755D39A41EBA7710","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_nr10.set","0.05","10","configs\009_dnrb_nr10_continuous_2015_2020_m1.ini","false","true","35.0","0.85","2015.01.01","3.00","50","true","1.00","profiles\dnrb_nr10.set"
"10","dnrb_maxatr070","4","independent_d1_nr7_h1_breakout","discovery_model1","older_2015_2018","1","10000","dnrb_maxatr070_older_2015_2018_m1","F8E4BF7F48002BF1381D9DC4456874368254D6365EC8FA523E129CFA9A84CBBE","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2018.12.31","dnrb_maxatr070.set","0.05","7","configs\010_dnrb_maxatr070_older_2015_2018_m1.ini","false","true","35.0","0.70","2015.01.01","3.00","50","true","1.00","profiles\dnrb_maxatr070.set"
"11","dnrb_maxatr070","4","independent_d1_nr7_h1_breakout","discovery_model1","discovery_2019_2020","1","10000","dnrb_maxatr070_discovery_2019_2020_m1","F8E4BF7F48002BF1381D9DC4456874368254D6365EC8FA523E129CFA9A84CBBE","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_maxatr070.set","0.05","7","configs\011_dnrb_maxatr070_discovery_2019_2020_m1.ini","false","true","35.0","0.70","2019.01.01","3.00","50","true","1.00","profiles\dnrb_maxatr070.set"
"12","dnrb_maxatr070","4","independent_d1_nr7_h1_breakout","discovery_model1","continuous_2015_2020","1","10000","dnrb_maxatr070_continuous_2015_2020_m1","F8E4BF7F48002BF1381D9DC4456874368254D6365EC8FA523E129CFA9A84CBBE","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2020.12.31","dnrb_maxatr070.set","0.05","7","configs\012_dnrb_maxatr070_continuous_2015_2020_m1.ini","false","true","35.0","0.70","2015.01.01","3.00","50","true","1.00","profiles\dnrb_maxatr070.set"
"13","dnrb_maxatr100","5","independent_d1_nr7_h1_breakout","discovery_model1","older_2015_2018","1","10000","dnrb_maxatr100_older_2015_2018_m1","147FC99B8D03111F7662C2F33DA01029ED2A9068FC3B379AF9BD29BFB21A2E9E","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","Discovery only: both disjoint eras positive; continuous PF >= 1.25; >= 80 trades; DD <= 3%; recovery >= 1.5; center or one-factor row requires adjacent support before 2021+ may open.","2018.12.31","dnrb_maxatr100.set","0.05","7","configs\013_dnrb_maxatr100_older_2015_2018_m1.ini","false","true","35.0","1.00","2015.01.01","3.00","50","true","1.00","profiles\dnrb_maxatr100.set"
