"Worker","QueueRank","Candidate","Window","Status","ReportPath","Evidence","PackageConfigSha256","PackageSourceSha256","PortableBinarySha256","PortableExpertRecompiled","ReportSha256","ReportIdentityPath","ReportIdentityReused","Started","Finished"
"1","1","dnrb_center","older_2015_2018","REPORT_FOUND","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_center_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","5ADDE04E9696A98D6C16E0B3DD3F8C1CDFA7A1C03F42CE5CDC46EB59CB269F6F","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","CC80BEE04EAC8B2669A1BBF44C79C57500C2BC6CF5EA8A9196ECA11778AA7D72","False","0C06C55242966026E16A80CB59A0C86EAE975FE76850440882A9DD1F766C4783","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_center_older_2015_2018_m1.identity.json","False","2026-07-20T11:43:21","2026-07-20T11:43:42"
"2","2","dnrb_center","discovery_2019_2020","REPORT_FOUND","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_center_discovery_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","F028B469962B467E079E4B3994421D0FC815F940F859CDE622C89229D3489989","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","CC80BEE04EAC8B2669A1BBF44C79C57500C2BC6CF5EA8A9196ECA11778AA7D72","False","043BA38D5AEAFD716949797C67EDEB8E8DD09DCD2ADA39D8A4DF83A6043805A9","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_center_discovery_2019_2020_m1.identity.json","False","2026-07-20T11:33:05","2026-07-20T11:33:53"
"3","3","dnrb_center","continuous_2015_2020","REPORT_FOUND","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_center_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","B954B9A3B32E66D1CA1049379D15232CD8095016FBC8522C1410780F592E7AC8","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","CC80BEE04EAC8B2669A1BBF44C79C57500C2BC6CF5EA8A9196ECA11778AA7D72","False","1B5488799FB8637866A59198CD19FF4ADEC7CC9EF1599569AF22EE9B2962089F","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_center_continuous_2015_2020_m1.identity.json","False","2026-07-20T11:33:05","2026-07-20T11:33:56"
"4","4","dnrb_nr5","older_2015_2018","REPORT_FOUND","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr5_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","D813BF48E52EFDA39D293373948E66C1DFFE9EDD78F8BBC35F75801672552B4A","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","CC80BEE04EAC8B2669A1BBF44C79C57500C2BC6CF5EA8A9196ECA11778AA7D72","False","FBD23DC4388750497734FF747A71F84A2C73E65631A5F76EA6989DC1994EC344","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr5_older_2015_2018_m1.identity.json","False","2026-07-20T11:33:06","2026-07-20T11:33:57"
"1","5","dnrb_nr5","discovery_2019_2020","REPORT_FOUND","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr5_discovery_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","1B73658F9DC72C541339761E119465D17A6500D188F3FC9FBAC983171DBEAA53","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","CC80BEE04EAC8B2669A1BBF44C79C57500C2BC6CF5EA8A9196ECA11778AA7D72","False","910B86475135BE31E1839422BB79809BF6D4F5ACB6D3B2A71B00688105C6CA32","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr5_discovery_2019_2020_m1.identity.json","False","2026-07-20T11:43:42","2026-07-20T11:44:03"
"2","6","dnrb_nr5","continuous_2015_2020","REPORT_FOUND","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr5_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","40754AB1038CC6D7F1723E4BFF2437F92A44903F1ED379C4665E70630C53EA68","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","CC80BEE04EAC8B2669A1BBF44C79C57500C2BC6CF5EA8A9196ECA11778AA7D72","False","838CC5F1E1AE7BF33126A7B936603464FC36703E3E8E3F3E140853249616E7DF","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr5_continuous_2015_2020_m1.identity.json","False","2026-07-20T11:33:53","2026-07-20T11:34:36"
"3","7","dnrb_nr10","older_2015_2018","REPORT_FOUND","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr10_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","9BB9DDB873BDA1C86A9095ABC49810B136B19005F40742D2F83CC7EF6C7EE3BB","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","CC80BEE04EAC8B2669A1BBF44C79C57500C2BC6CF5EA8A9196ECA11778AA7D72","False","2F9CBE1B66D20BC3DBC4374F48AFA93B61A691CBA50DF2568B1447141DB40E61","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr10_older_2015_2018_m1.identity.json","False","2026-07-20T11:33:56","2026-07-20T11:34:44"
"4","8","dnrb_nr10","discovery_2019_2020","REPORT_FOUND","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr10_discovery_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","8B6CD782137AB6F70480CAB108A2F21A718118F436F0FC8AC00E2F8D8EE9939A","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","CC80BEE04EAC8B2669A1BBF44C79C57500C2BC6CF5EA8A9196ECA11778AA7D72","False","158A727421B5A18F9056B062C8501259B20925ED42006D15F817CDA2A79B349D","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr10_discovery_2019_2020_m1.identity.json","False","2026-07-20T11:33:57","2026-07-20T11:34:45"
"1","9","dnrb_nr10","continuous_2015_2020","REPORT_FOUND","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr10_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","B8DF5F5F0E0AB6072D6BB20E1D4A9E512BF5618F2DC898CA3CDD4BB54E419695","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","CC80BEE04EAC8B2669A1BBF44C79C57500C2BC6CF5EA8A9196ECA11778AA7D72","False","2517960A138955739AFF3800937C1E60AB59D6936ED699B2162C514098AADFD5","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_nr10_continuous_2015_2020_m1.identity.json","False","2026-07-20T11:34:46","2026-07-20T11:35:39"
"2","10","dnrb_maxatr070","older_2015_2018","REPORT_FOUND","outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_maxatr070_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","BAF050378BEA6F616B5BF1A06F9091E5A931BA3BB76561B70DF764BA63EBEADB","BBFC4214F63658B7D2D22109AC0C536D32A23693C471179DB0E07EA70C974880","CC80BEE04EAC8B2669A1BBF44C79C57500C2BC6CF5EA8A9196ECA11778AA7D72","False","8E49EF205C37F34FFDFFAB3E5B03401A4395631C53E4392744DB5325834ED2BE","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_d1_nr7_h1_breakout_discovery_model1_package\reports_here\dnrb_maxatr070_older_2015_2018_m1.identity.json","False","2026-07-20T11:34:36","2026-07-20T11:35:08"
