"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","pwbr_base","discovery_model1","Independent H1 previous-week break-retest discovery Model1","older_2015_2018","1","10000","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\001_pwbr_base_older_2015_2018_m1.ini","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\001_pwbr_base_older_2015_2018_m1.ini","pwbr_base_older_2015_2018_m1","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\reports_here\pwbr_base_older_2015_2018_m1","646489ECE3B965AF244E714F62A4165BB98D0B65C9A7A269781EE3984B1C2929","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"2","pwbr_base","discovery_model1","Independent H1 previous-week break-retest discovery Model1","discovery_2019_2020","1","10000","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\002_pwbr_base_discovery_2019_2020_m1.ini","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\002_pwbr_base_discovery_2019_2020_m1.ini","pwbr_base_discovery_2019_2020_m1","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\reports_here\pwbr_base_discovery_2019_2020_m1","646489ECE3B965AF244E714F62A4165BB98D0B65C9A7A269781EE3984B1C2929","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"3","pwbr_base","discovery_model1","Independent H1 previous-week break-retest discovery Model1","continuous_2015_2020","1","10000","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\003_pwbr_base_continuous_2015_2020_m1.ini","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\003_pwbr_base_continuous_2015_2020_m1.ini","pwbr_base_continuous_2015_2020_m1","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\reports_here\pwbr_base_continuous_2015_2020_m1","646489ECE3B965AF244E714F62A4165BB98D0B65C9A7A269781EE3984B1C2929","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"4","pwbr_break_loose","discovery_model1","Independent H1 previous-week break-retest discovery Model1","older_2015_2018","1","10000","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\004_pwbr_break_loose_older_2015_2018_m1.ini","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\004_pwbr_break_loose_older_2015_2018_m1.ini","pwbr_break_loose_older_2015_2018_m1","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\reports_here\pwbr_break_loose_older_2015_2018_m1","F559D649784641ED5DD1ED0428EBE101A544DCF371F592BFEC5F7CD0B63E2A85","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"5","pwbr_break_loose","discovery_model1","Independent H1 previous-week break-retest discovery Model1","discovery_2019_2020","1","10000","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\005_pwbr_break_loose_discovery_2019_2020_m1.ini","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\005_pwbr_break_loose_discovery_2019_2020_m1.ini","pwbr_break_loose_discovery_2019_2020_m1","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\reports_here\pwbr_break_loose_discovery_2019_2020_m1","F559D649784641ED5DD1ED0428EBE101A544DCF371F592BFEC5F7CD0B63E2A85","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"6","pwbr_break_loose","discovery_model1","Independent H1 previous-week break-retest discovery Model1","continuous_2015_2020","1","10000","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\006_pwbr_break_loose_continuous_2015_2020_m1.ini","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\006_pwbr_break_loose_continuous_2015_2020_m1.ini","pwbr_break_loose_continuous_2015_2020_m1","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\reports_here\pwbr_break_loose_continuous_2015_2020_m1","F559D649784641ED5DD1ED0428EBE101A544DCF371F592BFEC5F7CD0B63E2A85","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"7","pwbr_break_strict","discovery_model1","Independent H1 previous-week break-retest discovery Model1","older_2015_2018","1","10000","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\007_pwbr_break_strict_older_2015_2018_m1.ini","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\007_pwbr_break_strict_older_2015_2018_m1.ini","pwbr_break_strict_older_2015_2018_m1","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\reports_here\pwbr_break_strict_older_2015_2018_m1","192E25888EB5EF194531541B8B9E34910AC9D1E4BB03D840C1DEBABEFA2B6C00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"8","pwbr_break_strict","discovery_model1","Independent H1 previous-week break-retest discovery Model1","discovery_2019_2020","1","10000","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\008_pwbr_break_strict_discovery_2019_2020_m1.ini","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\008_pwbr_break_strict_discovery_2019_2020_m1.ini","pwbr_break_strict_discovery_2019_2020_m1","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\reports_here\pwbr_break_strict_discovery_2019_2020_m1","192E25888EB5EF194531541B8B9E34910AC9D1E4BB03D840C1DEBABEFA2B6C00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"9","pwbr_break_strict","discovery_model1","Independent H1 previous-week break-retest discovery Model1","continuous_2015_2020","1","10000","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\009_pwbr_break_strict_continuous_2015_2020_m1.ini","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\009_pwbr_break_strict_continuous_2015_2020_m1.ini","pwbr_break_strict_continuous_2015_2020_m1","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\reports_here\pwbr_break_strict_continuous_2015_2020_m1","192E25888EB5EF194531541B8B9E34910AC9D1E4BB03D840C1DEBABEFA2B6C00","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
"10","pwbr_buffer15","discovery_model1","Independent H1 previous-week break-retest discovery Model1","older_2015_2018","1","10000","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\010_pwbr_buffer15_older_2015_2018_m1.ini","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\configs\010_pwbr_buffer15_older_2015_2018_m1.ini","pwbr_buffer15_older_2015_2018_m1","outputs\independent_h1_prevweek_break_retest_discovery_model1_package\reports_here\pwbr_buffer15_older_2015_2018_m1","D95A9FBC63BFC92864373643B83D12D3FF3D956C2EA764B120296E54F233EDE3","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 40 continuous trades, DD at or below 5%, and support from neighboring break/retest/payoff shapes before opening 2021-2026."
