"QueueRank","Candidate","Window","Model","Status","Action","Config","ConfigExists","ExpectedReportName","FirstPassInbox","MaxCpuPercent","Reports","Evidence","Started","Finished"
"1","h4ct_20_10_raw","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_discovery_model1_package\configs\001_h4ct_20_10_raw_older_2015_2018_m1.ini","True","h4ct_20_10_raw_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_20_10_raw_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:18:28","2026-07-16T18:18:39"
"2","h4ct_20_10_raw","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_discovery_model1_package\configs\002_h4ct_20_10_raw_discovery_2019_2020_m1.ini","True","h4ct_20_10_raw_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_20_10_raw_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:18:39","2026-07-16T18:18:50"
"3","h4ct_20_10_raw","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_discovery_model1_package\configs\003_h4ct_20_10_raw_continuous_2015_2020_m1.ini","True","h4ct_20_10_raw_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_20_10_raw_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:18:50","2026-07-16T18:19:04"
"4","h4ct_40_20_raw","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_discovery_model1_package\configs\004_h4ct_40_20_raw_older_2015_2018_m1.ini","True","h4ct_40_20_raw_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_40_20_raw_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:19:04","2026-07-16T18:19:15"
"5","h4ct_40_20_raw","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_discovery_model1_package\configs\005_h4ct_40_20_raw_discovery_2019_2020_m1.ini","True","h4ct_40_20_raw_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_40_20_raw_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:19:15","2026-07-16T18:19:26"
"6","h4ct_40_20_raw","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_discovery_model1_package\configs\006_h4ct_40_20_raw_continuous_2015_2020_m1.ini","True","h4ct_40_20_raw_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_40_20_raw_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:19:26","2026-07-16T18:19:38"
"7","h4ct_55_20_raw","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_discovery_model1_package\configs\007_h4ct_55_20_raw_older_2015_2018_m1.ini","True","h4ct_55_20_raw_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_55_20_raw_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:19:38","2026-07-16T18:19:50"
"8","h4ct_55_20_raw","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_discovery_model1_package\configs\008_h4ct_55_20_raw_discovery_2019_2020_m1.ini","True","h4ct_55_20_raw_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_55_20_raw_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:19:50","2026-07-16T18:20:01"
"9","h4ct_55_20_raw","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_discovery_model1_package\configs\009_h4ct_55_20_raw_continuous_2015_2020_m1.ini","True","h4ct_55_20_raw_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_55_20_raw_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:20:01","2026-07-16T18:20:12"
"10","h4ct_80_40_raw","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_discovery_model1_package\configs\010_h4ct_80_40_raw_older_2015_2018_m1.ini","True","h4ct_80_40_raw_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_80_40_raw_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:20:12","2026-07-16T18:20:24"
