"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","h4ct_trail_40_20_l20_a25","trail_discovery_model1","Independent H4 channel Chandelier discovery Model1","older_2015_2018","1","10000","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\001_h4ct_trail_40_20_l20_a25_older_2015_2018_m1.ini","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\001_h4ct_trail_40_20_l20_a25_older_2015_2018_m1.ini","h4ct_trail_40_20_l20_a25_older_2015_2018_m1","outputs\independent_h4_channel_trend_trail_discovery_model1_package\reports_here\h4ct_trail_40_20_l20_a25_older_2015_2018_m1","803C119FC11B522515D2CBD7D8EA4339F7DA9FC23B0316556A890FA076C0D289","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"2","h4ct_trail_40_20_l20_a25","trail_discovery_model1","Independent H4 channel Chandelier discovery Model1","discovery_2019_2020","1","10000","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\002_h4ct_trail_40_20_l20_a25_discovery_2019_2020_m1.ini","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\002_h4ct_trail_40_20_l20_a25_discovery_2019_2020_m1.ini","h4ct_trail_40_20_l20_a25_discovery_2019_2020_m1","outputs\independent_h4_channel_trend_trail_discovery_model1_package\reports_here\h4ct_trail_40_20_l20_a25_discovery_2019_2020_m1","803C119FC11B522515D2CBD7D8EA4339F7DA9FC23B0316556A890FA076C0D289","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"3","h4ct_trail_40_20_l20_a25","trail_discovery_model1","Independent H4 channel Chandelier discovery Model1","continuous_2015_2020","1","10000","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\003_h4ct_trail_40_20_l20_a25_continuous_2015_2020_m1.ini","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\003_h4ct_trail_40_20_l20_a25_continuous_2015_2020_m1.ini","h4ct_trail_40_20_l20_a25_continuous_2015_2020_m1","outputs\independent_h4_channel_trend_trail_discovery_model1_package\reports_here\h4ct_trail_40_20_l20_a25_continuous_2015_2020_m1","803C119FC11B522515D2CBD7D8EA4339F7DA9FC23B0316556A890FA076C0D289","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"4","h4ct_trail_40_20_l20_a30","trail_discovery_model1","Independent H4 channel Chandelier discovery Model1","older_2015_2018","1","10000","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\004_h4ct_trail_40_20_l20_a30_older_2015_2018_m1.ini","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\004_h4ct_trail_40_20_l20_a30_older_2015_2018_m1.ini","h4ct_trail_40_20_l20_a30_older_2015_2018_m1","outputs\independent_h4_channel_trend_trail_discovery_model1_package\reports_here\h4ct_trail_40_20_l20_a30_older_2015_2018_m1","90E0A2A46977C04013842EECE158915AB7F47C771B238E1D75304502B68852E5","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"5","h4ct_trail_40_20_l20_a30","trail_discovery_model1","Independent H4 channel Chandelier discovery Model1","discovery_2019_2020","1","10000","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\005_h4ct_trail_40_20_l20_a30_discovery_2019_2020_m1.ini","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\005_h4ct_trail_40_20_l20_a30_discovery_2019_2020_m1.ini","h4ct_trail_40_20_l20_a30_discovery_2019_2020_m1","outputs\independent_h4_channel_trend_trail_discovery_model1_package\reports_here\h4ct_trail_40_20_l20_a30_discovery_2019_2020_m1","90E0A2A46977C04013842EECE158915AB7F47C771B238E1D75304502B68852E5","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"6","h4ct_trail_40_20_l20_a30","trail_discovery_model1","Independent H4 channel Chandelier discovery Model1","continuous_2015_2020","1","10000","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\006_h4ct_trail_40_20_l20_a30_continuous_2015_2020_m1.ini","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\006_h4ct_trail_40_20_l20_a30_continuous_2015_2020_m1.ini","h4ct_trail_40_20_l20_a30_continuous_2015_2020_m1","outputs\independent_h4_channel_trend_trail_discovery_model1_package\reports_here\h4ct_trail_40_20_l20_a30_continuous_2015_2020_m1","90E0A2A46977C04013842EECE158915AB7F47C771B238E1D75304502B68852E5","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"7","h4ct_trail_55_20_l10_a30","trail_discovery_model1","Independent H4 channel Chandelier discovery Model1","older_2015_2018","1","10000","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\007_h4ct_trail_55_20_l10_a30_older_2015_2018_m1.ini","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\007_h4ct_trail_55_20_l10_a30_older_2015_2018_m1.ini","h4ct_trail_55_20_l10_a30_older_2015_2018_m1","outputs\independent_h4_channel_trend_trail_discovery_model1_package\reports_here\h4ct_trail_55_20_l10_a30_older_2015_2018_m1","E7EB3D3148FEC2CD76F48AD106818C4776432A8A9C2CD29F60341C998CCE66E2","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"8","h4ct_trail_55_20_l10_a30","trail_discovery_model1","Independent H4 channel Chandelier discovery Model1","discovery_2019_2020","1","10000","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\008_h4ct_trail_55_20_l10_a30_discovery_2019_2020_m1.ini","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\008_h4ct_trail_55_20_l10_a30_discovery_2019_2020_m1.ini","h4ct_trail_55_20_l10_a30_discovery_2019_2020_m1","outputs\independent_h4_channel_trend_trail_discovery_model1_package\reports_here\h4ct_trail_55_20_l10_a30_discovery_2019_2020_m1","E7EB3D3148FEC2CD76F48AD106818C4776432A8A9C2CD29F60341C998CCE66E2","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"9","h4ct_trail_55_20_l10_a30","trail_discovery_model1","Independent H4 channel Chandelier discovery Model1","continuous_2015_2020","1","10000","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\009_h4ct_trail_55_20_l10_a30_continuous_2015_2020_m1.ini","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\009_h4ct_trail_55_20_l10_a30_continuous_2015_2020_m1.ini","h4ct_trail_55_20_l10_a30_continuous_2015_2020_m1","outputs\independent_h4_channel_trend_trail_discovery_model1_package\reports_here\h4ct_trail_55_20_l10_a30_continuous_2015_2020_m1","E7EB3D3148FEC2CD76F48AD106818C4776432A8A9C2CD29F60341C998CCE66E2","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"10","h4ct_trail_55_20_l20_a25","trail_discovery_model1","Independent H4 channel Chandelier discovery Model1","older_2015_2018","1","10000","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\010_h4ct_trail_55_20_l20_a25_older_2015_2018_m1.ini","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\010_h4ct_trail_55_20_l20_a25_older_2015_2018_m1.ini","h4ct_trail_55_20_l20_a25_older_2015_2018_m1","outputs\independent_h4_channel_trend_trail_discovery_model1_package\reports_here\h4ct_trail_55_20_l20_a25_older_2015_2018_m1","1D20DEF8CB4915CBEF74CDB5E99BE7B4709131DD01CD24ABC40BFEADEBE6F202","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"11","h4ct_trail_55_20_l20_a25","trail_discovery_model1","Independent H4 channel Chandelier discovery Model1","discovery_2019_2020","1","10000","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\011_h4ct_trail_55_20_l20_a25_discovery_2019_2020_m1.ini","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\011_h4ct_trail_55_20_l20_a25_discovery_2019_2020_m1.ini","h4ct_trail_55_20_l20_a25_discovery_2019_2020_m1","outputs\independent_h4_channel_trend_trail_discovery_model1_package\reports_here\h4ct_trail_55_20_l20_a25_discovery_2019_2020_m1","1D20DEF8CB4915CBEF74CDB5E99BE7B4709131DD01CD24ABC40BFEADEBE6F202","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"12","h4ct_trail_55_20_l20_a25","trail_discovery_model1","Independent H4 channel Chandelier discovery Model1","continuous_2015_2020","1","10000","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\012_h4ct_trail_55_20_l20_a25_continuous_2015_2020_m1.ini","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\012_h4ct_trail_55_20_l20_a25_continuous_2015_2020_m1.ini","h4ct_trail_55_20_l20_a25_continuous_2015_2020_m1","outputs\independent_h4_channel_trend_trail_discovery_model1_package\reports_here\h4ct_trail_55_20_l20_a25_continuous_2015_2020_m1","1D20DEF8CB4915CBEF74CDB5E99BE7B4709131DD01CD24ABC40BFEADEBE6F202","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"13","h4ct_trail_55_20_l20_a30","trail_discovery_model1","Independent H4 channel Chandelier discovery Model1","older_2015_2018","1","10000","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\013_h4ct_trail_55_20_l20_a30_older_2015_2018_m1.ini","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\013_h4ct_trail_55_20_l20_a30_older_2015_2018_m1.ini","h4ct_trail_55_20_l20_a30_older_2015_2018_m1","outputs\independent_h4_channel_trend_trail_discovery_model1_package\reports_here\h4ct_trail_55_20_l20_a30_older_2015_2018_m1","8226265E9E6117CE2E120F9093D28709327D01E32988D2F7C83EE65812A9AA04","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
"14","h4ct_trail_55_20_l20_a30","trail_discovery_model1","Independent H4 channel Chandelier discovery Model1","discovery_2019_2020","1","10000","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\014_h4ct_trail_55_20_l20_a30_discovery_2019_2020_m1.ini","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\014_h4ct_trail_55_20_l20_a30_discovery_2019_2020_m1.ini","h4ct_trail_55_20_l20_a30_discovery_2019_2020_m1","outputs\independent_h4_channel_trend_trail_discovery_model1_package\reports_here\h4ct_trail_55_20_l20_a30_discovery_2019_2020_m1","8226265E9E6117CE2E120F9093D28709327D01E32988D2F7C83EE65812A9AA04","Discovery-only Chandelier neighborhood: require both eras positive, continuous PF at least 1.30, at least 60 trades, DD at or below 3%, and at least three adjacent profitable shapes before opening 2021-2026."
