"QueueRank","Candidate","Window","Model","Status","Action","Config","ConfigExists","ExpectedReportName","FirstPassInbox","MaxCpuPercent","Reports","Evidence","Started","Finished"
"1","h4ct_trail_40_20_l20_a25","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\001_h4ct_trail_40_20_l20_a25_older_2015_2018_m1.ini","True","h4ct_trail_40_20_l20_a25_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_trail_40_20_l20_a25_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:25:42","2026-07-16T18:25:53"
"2","h4ct_trail_40_20_l20_a25","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\002_h4ct_trail_40_20_l20_a25_discovery_2019_2020_m1.ini","True","h4ct_trail_40_20_l20_a25_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_trail_40_20_l20_a25_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:25:53","2026-07-16T18:26:05"
"3","h4ct_trail_40_20_l20_a25","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\003_h4ct_trail_40_20_l20_a25_continuous_2015_2020_m1.ini","True","h4ct_trail_40_20_l20_a25_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_trail_40_20_l20_a25_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:26:05","2026-07-16T18:26:16"
"4","h4ct_trail_40_20_l20_a30","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\004_h4ct_trail_40_20_l20_a30_older_2015_2018_m1.ini","True","h4ct_trail_40_20_l20_a30_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_trail_40_20_l20_a30_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:26:16","2026-07-16T18:26:27"
"5","h4ct_trail_40_20_l20_a30","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\005_h4ct_trail_40_20_l20_a30_discovery_2019_2020_m1.ini","True","h4ct_trail_40_20_l20_a30_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_trail_40_20_l20_a30_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:26:27","2026-07-16T18:26:39"
"6","h4ct_trail_40_20_l20_a30","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\006_h4ct_trail_40_20_l20_a30_continuous_2015_2020_m1.ini","True","h4ct_trail_40_20_l20_a30_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_trail_40_20_l20_a30_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:26:39","2026-07-16T18:26:50"
"7","h4ct_trail_55_20_l10_a30","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\007_h4ct_trail_55_20_l10_a30_older_2015_2018_m1.ini","True","h4ct_trail_55_20_l10_a30_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_trail_55_20_l10_a30_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:26:50","2026-07-16T18:27:01"
"8","h4ct_trail_55_20_l10_a30","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\008_h4ct_trail_55_20_l10_a30_discovery_2019_2020_m1.ini","True","h4ct_trail_55_20_l10_a30_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_trail_55_20_l10_a30_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:27:01","2026-07-16T18:27:13"
"9","h4ct_trail_55_20_l10_a30","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\009_h4ct_trail_55_20_l10_a30_continuous_2015_2020_m1.ini","True","h4ct_trail_55_20_l10_a30_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_trail_55_20_l10_a30_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:27:13","2026-07-16T18:27:27"
"10","h4ct_trail_55_20_l20_a25","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_h4_channel_trend_trail_discovery_model1_package\configs\010_h4ct_trail_55_20_l20_a25_older_2015_2018_m1.ini","True","h4ct_trail_55_20_l20_a25_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\h4ct_trail_55_20_l20_a25_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T18:27:27","2026-07-16T18:27:38"
