"Rank","Priority","Phase","Profile","Set","Window","From","To","ExpectedReportName","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"","","discovery_model1","","aer_center.set","older_2015_2018","2015.01.01","2018.12.31","aer_center_older_2015_2018_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_center_older_2015_2018_m1.htm","10000","1460","3.9973","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","discovery_model1","","aer_center.set","discovery_2019_2020","2019.01.01","2020.12.31","aer_center_discovery_2019_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_center_discovery_2019_2020_m1.htm","10000","730","1.9986","0.01","10000.01","0","0","0","1","0","0","33.33","3","1","14.5","0.14","8.08","14.5","0.0007"
"","","discovery_model1","","aer_center.set","continuous_2015_2020","2015.01.01","2020.12.31","aer_center_continuous_2015_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_center_continuous_2015_2020_m1.htm","10000","2191","5.9986","0.01","10000.01","0","0","0","1","0","0","33.33","3","1","14.5","0.14","8.08","14.5","0.0007"
"","","discovery_model1","","aer_adr075.set","older_2015_2018","2015.01.01","2018.12.31","aer_adr075_older_2015_2018_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adr075_older_2015_2018_m1.htm","10000","1460","3.9973","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","discovery_model1","","aer_adr075.set","discovery_2019_2020","2019.01.01","2020.12.31","aer_adr075_discovery_2019_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adr075_discovery_2019_2020_m1.htm","10000","730","1.9986","20.08","10020.08","0.2","0.1","0.1","1.8","3.35","1.71","50","6","2","17.13","0.17","17.13","17.13","1.1722"
"","","discovery_model1","","aer_adr075.set","continuous_2015_2020","2015.01.01","2020.12.31","aer_adr075_continuous_2015_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adr075_continuous_2015_2020_m1.htm","10000","2191","5.9986","20.08","10020.08","0.2","0.03","0.03","1.8","3.35","1.71","50","6","2","17.13","0.17","17.13","17.13","1.1722"
"","","discovery_model1","","aer_adr095.set","older_2015_2018","2015.01.01","2018.12.31","aer_adr095_older_2015_2018_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adr095_older_2015_2018_m1.htm","10000","1460","3.9973","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","discovery_model1","","aer_adr095.set","discovery_2019_2020","2019.01.01","2020.12.31","aer_adr095_discovery_2019_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adr095_discovery_2019_2020_m1.htm","10000","730","1.9986","15.62","10015.62","0.16","0.08","0.08","0","15.62","0.25","100","1","0","5.54","0.06","0","5.54","2.8195"
"","","discovery_model1","","aer_adr095.set","continuous_2015_2020","2015.01.01","2020.12.31","aer_adr095_continuous_2015_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adr095_continuous_2015_2020_m1.htm","10000","2191","5.9986","15.62","10015.62","0.16","0.03","0.03","0","15.62","0.25","100","1","0","5.54","0.06","0","5.54","2.8195"
"","","discovery_model1","","aer_move045.set","older_2015_2018","2015.01.01","2018.12.31","aer_move045_older_2015_2018_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_move045_older_2015_2018_m1.htm","10000","1460","3.9973","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","discovery_model1","","aer_move045.set","discovery_2019_2020","2019.01.01","2020.12.31","aer_move045_discovery_2019_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_move045_discovery_2019_2020_m1.htm","10000","730","1.9986","0.01","10000.01","0","0","0","1","0","0","33.33","3","1","14.5","0.14","8.08","14.5","0.0007"
"","","discovery_model1","","aer_move045.set","continuous_2015_2020","2015.01.01","2020.12.31","aer_move045_continuous_2015_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_move045_continuous_2015_2020_m1.htm","10000","2191","5.9986","0.01","10000.01","0","0","0","1","0","0","33.33","3","1","14.5","0.14","8.08","14.5","0.0007"
"","","discovery_model1","","aer_move065.set","older_2015_2018","2015.01.01","2018.12.31","aer_move065_older_2015_2018_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_move065_older_2015_2018_m1.htm","10000","1460","3.9973","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","","discovery_model1","","aer_move065.set","discovery_2019_2020","2019.01.01","2020.12.31","aer_move065_discovery_2019_2020_m1","PARSED","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_move065_discovery_2019_2020_m1.htm","10000","730","1.9986","0.01","10000.01","0","0","0","1","0","0","33.33","3","1","14.5","0.14","8.08","14.5","0.0007"
