"Worker","QueueRank","Candidate","Window","Status","ReportPath","Evidence","PackageConfigSha256","PackageSourceSha256","PortableBinarySha256","PortableExpertRecompiled","ReportSha256","ReportIdentityPath","ReportIdentityReused","Started","Finished"
"1","1","aer_center","older_2015_2018","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_center_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","F7168BA5D03CB698ECF1CEFCFC7E4334AB68068CEC151599BB335239BBDBB156","3965C11212CC615675F13118E711F6D62805218124FC0A707EBE838DD446E281","B9C834A9A408966A8E22E5432F2BFF2E23B74C21E9640F75CEFF42400FA1C15B","True","7F5EFE2B97C5120924C614F8CADE8AA9B3849206050478913F6FA2E34F4D5C00","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_center_older_2015_2018_m1.identity.json","False","2026-07-19T02:34:05","2026-07-19T02:34:24"
"3","2","aer_center","discovery_2019_2020","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_center_discovery_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","21B580E2F6DE86C1E84DBCE6A68AB8D9895C883BDB4CE8E89DAE7590B284706C","3965C11212CC615675F13118E711F6D62805218124FC0A707EBE838DD446E281","A5C0452963D36677029A3501A4A301515F60E0D97419E3F0E35DBFF60F606DA4","False","CC5C4DA0F26A7A5584A5D97EBE6200D3E37D16F638BBAFADCA20B71CB98E88A9","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_center_discovery_2019_2020_m1.identity.json","False","2026-07-19T02:39:56","2026-07-19T02:40:13"
"3","3","aer_center","continuous_2015_2020","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_center_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","599E4DE14BA53DF646FBB0C292EF81BB79E6DC11EA2AC6443D3671FAD6AB851E","3965C11212CC615675F13118E711F6D62805218124FC0A707EBE838DD446E281","A5C0452963D36677029A3501A4A301515F60E0D97419E3F0E35DBFF60F606DA4","True","FD14F6DB5C8ED06C3A75278CEBCDE078AA9BBB62DE3E4A635219F4230541C124","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_center_continuous_2015_2020_m1.identity.json","False","2026-07-19T02:34:06","2026-07-19T02:34:30"
"1","4","aer_adr075","older_2015_2018","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adr075_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","0052094993B63E3CE5EB890428244F26B471F283EF01B21FD1B7AD3B6FFE5BE5","3965C11212CC615675F13118E711F6D62805218124FC0A707EBE838DD446E281","B9C834A9A408966A8E22E5432F2BFF2E23B74C21E9640F75CEFF42400FA1C15B","False","1468BD83ED557EF6B57840A6057FBF7D247CD35735ADF2276FE32CCDC2A2D3EE","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adr075_older_2015_2018_m1.identity.json","False","2026-07-19T02:34:24","2026-07-19T02:34:40"
"3","5","aer_adr075","discovery_2019_2020","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adr075_discovery_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","647721D164A5BCE98966A0F1E8306E90C53D101ACAA441CB2CBB21568EE86278","3965C11212CC615675F13118E711F6D62805218124FC0A707EBE838DD446E281","A5C0452963D36677029A3501A4A301515F60E0D97419E3F0E35DBFF60F606DA4","False","488C866C6227CC3FE06D535CDAC90E3832067E47218C3B9665EFA52029047043","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adr075_discovery_2019_2020_m1.identity.json","False","2026-07-19T02:40:13","2026-07-19T02:40:30"
"3","6","aer_adr075","continuous_2015_2020","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adr075_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","2798C2CFBC23D16303930860792C45450BD6D55B8C5FD0AF748DE25CCC1FCB41","3965C11212CC615675F13118E711F6D62805218124FC0A707EBE838DD446E281","A5C0452963D36677029A3501A4A301515F60E0D97419E3F0E35DBFF60F606DA4","False","05EBCB53D913ECB707A49448CA45CB05C90DD7A2E3DE163B7E996EBC383AEF66","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adr075_continuous_2015_2020_m1.identity.json","False","2026-07-19T02:34:30","2026-07-19T02:34:47"
"1","7","aer_adr095","older_2015_2018","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adr095_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","7C2FF78E8B42E6F6FE6B97A30105F8E1D56A2EA78796BA0BDF4014409E70C3D0","3965C11212CC615675F13118E711F6D62805218124FC0A707EBE838DD446E281","B9C834A9A408966A8E22E5432F2BFF2E23B74C21E9640F75CEFF42400FA1C15B","False","2C221C4E6FAE396FBAECCDA867B532FCAEC8DB5CE07EA6BE12A52FE1B61A5006","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adr095_older_2015_2018_m1.identity.json","False","2026-07-19T02:34:40","2026-07-19T02:34:55"
"3","8","aer_adr095","discovery_2019_2020","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adr095_discovery_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","2417C2C5B0B50760D7423D52FB0BDBD7F7D10B5F52C15AC59F4B787E9D6A448F","3965C11212CC615675F13118E711F6D62805218124FC0A707EBE838DD446E281","A5C0452963D36677029A3501A4A301515F60E0D97419E3F0E35DBFF60F606DA4","False","05B156FC6401C1E14EDCD8A81376DD10978846FFAAEC27CA5344EB618F3CAA97","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adr095_discovery_2019_2020_m1.identity.json","False","2026-07-19T02:40:30","2026-07-19T02:40:47"
"3","9","aer_adr095","continuous_2015_2020","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adr095_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","44F995BE977A667BAC4FE8B5ACA509BB9BBC3A58246A61A8EACF88CF32B92440","3965C11212CC615675F13118E711F6D62805218124FC0A707EBE838DD446E281","A5C0452963D36677029A3501A4A301515F60E0D97419E3F0E35DBFF60F606DA4","False","2051DEFF886F992E8B1D8CC6450B62407DAD34949DE52DF82D28A9BC195C8912","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_adr095_continuous_2015_2020_m1.identity.json","False","2026-07-19T02:34:47","2026-07-19T02:35:07"
"1","10","aer_move045","older_2015_2018","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_move045_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","6AB98485875414F5CDF0512CA7CA27DA91F747F9D1A2CB7D73AC0FCE2B329954","3965C11212CC615675F13118E711F6D62805218124FC0A707EBE838DD446E281","B9C834A9A408966A8E22E5432F2BFF2E23B74C21E9640F75CEFF42400FA1C15B","False","7DC62157D6D578216B4ABBAA77BF60F74AC44E8701124BB1D98A06788F2184DB","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_adr_exhaustion_reversion_discovery_model1_package\reports_here\aer_move045_older_2015_2018_m1.identity.json","False","2026-07-19T02:34:55","2026-07-19T02:35:11"
