"Candidate","Older2015To2018Net","Older2015To2018ProfitFactor","Repair2019To2020Net","Repair2019To2020ProfitFactor","Continuous2015To2020Net","ContinuousProfitFactor","ContinuousExpectedPayoff","ContinuousTrades","ContinuousMaxDrawdownPercent","ContinuousReturnToDrawdown","ContinuousWinRatePercent","BothDisjointErasPositive","BothDisjointEraProfitFactorsAtLeast105","ProfitFactorAtLeast120","TradesAtLeast100","DrawdownAtMost300","ExpectedPayoffPositive","ReturnToDrawdownAtLeast100","BaseGatePass","FamilyCenterAndTwoNeighborsPass","DiscoveryGatePass","Decision"
"ars_adx24","-32.94","0.83","-32.22","0.56","-65.16","0.76","-1.63","40","1.24","-0.5255","27.5","False","False","False","False","True","False","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"ars_volume105","-78.59","0.67","-26.56","0.81","-110.05","0.71","-1.8","61","1.76","-0.6253","31.15","False","False","False","False","True","False","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"ars_midpoint","-97.86","0.57","-22.6","0.86","-121.21","0.69","-1.92","63","2.01","-0.603","33.33","False","False","False","False","True","False","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"ars_entry10","-137.09","0.48","-12.06","0.92","-160.25","0.62","-2.26","71","2.05","-0.7817","35.21","False","False","False","False","True","False","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"ars_rr20","-224.06","0.46","-33.2","0.85","-262","0.59","-2.54","103","3.2","-0.8188","33.01","False","False","False","True","False","False","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"ars_sweep05","-212.61","0.49","-42.57","0.8","-263.39","0.59","-2.56","103","3.17","-0.8309","33.01","False","False","False","True","False","False","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"ars_reclaim05","-212.61","0.49","-42.57","0.8","-263.39","0.59","-2.56","103","3.17","-0.8309","33.01","False","False","False","True","False","False","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"ars_center","-212.61","0.49","-42.57","0.8","-263.39","0.59","-2.56","103","3.17","-0.8309","33.01","False","False","False","True","False","False","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"ars_wick15","-306.67","0.11","27.17","1.21","-295.16","0.39","-3.74","79","3.88","-0.7607","32.91","False","False","False","False","False","False","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
"ars_sweep15","-220.69","0.48","-79.71","0.64","-305.79","0.53","-2.94","104","3.57","-0.8566","31.73","False","False","False","True","False","False","False","False","False","False","REJECTED_NO_HOLDOUT_NO_MODEL4"
