"QueueRank","Candidate","Phase","Window","From","To","Model","Deposit","ExpectedReportName","Status","ReportPath","ProfileSha256","SourceSha256","RunLabel","MinimumSweepATR","MinimumReclaimATR","WickToBodyRatio","UseTickVolumeFilter","MinimumVolumeRatio","UseMaximumADXFilter","MaximumADX","TakeProfitR","UseAsianMidpointTarget","EntryEndHour","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","RecoveryFactor"
"1","ars_center","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","ars_center_older_2015_2018_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_center_older_2015_2018_m1.htm","2D9AA958063D028E89837FD9B0B1A3459B2918AFD24A54DA51F23B87ABFA0BF5","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","1.50","false","12","10000","1460","3.9973","-212.61","9787.39","-2.13","-0.53","-0.54","0.49","-3.43","-5","29.03","62","11","230.92","2.31","-0.9207"
"2","ars_center","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","ars_center_repair_2019_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_center_repair_2019_2020_m1.htm","2D9AA958063D028E89837FD9B0B1A3459B2918AFD24A54DA51F23B87ABFA0BF5","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","1.50","false","12","10000","730","1.9986","-42.57","9957.43","-0.43","-0.21","-0.21","0.8","-1.06","-5","40","40","5","90.63","0.91","-0.4697"
"3","ars_center","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","ars_center_continuous_2015_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_center_continuous_2015_2020_m1.htm","2D9AA958063D028E89837FD9B0B1A3459B2918AFD24A54DA51F23B87ABFA0BF5","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.00","false","1.10","false","28.0","1.50","false","12","10000","2191","5.9986","-263.39","9736.61","-2.63","-0.44","-0.44","0.59","-2.56","-5","33.01","103","11","317.28","3.17","-0.8302"
"4","ars_sweep05","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","ars_sweep05_older_2015_2018_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_sweep05_older_2015_2018_m1.htm","F0519B5BC425946243AD86BC43FD0C3F22555D71AB097A7A82AFF946028CC45E","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.05","0.00","1.00","false","1.10","false","28.0","1.50","false","12","10000","1460","3.9973","-212.61","9787.39","-2.13","-0.53","-0.54","0.49","-3.43","-5","29.03","62","11","230.92","2.31","-0.9207"
"5","ars_sweep05","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","ars_sweep05_repair_2019_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_sweep05_repair_2019_2020_m1.htm","F0519B5BC425946243AD86BC43FD0C3F22555D71AB097A7A82AFF946028CC45E","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.05","0.00","1.00","false","1.10","false","28.0","1.50","false","12","10000","730","1.9986","-42.57","9957.43","-0.43","-0.21","-0.21","0.8","-1.06","-5","40","40","5","90.63","0.91","-0.4697"
"6","ars_sweep05","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","ars_sweep05_continuous_2015_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_sweep05_continuous_2015_2020_m1.htm","F0519B5BC425946243AD86BC43FD0C3F22555D71AB097A7A82AFF946028CC45E","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.05","0.00","1.00","false","1.10","false","28.0","1.50","false","12","10000","2191","5.9986","-263.39","9736.61","-2.63","-0.44","-0.44","0.59","-2.56","-5","33.01","103","11","317.28","3.17","-0.8302"
"7","ars_sweep15","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","ars_sweep15_older_2015_2018_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_sweep15_older_2015_2018_m1.htm","7E467185527E6A3044101CB43A115392EBBC320B832B4CB0146C218E88E899D1","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.15","0.00","1.00","false","1.10","false","28.0","1.50","false","12","10000","1460","3.9973","-220.69","9779.31","-2.21","-0.55","-0.56","0.48","-3.5","-5","28.57","63","11","240.09","2.4","-0.9192"
"8","ars_sweep15","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","ars_sweep15_repair_2019_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_sweep15_repair_2019_2020_m1.htm","7E467185527E6A3044101CB43A115392EBBC320B832B4CB0146C218E88E899D1","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.15","0.00","1.00","false","1.10","false","28.0","1.50","false","12","10000","730","1.9986","-79.71","9920.29","-0.8","-0.4","-0.4","0.64","-1.99","-5","37.5","40","5","123.85","1.24","-0.6436"
"9","ars_sweep15","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","ars_sweep15_continuous_2015_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_sweep15_continuous_2015_2020_m1.htm","7E467185527E6A3044101CB43A115392EBBC320B832B4CB0146C218E88E899D1","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.15","0.00","1.00","false","1.10","false","28.0","1.50","false","12","10000","2191","5.9986","-305.79","9694.21","-3.06","-0.51","-0.52","0.53","-2.94","-5","31.73","104","11","357.5","3.57","-0.8554"
"10","ars_reclaim05","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","ars_reclaim05_older_2015_2018_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_reclaim05_older_2015_2018_m1.htm","CB453E07BE5F53BD5093BDD4602C667C6FB9775F11E1FB1CFF209758A7918839","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.05","1.00","false","1.10","false","28.0","1.50","false","12","10000","1460","3.9973","-212.61","9787.39","-2.13","-0.53","-0.54","0.49","-3.43","-5","29.03","62","11","230.92","2.31","-0.9207"
"11","ars_reclaim05","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","ars_reclaim05_repair_2019_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_reclaim05_repair_2019_2020_m1.htm","CB453E07BE5F53BD5093BDD4602C667C6FB9775F11E1FB1CFF209758A7918839","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.05","1.00","false","1.10","false","28.0","1.50","false","12","10000","730","1.9986","-42.57","9957.43","-0.43","-0.21","-0.21","0.8","-1.06","-5","40","40","5","90.63","0.91","-0.4697"
"12","ars_reclaim05","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","ars_reclaim05_continuous_2015_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_reclaim05_continuous_2015_2020_m1.htm","CB453E07BE5F53BD5093BDD4602C667C6FB9775F11E1FB1CFF209758A7918839","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.05","1.00","false","1.10","false","28.0","1.50","false","12","10000","2191","5.9986","-263.39","9736.61","-2.63","-0.44","-0.44","0.59","-2.56","-5","33.01","103","11","317.28","3.17","-0.8302"
"13","ars_wick15","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","ars_wick15_older_2015_2018_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_wick15_older_2015_2018_m1.htm","F835324B8D9E3956D7944BCD12AE5A4139B66A37E8F60394D901ADB955D7F7E9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.50","false","1.10","false","28.0","1.50","false","12","10000","1460","3.9973","-306.67","9693.33","-3.07","-0.77","-0.78","0.11","-6.26","-5","24.49","49","10","326.98","3.27","-0.9379"
"14","ars_wick15","discovery_model1","repair_2019_2020","2019.01.01","2020.12.31","1","10000","ars_wick15_repair_2019_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_wick15_repair_2019_2020_m1.htm","F835324B8D9E3956D7944BCD12AE5A4139B66A37E8F60394D901ADB955D7F7E9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.50","false","1.10","false","28.0","1.50","false","12","10000","730","1.9986","27.17","10027.17","0.27","0.14","0.14","1.21","0.94","5.25","48.28","29","4","66.17","0.66","0.4106"
"15","ars_wick15","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","ars_wick15_continuous_2015_2020_m1","PARSED","outputs\independent_m15_asian_range_sweep_discovery_model1_package\reports_here\ars_wick15_continuous_2015_2020_m1.htm","F835324B8D9E3956D7944BCD12AE5A4139B66A37E8F60394D901ADB955D7F7E9","C757E57C98EFABE7C9A84EEE912D181539AF346DCDCD0B6758F9F0AE22C71EFB","independent_m15_asian_range_sweep_discovery_model1","0.10","0.00","1.50","false","1.10","false","28.0","1.50","false","12","10000","2191","5.9986","-295.16","9704.84","-2.95","-0.49","-0.5","0.39","-3.74","-5","32.91","79","10","388.24","3.88","-0.7603"
