"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","m15dvc_center","discovery_model1","Independent M15 daily-VWAP continuation discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\001_m15dvc_center_older_2015_2018_m1.ini","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\001_m15dvc_center_older_2015_2018_m1.ini","m15dvc_center_older_2015_2018_m1","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_center_older_2015_2018_m1","A712EB878329FE09D96FEC0882BD027CD5BB39613EEB351C87ED3D51C4841A39","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"2","m15dvc_center","discovery_model1","Independent M15 daily-VWAP continuation discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\002_m15dvc_center_discovery_2019_2020_m1.ini","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\002_m15dvc_center_discovery_2019_2020_m1.ini","m15dvc_center_discovery_2019_2020_m1","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_center_discovery_2019_2020_m1","A712EB878329FE09D96FEC0882BD027CD5BB39613EEB351C87ED3D51C4841A39","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"3","m15dvc_center","discovery_model1","Independent M15 daily-VWAP continuation discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\003_m15dvc_center_continuous_2015_2020_m1.ini","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\003_m15dvc_center_continuous_2015_2020_m1.ini","m15dvc_center_continuous_2015_2020_m1","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_center_continuous_2015_2020_m1","A712EB878329FE09D96FEC0882BD027CD5BB39613EEB351C87ED3D51C4841A39","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"4","m15dvc_pb2","discovery_model1","Independent M15 daily-VWAP continuation discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\004_m15dvc_pb2_older_2015_2018_m1.ini","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\004_m15dvc_pb2_older_2015_2018_m1.ini","m15dvc_pb2_older_2015_2018_m1","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_pb2_older_2015_2018_m1","5017FB1FFEC852BFCAD1EEF8369DB0F22B54C772AE3EC50F89B97848D6CFF8B6","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"5","m15dvc_pb2","discovery_model1","Independent M15 daily-VWAP continuation discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\005_m15dvc_pb2_discovery_2019_2020_m1.ini","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\005_m15dvc_pb2_discovery_2019_2020_m1.ini","m15dvc_pb2_discovery_2019_2020_m1","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_pb2_discovery_2019_2020_m1","5017FB1FFEC852BFCAD1EEF8369DB0F22B54C772AE3EC50F89B97848D6CFF8B6","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"6","m15dvc_pb2","discovery_model1","Independent M15 daily-VWAP continuation discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\006_m15dvc_pb2_continuous_2015_2020_m1.ini","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\006_m15dvc_pb2_continuous_2015_2020_m1.ini","m15dvc_pb2_continuous_2015_2020_m1","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_pb2_continuous_2015_2020_m1","5017FB1FFEC852BFCAD1EEF8369DB0F22B54C772AE3EC50F89B97848D6CFF8B6","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"7","m15dvc_pb4","discovery_model1","Independent M15 daily-VWAP continuation discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\007_m15dvc_pb4_older_2015_2018_m1.ini","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\007_m15dvc_pb4_older_2015_2018_m1.ini","m15dvc_pb4_older_2015_2018_m1","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_pb4_older_2015_2018_m1","5129B8BDA8ACA1383551B56F196B8A72B7C59182C5D9D35347AA69C30C2DF434","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"8","m15dvc_pb4","discovery_model1","Independent M15 daily-VWAP continuation discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\008_m15dvc_pb4_discovery_2019_2020_m1.ini","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\008_m15dvc_pb4_discovery_2019_2020_m1.ini","m15dvc_pb4_discovery_2019_2020_m1","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_pb4_discovery_2019_2020_m1","5129B8BDA8ACA1383551B56F196B8A72B7C59182C5D9D35347AA69C30C2DF434","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"9","m15dvc_pb4","discovery_model1","Independent M15 daily-VWAP continuation discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\009_m15dvc_pb4_continuous_2015_2020_m1.ini","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\009_m15dvc_pb4_continuous_2015_2020_m1.ini","m15dvc_pb4_continuous_2015_2020_m1","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_pb4_continuous_2015_2020_m1","5129B8BDA8ACA1383551B56F196B8A72B7C59182C5D9D35347AA69C30C2DF434","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"10","m15dvc_adx16","discovery_model1","Independent M15 daily-VWAP continuation discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\010_m15dvc_adx16_older_2015_2018_m1.ini","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\configs\010_m15dvc_adx16_older_2015_2018_m1.ini","m15dvc_adx16_older_2015_2018_m1","outputs\independent_m15_daily_vwap_continuation_discovery_model1_package\reports_here\m15dvc_adx16_older_2015_2018_m1","CD46B34CE58A99C1E1534A01F61AE02EADD3E1C9AC1BD7CEA52C75C7581B0201","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
