"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","PullbackLookbackBars","MinimumADX","TakeProfitR","MinimumSignalBodyPercent","RequirePriorCloseBeyondVWAP","UseSignalVolumeFilter","SessionStartHour","SessionEndHour","StopRule"
"1","m15dvc_center","1","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_m15dvc_center_older_2015_2018_m1.ini","m15dvc_center_older_2015_2018_m1","profiles\m15dvc_center.set","A712EB878329FE09D96FEC0882BD027CD5BB39613EEB351C87ED3D51C4841A39","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"2","m15dvc_center","1","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_m15dvc_center_discovery_2019_2020_m1.ini","m15dvc_center_discovery_2019_2020_m1","profiles\m15dvc_center.set","A712EB878329FE09D96FEC0882BD027CD5BB39613EEB351C87ED3D51C4841A39","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"3","m15dvc_center","1","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_m15dvc_center_continuous_2015_2020_m1.ini","m15dvc_center_continuous_2015_2020_m1","profiles\m15dvc_center.set","A712EB878329FE09D96FEC0882BD027CD5BB39613EEB351C87ED3D51C4841A39","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"4","m15dvc_pb2","2","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_pb2.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_m15dvc_pb2_older_2015_2018_m1.ini","m15dvc_pb2_older_2015_2018_m1","profiles\m15dvc_pb2.set","5017FB1FFEC852BFCAD1EEF8369DB0F22B54C772AE3EC50F89B97848D6CFF8B6","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","2","18.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"5","m15dvc_pb2","2","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_pb2.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_m15dvc_pb2_discovery_2019_2020_m1.ini","m15dvc_pb2_discovery_2019_2020_m1","profiles\m15dvc_pb2.set","5017FB1FFEC852BFCAD1EEF8369DB0F22B54C772AE3EC50F89B97848D6CFF8B6","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","2","18.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"6","m15dvc_pb2","2","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_pb2.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_m15dvc_pb2_continuous_2015_2020_m1.ini","m15dvc_pb2_continuous_2015_2020_m1","profiles\m15dvc_pb2.set","5017FB1FFEC852BFCAD1EEF8369DB0F22B54C772AE3EC50F89B97848D6CFF8B6","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","2","18.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"7","m15dvc_pb4","3","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_pb4.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_m15dvc_pb4_older_2015_2018_m1.ini","m15dvc_pb4_older_2015_2018_m1","profiles\m15dvc_pb4.set","5129B8BDA8ACA1383551B56F196B8A72B7C59182C5D9D35347AA69C30C2DF434","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","4","18.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"8","m15dvc_pb4","3","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_pb4.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_m15dvc_pb4_discovery_2019_2020_m1.ini","m15dvc_pb4_discovery_2019_2020_m1","profiles\m15dvc_pb4.set","5129B8BDA8ACA1383551B56F196B8A72B7C59182C5D9D35347AA69C30C2DF434","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","4","18.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"9","m15dvc_pb4","3","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_pb4.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_m15dvc_pb4_continuous_2015_2020_m1.ini","m15dvc_pb4_continuous_2015_2020_m1","profiles\m15dvc_pb4.set","5129B8BDA8ACA1383551B56F196B8A72B7C59182C5D9D35347AA69C30C2DF434","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","4","18.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"10","m15dvc_adx16","4","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_adx16.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_m15dvc_adx16_older_2015_2018_m1.ini","m15dvc_adx16_older_2015_2018_m1","profiles\m15dvc_adx16.set","CD46B34CE58A99C1E1534A01F61AE02EADD3E1C9AC1BD7CEA52C75C7581B0201","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","16.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"11","m15dvc_adx16","4","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_adx16.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\011_m15dvc_adx16_discovery_2019_2020_m1.ini","m15dvc_adx16_discovery_2019_2020_m1","profiles\m15dvc_adx16.set","CD46B34CE58A99C1E1534A01F61AE02EADD3E1C9AC1BD7CEA52C75C7581B0201","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","16.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"12","m15dvc_adx16","4","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_adx16.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\012_m15dvc_adx16_continuous_2015_2020_m1.ini","m15dvc_adx16_continuous_2015_2020_m1","profiles\m15dvc_adx16.set","CD46B34CE58A99C1E1534A01F61AE02EADD3E1C9AC1BD7CEA52C75C7581B0201","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","16.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"13","m15dvc_adx20","5","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_adx20.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\013_m15dvc_adx20_older_2015_2018_m1.ini","m15dvc_adx20_older_2015_2018_m1","profiles\m15dvc_adx20.set","8EFB5CA605CE96285A15BE40FB695D8444C71FADB164D213FF370B43C1B98657","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","20.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"14","m15dvc_adx20","5","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_adx20.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\014_m15dvc_adx20_discovery_2019_2020_m1.ini","m15dvc_adx20_discovery_2019_2020_m1","profiles\m15dvc_adx20.set","8EFB5CA605CE96285A15BE40FB695D8444C71FADB164D213FF370B43C1B98657","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","20.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"15","m15dvc_adx20","5","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_adx20.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\015_m15dvc_adx20_continuous_2015_2020_m1.ini","m15dvc_adx20_continuous_2015_2020_m1","profiles\m15dvc_adx20.set","8EFB5CA605CE96285A15BE40FB695D8444C71FADB164D213FF370B43C1B98657","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","20.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"16","m15dvc_adx22","6","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_adx22.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\016_m15dvc_adx22_older_2015_2018_m1.ini","m15dvc_adx22_older_2015_2018_m1","profiles\m15dvc_adx22.set","DF6BD7664BA1F6D84E02F4C1B326409B3A49677690EAF3A1CD546F2A66D8FEED","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","22.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"17","m15dvc_adx22","6","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_adx22.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\017_m15dvc_adx22_discovery_2019_2020_m1.ini","m15dvc_adx22_discovery_2019_2020_m1","profiles\m15dvc_adx22.set","DF6BD7664BA1F6D84E02F4C1B326409B3A49677690EAF3A1CD546F2A66D8FEED","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","22.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"18","m15dvc_adx22","6","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_adx22.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\018_m15dvc_adx22_continuous_2015_2020_m1.ini","m15dvc_adx22_continuous_2015_2020_m1","profiles\m15dvc_adx22.set","DF6BD7664BA1F6D84E02F4C1B326409B3A49677690EAF3A1CD546F2A66D8FEED","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","22.0","2.00","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
"19","m15dvc_tp150","7","independent_m15_daily_vwap_continuation","1","discovery_model1","m15dvc_tp150.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\019_m15dvc_tp150_older_2015_2018_m1.ini","m15dvc_tp150_older_2015_2018_m1","profiles\m15dvc_tp150.set","3B8278002C5B899D55A95A27B1FCE1248220BEF04156A4F1C236690D904020DC","7EE4CD1CF4D47FA4EB34D33FF101A2C66323B8212047E4C4D5692C18A28A5849","15","3","18.0","1.50","35.0","true","false","6","18","Discovery only: require both disjoint eras positive, continuous PF at least 1.30, at least 120 continuous trades, DD at or below 3%, and support from at least two adjacent VWAP/pullback/ADX/payoff shapes before opening 2021-2026."
