"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","EnableVolumeClimax","EnableVolatilitySqueeze","VcrMinimumVolumeRatio","VcrExtremeLookbackBars","VcrRequireFreshExtreme","SqBreakoutLookbackBars","SqKeltnerATRMultiplier","SqSqueezeBars","TrendEMAPeriod","SessionEndHour","MaximumTradesPerDay","StopRule"
"1","m15drp_center","1","independent_m15_dual_regime_portfolio","1","discovery_model1","m15drp_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_m15drp_center_older_2015_2018_m1.ini","m15drp_center_older_2015_2018_m1","profiles\m15drp_center.set","B035ABE5C90DB74487C0A88E109E121E5E49DAC420E7217583D95E8E7890363C","DEA3B16FB2D14E4A1253B422CCE80AEC4CB49DCF03067EDBCE96008F694FA5E1","15","true","true","1.30","8","true","8","1.50","3","100","20","2","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and at least two adjacent dual-engine profiles must pass before opening 2021-2026. Engine-only controls are diagnostic and cannot be promoted."
"2","m15drp_center","1","independent_m15_dual_regime_portfolio","1","discovery_model1","m15drp_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_m15drp_center_discovery_2019_2020_m1.ini","m15drp_center_discovery_2019_2020_m1","profiles\m15drp_center.set","B035ABE5C90DB74487C0A88E109E121E5E49DAC420E7217583D95E8E7890363C","DEA3B16FB2D14E4A1253B422CCE80AEC4CB49DCF03067EDBCE96008F694FA5E1","15","true","true","1.30","8","true","8","1.50","3","100","20","2","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and at least two adjacent dual-engine profiles must pass before opening 2021-2026. Engine-only controls are diagnostic and cannot be promoted."
"3","m15drp_center","1","independent_m15_dual_regime_portfolio","1","discovery_model1","m15drp_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_m15drp_center_continuous_2015_2020_m1.ini","m15drp_center_continuous_2015_2020_m1","profiles\m15drp_center.set","B035ABE5C90DB74487C0A88E109E121E5E49DAC420E7217583D95E8E7890363C","DEA3B16FB2D14E4A1253B422CCE80AEC4CB49DCF03067EDBCE96008F694FA5E1","15","true","true","1.30","8","true","8","1.50","3","100","20","2","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and at least two adjacent dual-engine profiles must pass before opening 2021-2026. Engine-only controls are diagnostic and cannot be promoted."
"4","m15drp_sq_only","2","independent_m15_dual_regime_portfolio","1","discovery_model1","m15drp_sq_only.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_m15drp_sq_only_older_2015_2018_m1.ini","m15drp_sq_only_older_2015_2018_m1","profiles\m15drp_sq_only.set","E19FA1E519B507CDB90A03803CE82705704507D13EFD927E54892410E3DE3CD9","DEA3B16FB2D14E4A1253B422CCE80AEC4CB49DCF03067EDBCE96008F694FA5E1","15","false","true","1.30","8","true","8","1.50","3","100","20","2","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and at least two adjacent dual-engine profiles must pass before opening 2021-2026. Engine-only controls are diagnostic and cannot be promoted."
"5","m15drp_sq_only","2","independent_m15_dual_regime_portfolio","1","discovery_model1","m15drp_sq_only.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_m15drp_sq_only_discovery_2019_2020_m1.ini","m15drp_sq_only_discovery_2019_2020_m1","profiles\m15drp_sq_only.set","E19FA1E519B507CDB90A03803CE82705704507D13EFD927E54892410E3DE3CD9","DEA3B16FB2D14E4A1253B422CCE80AEC4CB49DCF03067EDBCE96008F694FA5E1","15","false","true","1.30","8","true","8","1.50","3","100","20","2","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and at least two adjacent dual-engine profiles must pass before opening 2021-2026. Engine-only controls are diagnostic and cannot be promoted."
"6","m15drp_sq_only","2","independent_m15_dual_regime_portfolio","1","discovery_model1","m15drp_sq_only.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_m15drp_sq_only_continuous_2015_2020_m1.ini","m15drp_sq_only_continuous_2015_2020_m1","profiles\m15drp_sq_only.set","E19FA1E519B507CDB90A03803CE82705704507D13EFD927E54892410E3DE3CD9","DEA3B16FB2D14E4A1253B422CCE80AEC4CB49DCF03067EDBCE96008F694FA5E1","15","false","true","1.30","8","true","8","1.50","3","100","20","2","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and at least two adjacent dual-engine profiles must pass before opening 2021-2026. Engine-only controls are diagnostic and cannot be promoted."
"7","m15drp_vcr_only","3","independent_m15_dual_regime_portfolio","1","discovery_model1","m15drp_vcr_only.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_m15drp_vcr_only_older_2015_2018_m1.ini","m15drp_vcr_only_older_2015_2018_m1","profiles\m15drp_vcr_only.set","BB07C2CA545BA76F730EF48367AD95C2EC646574B39628CE546DA51313B12E08","DEA3B16FB2D14E4A1253B422CCE80AEC4CB49DCF03067EDBCE96008F694FA5E1","15","true","false","1.30","8","true","8","1.50","3","100","20","2","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and at least two adjacent dual-engine profiles must pass before opening 2021-2026. Engine-only controls are diagnostic and cannot be promoted."
"8","m15drp_vcr_only","3","independent_m15_dual_regime_portfolio","1","discovery_model1","m15drp_vcr_only.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_m15drp_vcr_only_discovery_2019_2020_m1.ini","m15drp_vcr_only_discovery_2019_2020_m1","profiles\m15drp_vcr_only.set","BB07C2CA545BA76F730EF48367AD95C2EC646574B39628CE546DA51313B12E08","DEA3B16FB2D14E4A1253B422CCE80AEC4CB49DCF03067EDBCE96008F694FA5E1","15","true","false","1.30","8","true","8","1.50","3","100","20","2","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and at least two adjacent dual-engine profiles must pass before opening 2021-2026. Engine-only controls are diagnostic and cannot be promoted."
"9","m15drp_vcr_only","3","independent_m15_dual_regime_portfolio","1","discovery_model1","m15drp_vcr_only.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_m15drp_vcr_only_continuous_2015_2020_m1.ini","m15drp_vcr_only_continuous_2015_2020_m1","profiles\m15drp_vcr_only.set","BB07C2CA545BA76F730EF48367AD95C2EC646574B39628CE546DA51313B12E08","DEA3B16FB2D14E4A1253B422CCE80AEC4CB49DCF03067EDBCE96008F694FA5E1","15","true","false","1.30","8","true","8","1.50","3","100","20","2","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and at least two adjacent dual-engine profiles must pass before opening 2021-2026. Engine-only controls are diagnostic and cannot be promoted."
"10","m15drp_vcr140","4","independent_m15_dual_regime_portfolio","1","discovery_model1","m15drp_vcr140.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_m15drp_vcr140_older_2015_2018_m1.ini","m15drp_vcr140_older_2015_2018_m1","profiles\m15drp_vcr140.set","F895310B5EEDC2D7FC2B7618C52F1B0CF990A09DBCB05F9AE4441973279169AE","DEA3B16FB2D14E4A1253B422CCE80AEC4CB49DCF03067EDBCE96008F694FA5E1","15","true","true","1.40","8","true","8","1.50","3","100","20","2","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and at least two adjacent dual-engine profiles must pass before opening 2021-2026. Engine-only controls are diagnostic and cannot be promoted."
