"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","fbt_b14_struct_r075","liveness_model1","Independent M15 failed-breakout liveness Model1","older_2015_2018","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\001_fbt_b14_struct_r075_older_2015_2018_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\001_fbt_b14_struct_r075_older_2015_2018_m1.ini","fbt_b14_struct_r075_older_2015_2018_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b14_struct_r075_older_2015_2018_m1","C08CBE3AF03BC4EF077366E176BEB4BA31E73459BBA6966FFA9907AF4D944697","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
"2","fbt_b14_struct_r075","liveness_model1","Independent M15 failed-breakout liveness Model1","discovery_2019_2020","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\002_fbt_b14_struct_r075_discovery_2019_2020_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\002_fbt_b14_struct_r075_discovery_2019_2020_m1.ini","fbt_b14_struct_r075_discovery_2019_2020_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b14_struct_r075_discovery_2019_2020_m1","C08CBE3AF03BC4EF077366E176BEB4BA31E73459BBA6966FFA9907AF4D944697","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
"3","fbt_b14_struct_r075","liveness_model1","Independent M15 failed-breakout liveness Model1","continuous_2015_2020","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\003_fbt_b14_struct_r075_continuous_2015_2020_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\003_fbt_b14_struct_r075_continuous_2015_2020_m1.ini","fbt_b14_struct_r075_continuous_2015_2020_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b14_struct_r075_continuous_2015_2020_m1","C08CBE3AF03BC4EF077366E176BEB4BA31E73459BBA6966FFA9907AF4D944697","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
"4","fbt_b16_struct_r075","liveness_model1","Independent M15 failed-breakout liveness Model1","older_2015_2018","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\004_fbt_b16_struct_r075_older_2015_2018_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\004_fbt_b16_struct_r075_older_2015_2018_m1.ini","fbt_b16_struct_r075_older_2015_2018_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b16_struct_r075_older_2015_2018_m1","7BFC57A4B3F9D92144983BBB7EFDE429C7E90744EB6CDBA57F4F9EB2C71208EC","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
"5","fbt_b16_struct_r075","liveness_model1","Independent M15 failed-breakout liveness Model1","discovery_2019_2020","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\005_fbt_b16_struct_r075_discovery_2019_2020_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\005_fbt_b16_struct_r075_discovery_2019_2020_m1.ini","fbt_b16_struct_r075_discovery_2019_2020_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b16_struct_r075_discovery_2019_2020_m1","7BFC57A4B3F9D92144983BBB7EFDE429C7E90744EB6CDBA57F4F9EB2C71208EC","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
"6","fbt_b16_struct_r075","liveness_model1","Independent M15 failed-breakout liveness Model1","continuous_2015_2020","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\006_fbt_b16_struct_r075_continuous_2015_2020_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\006_fbt_b16_struct_r075_continuous_2015_2020_m1.ini","fbt_b16_struct_r075_continuous_2015_2020_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b16_struct_r075_continuous_2015_2020_m1","7BFC57A4B3F9D92144983BBB7EFDE429C7E90744EB6CDBA57F4F9EB2C71208EC","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
"7","fbt_b18_struct_r075","liveness_model1","Independent M15 failed-breakout liveness Model1","older_2015_2018","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\007_fbt_b18_struct_r075_older_2015_2018_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\007_fbt_b18_struct_r075_older_2015_2018_m1.ini","fbt_b18_struct_r075_older_2015_2018_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b18_struct_r075_older_2015_2018_m1","79B61B4A44BC492E154536FF2E942E294261F3F0018B8B7D963EEC45EE43A390","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
"8","fbt_b18_struct_r075","liveness_model1","Independent M15 failed-breakout liveness Model1","discovery_2019_2020","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\008_fbt_b18_struct_r075_discovery_2019_2020_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\008_fbt_b18_struct_r075_discovery_2019_2020_m1.ini","fbt_b18_struct_r075_discovery_2019_2020_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b18_struct_r075_discovery_2019_2020_m1","79B61B4A44BC492E154536FF2E942E294261F3F0018B8B7D963EEC45EE43A390","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
"9","fbt_b18_struct_r075","liveness_model1","Independent M15 failed-breakout liveness Model1","continuous_2015_2020","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\009_fbt_b18_struct_r075_continuous_2015_2020_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\009_fbt_b18_struct_r075_continuous_2015_2020_m1.ini","fbt_b18_struct_r075_continuous_2015_2020_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b18_struct_r075_continuous_2015_2020_m1","79B61B4A44BC492E154536FF2E942E294261F3F0018B8B7D963EEC45EE43A390","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
"10","fbt_b14_fixed_r125","liveness_model1","Independent M15 failed-breakout liveness Model1","older_2015_2018","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\010_fbt_b14_fixed_r125_older_2015_2018_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\010_fbt_b14_fixed_r125_older_2015_2018_m1.ini","fbt_b14_fixed_r125_older_2015_2018_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b14_fixed_r125_older_2015_2018_m1","146F64119A7188CD6A474AF5BB6CAA4A269AB2D3724EA4C8F99B3EBC84043FF3","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
"11","fbt_b14_fixed_r125","liveness_model1","Independent M15 failed-breakout liveness Model1","discovery_2019_2020","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\011_fbt_b14_fixed_r125_discovery_2019_2020_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\011_fbt_b14_fixed_r125_discovery_2019_2020_m1.ini","fbt_b14_fixed_r125_discovery_2019_2020_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b14_fixed_r125_discovery_2019_2020_m1","146F64119A7188CD6A474AF5BB6CAA4A269AB2D3724EA4C8F99B3EBC84043FF3","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
"12","fbt_b14_fixed_r125","liveness_model1","Independent M15 failed-breakout liveness Model1","continuous_2015_2020","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\012_fbt_b14_fixed_r125_continuous_2015_2020_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\012_fbt_b14_fixed_r125_continuous_2015_2020_m1.ini","fbt_b14_fixed_r125_continuous_2015_2020_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b14_fixed_r125_continuous_2015_2020_m1","146F64119A7188CD6A474AF5BB6CAA4A269AB2D3724EA4C8F99B3EBC84043FF3","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
"13","fbt_b14_fixed_r150","liveness_model1","Independent M15 failed-breakout liveness Model1","older_2015_2018","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\013_fbt_b14_fixed_r150_older_2015_2018_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\013_fbt_b14_fixed_r150_older_2015_2018_m1.ini","fbt_b14_fixed_r150_older_2015_2018_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b14_fixed_r150_older_2015_2018_m1","718C02B8F6DC035F2AE212B3999267689E39102031B89A961919CE4376342738","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
"14","fbt_b14_fixed_r150","liveness_model1","Independent M15 failed-breakout liveness Model1","discovery_2019_2020","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\014_fbt_b14_fixed_r150_discovery_2019_2020_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\014_fbt_b14_fixed_r150_discovery_2019_2020_m1.ini","fbt_b14_fixed_r150_discovery_2019_2020_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b14_fixed_r150_discovery_2019_2020_m1","718C02B8F6DC035F2AE212B3999267689E39102031B89A961919CE4376342738","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
"15","fbt_b14_fixed_r150","liveness_model1","Independent M15 failed-breakout liveness Model1","continuous_2015_2020","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\015_fbt_b14_fixed_r150_continuous_2015_2020_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\015_fbt_b14_fixed_r150_continuous_2015_2020_m1.ini","fbt_b14_fixed_r150_continuous_2015_2020_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b14_fixed_r150_continuous_2015_2020_m1","718C02B8F6DC035F2AE212B3999267689E39102031B89A961919CE4376342738","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
"16","fbt_b14_fixed_r200","liveness_model1","Independent M15 failed-breakout liveness Model1","older_2015_2018","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\016_fbt_b14_fixed_r200_older_2015_2018_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\016_fbt_b14_fixed_r200_older_2015_2018_m1.ini","fbt_b14_fixed_r200_older_2015_2018_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b14_fixed_r200_older_2015_2018_m1","08D31A0E3B55B35E80BA88FCD56DD1A7F686E5B31CAD9253840B2C66007439AA","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
"17","fbt_b14_fixed_r200","liveness_model1","Independent M15 failed-breakout liveness Model1","discovery_2019_2020","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\017_fbt_b14_fixed_r200_discovery_2019_2020_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\017_fbt_b14_fixed_r200_discovery_2019_2020_m1.ini","fbt_b14_fixed_r200_discovery_2019_2020_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b14_fixed_r200_discovery_2019_2020_m1","08D31A0E3B55B35E80BA88FCD56DD1A7F686E5B31CAD9253840B2C66007439AA","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
"18","fbt_b14_fixed_r200","liveness_model1","Independent M15 failed-breakout liveness Model1","continuous_2015_2020","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\018_fbt_b14_fixed_r200_continuous_2015_2020_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\018_fbt_b14_fixed_r200_continuous_2015_2020_m1.ini","fbt_b14_fixed_r200_continuous_2015_2020_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b14_fixed_r200_continuous_2015_2020_m1","08D31A0E3B55B35E80BA88FCD56DD1A7F686E5B31CAD9253840B2C66007439AA","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
"19","fbt_b16_fixed_r125","liveness_model1","Independent M15 failed-breakout liveness Model1","older_2015_2018","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\019_fbt_b16_fixed_r125_older_2015_2018_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\019_fbt_b16_fixed_r125_older_2015_2018_m1.ini","fbt_b16_fixed_r125_older_2015_2018_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b16_fixed_r125_older_2015_2018_m1","D32EE772A0639D3C18EA5447BEB3E5C484E9BF5FFDDB5D77C7E4CC2674AB838B","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
"20","fbt_b16_fixed_r125","liveness_model1","Independent M15 failed-breakout liveness Model1","discovery_2019_2020","1","10000","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\020_fbt_b16_fixed_r125_discovery_2019_2020_m1.ini","outputs\independent_m15_failed_breakout_liveness_model1_package\configs\020_fbt_b16_fixed_r125_discovery_2019_2020_m1.ini","fbt_b16_fixed_r125_discovery_2019_2020_m1","outputs\independent_m15_failed_breakout_liveness_model1_package\reports_here\fbt_b16_fixed_r125_discovery_2019_2020_m1","D32EE772A0639D3C18EA5447BEB3E5C484E9BF5FFDDB5D77C7E4CC2674AB838B","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026."
