"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","fbt_b14_struct_r075","1","independent_m15_failed_breakout_trap","1","liveness_model1","fbt_b14_struct_r075.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\001_fbt_b14_struct_r075_older_2015_2018_m1.ini","fbt_b14_struct_r075_older_2015_2018_m1","profiles\fbt_b14_struct_r075.set","C08CBE3AF03BC4EF077366E176BEB4BA31E73459BBA6966FFA9907AF4D944697","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_b14_struct_r075_older_2015_2018_m1.htm","10000","1460","3.9973","51.88","10051.88","0.52","0.13","0.13","1.43","1.73","12.88","56.67","30","3","37.84","0.38","30.3","37.84","1.37","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"2","fbt_b14_struct_r075","1","independent_m15_failed_breakout_trap","1","liveness_model1","fbt_b14_struct_r075.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\002_fbt_b14_struct_r075_discovery_2019_2020_m1.ini","fbt_b14_struct_r075_discovery_2019_2020_m1","profiles\fbt_b14_struct_r075.set","C08CBE3AF03BC4EF077366E176BEB4BA31E73459BBA6966FFA9907AF4D944697","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_b14_struct_r075_discovery_2019_2020_m1.htm","10000","730","1.9986","-19.91","9980.09","-0.2","-0.1","-0.1","0.79","-0.95","-5","42.86","21","4","61.04","0.61","51.76","61.04","-0.33","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"3","fbt_b14_struct_r075","1","independent_m15_failed_breakout_trap","1","liveness_model1","fbt_b14_struct_r075.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\003_fbt_b14_struct_r075_continuous_2015_2020_m1.ini","fbt_b14_struct_r075_continuous_2015_2020_m1","profiles\fbt_b14_struct_r075.set","C08CBE3AF03BC4EF077366E176BEB4BA31E73459BBA6966FFA9907AF4D944697","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_b14_struct_r075_continuous_2015_2020_m1.htm","10000","2191","5.9986","31.97","10031.97","0.32","0.05","0.05","1.15","0.63","4.82","50.98","51","4","61.04","0.6","51.76","61.04","0.52","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"4","fbt_b16_struct_r075","2","independent_m15_failed_breakout_trap","1","liveness_model1","fbt_b16_struct_r075.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\004_fbt_b16_struct_r075_older_2015_2018_m1.ini","fbt_b16_struct_r075_older_2015_2018_m1","profiles\fbt_b16_struct_r075.set","7BFC57A4B3F9D92144983BBB7EFDE429C7E90744EB6CDBA57F4F9EB2C71208EC","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_b16_struct_r075_older_2015_2018_m1.htm","10000","1460","3.9973","18.59","10018.59","0.19","0.05","0.05","1.22","0.98","5.3","52.63","19","3","38.9","0.39","34.84","38.9","0.48","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"5","fbt_b16_struct_r075","2","independent_m15_failed_breakout_trap","1","liveness_model1","fbt_b16_struct_r075.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\005_fbt_b16_struct_r075_discovery_2019_2020_m1.ini","fbt_b16_struct_r075_discovery_2019_2020_m1","profiles\fbt_b16_struct_r075.set","7BFC57A4B3F9D92144983BBB7EFDE429C7E90744EB6CDBA57F4F9EB2C71208EC","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_b16_struct_r075_discovery_2019_2020_m1.htm","10000","730","1.9986","17.14","10017.14","0.17","0.09","0.09","1.74","1.9","1.48","55.56","9","2","23.01","0.23","8.64","23.01","0.74","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"6","fbt_b16_struct_r075","2","independent_m15_failed_breakout_trap","1","liveness_model1","fbt_b16_struct_r075.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\006_fbt_b16_struct_r075_continuous_2015_2020_m1.ini","fbt_b16_struct_r075_continuous_2015_2020_m1","profiles\fbt_b16_struct_r075.set","7BFC57A4B3F9D92144983BBB7EFDE429C7E90744EB6CDBA57F4F9EB2C71208EC","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_b16_struct_r075_continuous_2015_2020_m1.htm","10000","2191","5.9986","35.73","10035.73","0.36","0.06","0.06","1.33","1.28","8.22","53.57","28","3","38.9","0.39","34.84","38.9","0.92","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"7","fbt_b18_struct_r075","3","independent_m15_failed_breakout_trap","1","liveness_model1","fbt_b18_struct_r075.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\007_fbt_b18_struct_r075_older_2015_2018_m1.ini","fbt_b18_struct_r075_older_2015_2018_m1","profiles\fbt_b18_struct_r075.set","79B61B4A44BC492E154536FF2E942E294261F3F0018B8B7D963EEC45EE43A390","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_b18_struct_r075_older_2015_2018_m1.htm","10000","1460","3.9973","32.45","10032.45","0.32","0.08","0.08","2.72","4.64","3.32","71.43","7","2","22.66","0.23","18.88","22.66","1.43","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"8","fbt_b18_struct_r075","3","independent_m15_failed_breakout_trap","1","liveness_model1","fbt_b18_struct_r075.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\008_fbt_b18_struct_r075_discovery_2019_2020_m1.ini","fbt_b18_struct_r075_discovery_2019_2020_m1","profiles\fbt_b18_struct_r075.set","79B61B4A44BC492E154536FF2E942E294261F3F0018B8B7D963EEC45EE43A390","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_b18_struct_r075_discovery_2019_2020_m1.htm","10000","730","1.9986","-7.43","9992.57","-0.07","-0.04","-0.04","0.52","-1.86","-0.63","50","4","1","17.78","0.18","8.64","17.78","-0.42","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"9","fbt_b18_struct_r075","3","independent_m15_failed_breakout_trap","1","liveness_model1","fbt_b18_struct_r075.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\009_fbt_b18_struct_r075_continuous_2015_2020_m1.ini","fbt_b18_struct_r075_continuous_2015_2020_m1","profiles\fbt_b18_struct_r075.set","79B61B4A44BC492E154536FF2E942E294261F3F0018B8B7D963EEC45EE43A390","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_b18_struct_r075_continuous_2015_2020_m1.htm","10000","2191","5.9986","25.02","10025.02","0.25","0.04","0.04","1.73","2.27","4.17","63.64","11","2","22.66","0.23","18.88","22.66","1.1","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"10","fbt_b14_fixed_r125","4","independent_m15_failed_breakout_trap","1","liveness_model1","fbt_b14_fixed_r125.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\010_fbt_b14_fixed_r125_older_2015_2018_m1.ini","fbt_b14_fixed_r125_older_2015_2018_m1","profiles\fbt_b14_fixed_r125.set","146F64119A7188CD6A474AF5BB6CAA4A269AB2D3724EA4C8F99B3EBC84043FF3","Liveness follow-up only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and neighboring 14/16/18-box plus exit shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_b14_fixed_r125_older_2015_2018_m1.htm","10000","1460","3.9973","55.62","10055.62","0.56","0.14","0.14","1.22","0.99","6.46","50","56","3","45.75","0.45","41.5","45.75","1.22","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
