"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","fbt_base","1","independent_m15_failed_breakout_trap","1","discovery_model1","fbt_base.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\001_fbt_base_older_2015_2018_m1.ini","fbt_base_older_2015_2018_m1","profiles\fbt_base.set","8A1C9412A254A9500F9022BA48C2FE439E8A6483594D125F2DAFA0BAFFE60822","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_base_older_2015_2018_m1.htm","10000","1460","3.9973","-46.25","9953.75","-0.46","-0.12","-0.12","0.71","-1.71","-5","37.04","27","8","84.55","0.85","77.89","84.55","-0.55","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"2","fbt_base","1","independent_m15_failed_breakout_trap","1","discovery_model1","fbt_base.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\002_fbt_base_discovery_2019_2020_m1.ini","fbt_base_discovery_2019_2020_m1","profiles\fbt_base.set","8A1C9412A254A9500F9022BA48C2FE439E8A6483594D125F2DAFA0BAFFE60822","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_base_discovery_2019_2020_m1.htm","10000","730","1.9986","-40.12","9959.88","-0.4","-0.2","-0.2","0.69","-1.74","-5","34.78","23","6","67.53","0.67","67.28","67.53","-0.59","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"3","fbt_base","1","independent_m15_failed_breakout_trap","1","discovery_model1","fbt_base.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\003_fbt_base_continuous_2015_2020_m1.ini","fbt_base_continuous_2015_2020_m1","profiles\fbt_base.set","8A1C9412A254A9500F9022BA48C2FE439E8A6483594D125F2DAFA0BAFFE60822","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_base_continuous_2015_2020_m1.htm","10000","2191","5.9986","-87.21","9912.79","-0.87","-0.15","-0.15","0.7","-1.78","-5","34.69","49","8","89.81","0.9","87.21","89.81","-0.97","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"4","fbt_box8","2","independent_m15_failed_breakout_trap","1","discovery_model1","fbt_box8.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\004_fbt_box8_older_2015_2018_m1.ini","fbt_box8_older_2015_2018_m1","profiles\fbt_box8.set","536DA8C8B3DF6A68FD30A71F63827C6E3D53F3FF13C0A5406B5E3A84466FD2DC","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_box8_older_2015_2018_m1.htm","10000","1460","3.9973","-152.7","9847.3","-1.53","-0.38","-0.38","0.65","-2.01","-5","38.16","76","12","183.72","1.83","175","183.72","-0.83","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"5","fbt_box8","2","independent_m15_failed_breakout_trap","1","discovery_model1","fbt_box8.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\005_fbt_box8_discovery_2019_2020_m1.ini","fbt_box8_discovery_2019_2020_m1","profiles\fbt_box8.set","536DA8C8B3DF6A68FD30A71F63827C6E3D53F3FF13C0A5406B5E3A84466FD2DC","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_box8_discovery_2019_2020_m1.htm","10000","730","1.9986","-73.6","9926.4","-0.74","-0.37","-0.37","0.7","-1.67","-5","36.36","44","7","118.08","1.18","107.72","118.08","-0.62","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"6","fbt_box8","2","independent_m15_failed_breakout_trap","1","discovery_model1","fbt_box8.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\006_fbt_box8_continuous_2015_2020_m1.ini","fbt_box8_continuous_2015_2020_m1","profiles\fbt_box8.set","536DA8C8B3DF6A68FD30A71F63827C6E3D53F3FF13C0A5406B5E3A84466FD2DC","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_box8_continuous_2015_2020_m1.htm","10000","2191","5.9986","-219.09","9780.91","-2.19","-0.37","-0.37","0.67","-1.83","-5","37.5","120","12","241.15","2.41","240.07","241.15","-0.91","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"7","fbt_box16","3","independent_m15_failed_breakout_trap","1","discovery_model1","fbt_box16.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\007_fbt_box16_older_2015_2018_m1.ini","fbt_box16_older_2015_2018_m1","profiles\fbt_box16.set","8A2947B53B549B07C94B44896A0DBC40FEFFF43F89F431CD790620AF48908B53","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_box16_older_2015_2018_m1.htm","10000","1460","3.9973","16.25","10016.25","0.16","0.04","0.04","1.28","1.35","3.42","50","12","2","27.5","0.27","19.15","27.5","0.59","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"8","fbt_box16","3","independent_m15_failed_breakout_trap","1","discovery_model1","fbt_box16.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\008_fbt_box16_discovery_2019_2020_m1.ini","fbt_box16_discovery_2019_2020_m1","profiles\fbt_box16.set","8A2947B53B549B07C94B44896A0DBC40FEFFF43F89F431CD790620AF48908B53","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_box16_discovery_2019_2020_m1.htm","10000","730","1.9986","16.41","10016.41","0.16","0.08","0.08","2.9","4.1","0.73","75","4","1","15.33","0.15","8.64","15.33","1.07","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"9","fbt_box16","3","independent_m15_failed_breakout_trap","1","discovery_model1","fbt_box16.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\009_fbt_box16_continuous_2015_2020_m1.ini","fbt_box16_continuous_2015_2020_m1","profiles\fbt_box16.set","8A2947B53B549B07C94B44896A0DBC40FEFFF43F89F431CD790620AF48908B53","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_box16_continuous_2015_2020_m1.htm","10000","2191","5.9986","32.66","10032.66","0.33","0.05","0.05","1.49","2.04","8.33","56.25","16","2","27.5","0.27","19.15","27.5","1.19","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"10","fbt_box_tight","4","independent_m15_failed_breakout_trap","1","discovery_model1","fbt_box_tight.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\010_fbt_box_tight_older_2015_2018_m1.ini","fbt_box_tight_older_2015_2018_m1","profiles\fbt_box_tight.set","93FD56C0810CAF6D8F78AF66BE0BADE870E3FD753A90F85097B20DBFB888A38D","Discovery only through 2020: both disjoint eras must be profitable; continuous PF at least 1.20; at least 60 continuous trades; DD at or below 5%; and nearby box, timing, reclaim, regime, and payoff shapes must support the result before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\fbt_box_tight_older_2015_2018_m1.htm","10000","1460","3.9973","-45.24","9954.76","-0.45","-0.11","-0.11","0.02","-7.54","-4.57","16.67","6","5","53.85","0.54","46.15","53.85","-0.84","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
