Candidate,OlderDiscoveryFrom,OlderDiscoveryTo,OlderDiscoveryNet,OlderDiscoveryProfitFactor,OlderDiscoveryTrades,NewerDiscoveryFrom,NewerDiscoveryTo,NewerDiscoveryNet,NewerDiscoveryProfitFactor,NewerDiscoveryTrades,ContinuousDiscoveryFrom,ContinuousDiscoveryTo,ContinuousDiscoveryNet,ContinuousDiscoveryProfitFactor,ContinuousDiscoveryTrades,ContinuousDiscoveryMaxDrawdownPercent,GateResult,Decision
m15fvg_b20_tp15,2015-01-01,2018-12-31,-477.65,0.35,111,2019-01-01,2020-12-31,-251.81,0.78,225,2015-01-01,2020-12-31,-477.65,0.35,111,5.03,FAIL_BOTH_DISCOVERY_ERAS_AND_CONTINUOUS,REJECTED_NO_HOLDOUT_NO_MODEL4
m15fvg_b20_a4_tp20,2015-01-01,2018-12-31,-482.21,0.45,142,2019-01-01,2020-12-31,-158.92,0.83,180,2015-01-01,2020-12-31,-482.21,0.45,142,5.00,FAIL_BOTH_DISCOVERY_ERAS_AND_CONTINUOUS,REJECTED_NO_HOLDOUT_NO_MODEL4
m15fvg_b20_hold75,2015-01-01,2018-12-31,-482.98,0.30,102,2019-01-01,2020-12-31,-209.83,0.81,210,2015-01-01,2020-12-31,-482.98,0.30,102,5.02,FAIL_BOTH_DISCOVERY_ERAS_AND_CONTINUOUS,REJECTED_NO_HOLDOUT_NO_MODEL4
m15fvg_b20_gap10,2015-01-01,2018-12-31,-483.65,0.28,103,2019-01-01,2020-12-31,-205.73,0.81,211,2015-01-01,2020-12-31,-483.65,0.28,103,5.02,FAIL_BOTH_DISCOVERY_ERAS_AND_CONTINUOUS,REJECTED_NO_HOLDOUT_NO_MODEL4
m15fvg_b32_a8_tp20,2015-01-01,2018-12-31,-486.94,0.59,196,2019-01-01,2020-12-31,-176.30,0.81,178,2015-01-01,2020-12-31,-486.94,0.59,196,5.06,FAIL_BOTH_DISCOVERY_ERAS_AND_CONTINUOUS,REJECTED_NO_HOLDOUT_NO_MODEL4
m15fvg_b12_a8_tp20,2015-01-01,2018-12-31,-487.74,0.38,122,2019-01-01,2020-12-31,-28.72,0.98,248,2015-01-01,2020-12-31,-487.74,0.38,122,5.06,FAIL_BOTH_DISCOVERY_ERAS_AND_CONTINUOUS,REJECTED_NO_HOLDOUT_NO_MODEL4
m15fvg_b20_a8_tp20,2015-01-01,2018-12-31,-488.39,0.30,107,2019-01-01,2020-12-31,-265.95,0.76,216,2015-01-01,2020-12-31,-488.39,0.30,107,5.07,FAIL_BOTH_DISCOVERY_ERAS_AND_CONTINUOUS,REJECTED_NO_HOLDOUT_NO_MODEL4
m15fvg_b20_a12_tp20,2015-01-01,2018-12-31,-489.19,0.32,112,2019-01-01,2020-12-31,-208.85,0.82,228,2015-01-01,2020-12-31,-489.19,0.32,112,5.08,FAIL_BOTH_DISCOVERY_ERAS_AND_CONTINUOUS,REJECTED_NO_HOLDOUT_NO_MODEL4
m15fvg_b20_imp15,2015-01-01,2018-12-31,-490.16,0.56,187,2019-01-01,2020-12-31,-426.90,0.57,186,2015-01-01,2020-12-31,-490.16,0.56,187,5.09,FAIL_BOTH_DISCOVERY_ERAS_AND_CONTINUOUS,REJECTED_NO_HOLDOUT_NO_MODEL4
m15fvg_b20_tp25,2015-01-01,2018-12-31,-507.19,0.24,102,2019-01-01,2020-12-31,-278.76,0.75,218,2015-01-01,2020-12-31,-507.19,0.24,102,5.30,FAIL_BOTH_DISCOVERY_ERAS_AND_CONTINUOUS,REJECTED_NO_HOLDOUT_NO_MODEL4
