"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","BreakLookback","SetupAge","MinimumGapATR","MinimumImpulseRangeATR","RetestHoldFraction","TakeProfitR","StopRule"
"1","m15fvg_b12_a8_tp20","1","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b12_a8_tp20.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_m15fvg_b12_a8_tp20_older_2015_2018_m1.ini","m15fvg_b12_a8_tp20_older_2015_2018_m1","profiles\m15fvg_b12_a8_tp20.set","C4302DDEB1862B0BED7246A3E94FA1F489A805676EF2FC1CBEF8FE8640A7C7C8","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","12","8","0.05","1.20","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"2","m15fvg_b12_a8_tp20","1","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b12_a8_tp20.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_m15fvg_b12_a8_tp20_discovery_2019_2020_m1.ini","m15fvg_b12_a8_tp20_discovery_2019_2020_m1","profiles\m15fvg_b12_a8_tp20.set","C4302DDEB1862B0BED7246A3E94FA1F489A805676EF2FC1CBEF8FE8640A7C7C8","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","12","8","0.05","1.20","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"3","m15fvg_b12_a8_tp20","1","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b12_a8_tp20.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_m15fvg_b12_a8_tp20_continuous_2015_2020_m1.ini","m15fvg_b12_a8_tp20_continuous_2015_2020_m1","profiles\m15fvg_b12_a8_tp20.set","C4302DDEB1862B0BED7246A3E94FA1F489A805676EF2FC1CBEF8FE8640A7C7C8","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","12","8","0.05","1.20","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"4","m15fvg_b20_a8_tp20","2","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_a8_tp20.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_m15fvg_b20_a8_tp20_older_2015_2018_m1.ini","m15fvg_b20_a8_tp20_older_2015_2018_m1","profiles\m15fvg_b20_a8_tp20.set","AC870CC80A686F0F112148F28A33D9734172FE12F5727EAF550F99848A78F7B7","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","8","0.05","1.20","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"5","m15fvg_b20_a8_tp20","2","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_a8_tp20.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_m15fvg_b20_a8_tp20_discovery_2019_2020_m1.ini","m15fvg_b20_a8_tp20_discovery_2019_2020_m1","profiles\m15fvg_b20_a8_tp20.set","AC870CC80A686F0F112148F28A33D9734172FE12F5727EAF550F99848A78F7B7","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","8","0.05","1.20","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"6","m15fvg_b20_a8_tp20","2","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_a8_tp20.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_m15fvg_b20_a8_tp20_continuous_2015_2020_m1.ini","m15fvg_b20_a8_tp20_continuous_2015_2020_m1","profiles\m15fvg_b20_a8_tp20.set","AC870CC80A686F0F112148F28A33D9734172FE12F5727EAF550F99848A78F7B7","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","8","0.05","1.20","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"7","m15fvg_b32_a8_tp20","3","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b32_a8_tp20.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_m15fvg_b32_a8_tp20_older_2015_2018_m1.ini","m15fvg_b32_a8_tp20_older_2015_2018_m1","profiles\m15fvg_b32_a8_tp20.set","A388A6AB2855AC27DFBABD330194A0D5224B4F6763C7A4E184877EA5F52F402E","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","32","8","0.05","1.20","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"8","m15fvg_b32_a8_tp20","3","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b32_a8_tp20.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_m15fvg_b32_a8_tp20_discovery_2019_2020_m1.ini","m15fvg_b32_a8_tp20_discovery_2019_2020_m1","profiles\m15fvg_b32_a8_tp20.set","A388A6AB2855AC27DFBABD330194A0D5224B4F6763C7A4E184877EA5F52F402E","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","32","8","0.05","1.20","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"9","m15fvg_b32_a8_tp20","3","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b32_a8_tp20.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_m15fvg_b32_a8_tp20_continuous_2015_2020_m1.ini","m15fvg_b32_a8_tp20_continuous_2015_2020_m1","profiles\m15fvg_b32_a8_tp20.set","A388A6AB2855AC27DFBABD330194A0D5224B4F6763C7A4E184877EA5F52F402E","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","32","8","0.05","1.20","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
"10","m15fvg_b20_a4_tp20","4","independent_m15_fvg_retest","1","discovery_model1","m15fvg_b20_a4_tp20.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_m15fvg_b20_a4_tp20_older_2015_2018_m1.ini","m15fvg_b20_a4_tp20_older_2015_2018_m1","profiles\m15fvg_b20_a4_tp20.set","F9E62483E4240CF98CBFC0ECB5F1B2700D1DFBE9AB58BB66CA93AF8F447A792C","E46DB3A2E01435B83D68349BB1F40CA279723813FD34DBBD81D7A9CAFFE6751C","15","20","4","0.05","1.20","0.50","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring break/age/payoff shapes before opening 2021-2026."
