"QueueRank","Candidate","Window","Model","Status","Action","Config","ConfigExists","ExpectedReportName","FirstPassInbox","MaxCpuPercent","Reports","Evidence","Started","Finished"
"1","m15fvg_b12_a8_tp20","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\001_m15fvg_b12_a8_tp20_older_2015_2018_m1.ini","True","m15fvg_b12_a8_tp20_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\m15fvg_b12_a8_tp20_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T19:38:34","2026-07-16T19:38:45"
"2","m15fvg_b12_a8_tp20","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\002_m15fvg_b12_a8_tp20_discovery_2019_2020_m1.ini","True","m15fvg_b12_a8_tp20_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\m15fvg_b12_a8_tp20_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T19:38:46","2026-07-16T19:38:57"
"3","m15fvg_b12_a8_tp20","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\003_m15fvg_b12_a8_tp20_continuous_2015_2020_m1.ini","True","m15fvg_b12_a8_tp20_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\m15fvg_b12_a8_tp20_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T19:38:57","2026-07-16T19:39:08"
"4","m15fvg_b20_a8_tp20","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\004_m15fvg_b20_a8_tp20_older_2015_2018_m1.ini","True","m15fvg_b20_a8_tp20_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\m15fvg_b20_a8_tp20_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T19:39:08","2026-07-16T19:39:20"
"5","m15fvg_b20_a8_tp20","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\005_m15fvg_b20_a8_tp20_discovery_2019_2020_m1.ini","True","m15fvg_b20_a8_tp20_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\m15fvg_b20_a8_tp20_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T19:39:20","2026-07-16T19:39:31"
"6","m15fvg_b20_a8_tp20","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\006_m15fvg_b20_a8_tp20_continuous_2015_2020_m1.ini","True","m15fvg_b20_a8_tp20_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\m15fvg_b20_a8_tp20_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T19:39:31","2026-07-16T19:39:42"
"7","m15fvg_b32_a8_tp20","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\007_m15fvg_b32_a8_tp20_older_2015_2018_m1.ini","True","m15fvg_b32_a8_tp20_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\m15fvg_b32_a8_tp20_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T19:39:42","2026-07-16T19:39:54"
"8","m15fvg_b32_a8_tp20","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\008_m15fvg_b32_a8_tp20_discovery_2019_2020_m1.ini","True","m15fvg_b32_a8_tp20_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\m15fvg_b32_a8_tp20_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T19:39:54","2026-07-16T19:40:06"
"9","m15fvg_b32_a8_tp20","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\009_m15fvg_b32_a8_tp20_continuous_2015_2020_m1.ini","True","m15fvg_b32_a8_tp20_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\m15fvg_b32_a8_tp20_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T19:40:06","2026-07-16T19:40:17"
"10","m15fvg_b20_a4_tp20","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_fvg_retest_discovery_model1_package\configs\010_m15fvg_b20_a4_tp20_older_2015_2018_m1.ini","True","m15fvg_b20_a4_tp20_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\m15fvg_b20_a4_tp20_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T19:40:17","2026-07-16T19:40:29"
