"Candidate","SourceType","Phase","Expected","ParsedReports","ParsedLogs","ParsedTotal","Missing","Unparsed","TotalNetProfit","WorstNetProfit","AverageAnnualizedReturnPercent","WorstAnnualizedReturnPercent","AverageCagrPercent","WorstCagrPercent","WorstDrawdownPercent","MinProfitFactor","TotalTrades"
"m15fvg_b12_a8_tp20","independent_m15_fvg_retest","discovery_model1","3","3","0","3","0","0","-1004.2","-487.74","-0.72","-1.22","-0.74","-1.24","5.06","0.38","492"
"m15fvg_b20_a8_tp20","independent_m15_fvg_retest","discovery_model1","3","3","0","3","0","0","-1242.73","-488.39","-1.12","-1.33","-1.14","-1.34","5.07","0.3","430"
"m15fvg_b32_a8_tp20","independent_m15_fvg_retest","discovery_model1","3","3","0","3","0","0","-1150.18","-486.94","-0.97","-1.22","-0.99","-1.24","5.06","0.59","570"
"m15fvg_b20_a4_tp20","independent_m15_fvg_retest","discovery_model1","3","3","0","3","0","0","-1123.34","-482.21","-0.94","-1.21","-0.95","-1.23","5","0.45","464"
"m15fvg_b20_a12_tp20","independent_m15_fvg_retest","discovery_model1","3","3","0","3","0","0","-1187.23","-489.19","-1.03","-1.22","-1.04","-1.25","5.08","0.32","452"
"m15fvg_b20_gap10","independent_m15_fvg_retest","discovery_model1","3","3","0","3","0","0","-1173.03","-483.65","-1.02","-1.21","-1.03","-1.23","5.02","0.28","417"
"m15fvg_b20_imp15","independent_m15_fvg_retest","discovery_model1","3","3","0","3","0","0","-1407.22","-490.16","-1.4","-2.14","-1.41","-2.16","5.09","0.56","560"
"m15fvg_b20_hold75","independent_m15_fvg_retest","discovery_model1","3","3","0","3","0","0","-1175.79","-482.98","-1.02","-1.21","-1.04","-1.23","5.02","0.3","414"
"m15fvg_b20_tp15","independent_m15_fvg_retest","discovery_model1","3","3","0","3","0","0","-1207.11","-477.65","-1.08","-1.26","-1.1","-1.27","5.03","0.35","447"
"m15fvg_b20_tp25","independent_m15_fvg_retest","discovery_model1","3","3","0","3","0","0","-1293.14","-507.19","-1.17","-1.39","-1.18","-1.4","5.3","0.24","422"
