"Worker","QueueRank","Candidate","Window","Status","ReportPath","Evidence","PackageConfigSha256","PackageSourceSha256","PortableBinarySha256","PortableExpertRecompiled","ReportSha256","ReportIdentityPath","ReportIdentityReused","Started","Finished"
"1","1","idb_center","older_2015_2018","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_center_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","CE818F30B02A1CAFBAF41A6E71B8667B883A4769266F75F1E1DCE1B3B62ACEF1","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","017838F00861745D702A7A467EB1DE59947ED225E9405081B40E2118C89D2D87","True","C319FFD6863F6CB3653F60AF3DBEB095478BE954680FEA6730EE1068535F012F","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_center_older_2015_2018_m1.identity.json","False","2026-07-19T02:57:51","2026-07-19T02:58:11"
"3","3","idb_center","discovery_2019_2020","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_center_discovery_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","DAD96795481770E6627AF7DFE97089B15725405466E4601918D20D49A6A6113B","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","69D29505B9C92AAFA5003DE7B1A1277B1086DB660517B7646FD483F8D19E5BDE","True","A94A281BCDEDB670009049BA9071BC4C2B69A25CD79D72495124BC73955A0C20","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_center_discovery_2019_2020_m1.identity.json","False","2026-07-19T02:57:52","2026-07-19T02:58:14"
"1","4","idb_center","continuous_2015_2020","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_center_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","741F50B0ED12BCCA9BB6202ACD2783A227A6DF576B1C8C092D51997EC0187E94","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","017838F00861745D702A7A467EB1DE59947ED225E9405081B40E2118C89D2D87","False","C85EA2CF52E19D88C68134D29F31C4847E598BE0C7059B98CFFBD076243911CD","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_center_continuous_2015_2020_m1.identity.json","False","2026-07-19T02:58:11","2026-07-19T02:58:29"
"3","6","idb_ratio065","older_2015_2018","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_ratio065_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","D4B855426C352A9CDDD0C6567E43941DB3A3351FE4BC8F7E5360A360DAC23397","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","69D29505B9C92AAFA5003DE7B1A1277B1086DB660517B7646FD483F8D19E5BDE","False","380F1B12EA5146D5D3232208E4BAC0465637ECCF40839DCF873565933425D229","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_ratio065_older_2015_2018_m1.identity.json","False","2026-07-19T02:58:14","2026-07-19T02:58:31"
"1","7","idb_ratio065","discovery_2019_2020","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_ratio065_discovery_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","209EF1F94357AA96D52C9832AD2152026073987945283627E01710D4AB7FDBC1","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","017838F00861745D702A7A467EB1DE59947ED225E9405081B40E2118C89D2D87","False","D798041ADCA2E139BF6A5E2990BD28541BA4F8358C19F9177A8659917A5C86F5","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_ratio065_discovery_2019_2020_m1.identity.json","False","2026-07-19T02:58:29","2026-07-19T02:58:44"
"3","9","idb_ratio065","continuous_2015_2020","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_ratio065_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","AD0297DEFC44F682821FC7F5D1C1D9E82D751FBA6966FF0741044558CBCB0AD0","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","69D29505B9C92AAFA5003DE7B1A1277B1086DB660517B7646FD483F8D19E5BDE","False","24F3126DBFE59A3D8155D6BC0FD9F19089F49752F14B7BF814456E52A4CC75E9","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_ratio065_continuous_2015_2020_m1.identity.json","False","2026-07-19T02:58:31","2026-07-19T02:58:51"
"1","10","idb_ratio085","older_2015_2018","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_ratio085_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","62E138CA64A4139BB9400FE62C50E26AA8A730AE998517543319E5C9DEF6121B","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","017838F00861745D702A7A467EB1DE59947ED225E9405081B40E2118C89D2D87","False","4AC0DF8E5412FDADAAA42CF9463F46BB7CCF0F466EBC4222FF268BDF2BBBC89C","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_ratio085_older_2015_2018_m1.identity.json","False","2026-07-19T02:58:44","2026-07-19T02:59:01"
"3","12","idb_ratio085","discovery_2019_2020","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_ratio085_discovery_2019_2020_m1.htm","Portable worker exported and copied the full MT5 report.","44B734BA98309DF88533E2F0829BDDC9E64E5E4801FE393EA3C3BFB762DAE115","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","69D29505B9C92AAFA5003DE7B1A1277B1086DB660517B7646FD483F8D19E5BDE","False","A3C014EB471F9C8F0E75D0DFFA2D5B0FDF56AB5D237ACF1DAE410A2523D944A4","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_ratio085_discovery_2019_2020_m1.identity.json","False","2026-07-19T02:58:51","2026-07-19T02:59:07"
"1","13","idb_ratio085","continuous_2015_2020","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_ratio085_continuous_2015_2020_m1.htm","Portable worker exported and copied the full MT5 report.","B58E3D58CA2FFDA722613820A1A51F8F78E8FA88A84BF31B27C9B43A4B0D40E1","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","017838F00861745D702A7A467EB1DE59947ED225E9405081B40E2118C89D2D87","False","2B6DEDEAD2A40B85932235BB4DF6E4BA744E330D71695E3302A958931794CB30","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_ratio085_continuous_2015_2020_m1.identity.json","False","2026-07-19T02:59:01","2026-07-19T02:59:18"
"3","15","idb_minratio015","older_2015_2018","REPORT_FOUND","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_minratio015_older_2015_2018_m1.htm","Portable worker exported and copied the full MT5 report.","9F1996F4DA70118C9AEF3B3BFD17B3596B21EA65DF48DB594477E2D0DE81D050","534D767F2B04A0ADB3ECC6C121CAEF6A3FB26652ACFE26C64EA45F146E67B427","69D29505B9C92AAFA5003DE7B1A1277B1086DB660517B7646FD483F8D19E5BDE","False","6591FDA5D822A4B481C31D4FD9136D614E5343B6A3B3417426F453FF5F6152C6","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\work\gdr_rdmc\outputs\independent_m15_inside_day_breakout_discovery_model1_package\reports_here\idb_minratio015_older_2015_2018_m1.identity.json","False","2026-07-19T02:59:07","2026-07-19T02:59:25"
