"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","PriorDayMoveATR","PriorDayBodyPercent","MaximumAsianRangeATR","MinimumAsianDriftATR","EntryHour","SignalBodyPercent","TakeProfitR","StopRule"
"1","odc_center","1","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_odc_center_older_2015_2018_m1.ini","odc_center_older_2015_2018_m1","profiles\odc_center.set","93714B18CCB6E927EC8EB3CF6097896F947DEE281EF23A48A27CBEB20D6EAF2C","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"3","odc_center","1","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_odc_center_discovery_2019_2020_m1.ini","odc_center_discovery_2019_2020_m1","profiles\odc_center.set","93714B18CCB6E927EC8EB3CF6097896F947DEE281EF23A48A27CBEB20D6EAF2C","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"4","odc_center","1","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_odc_center_continuous_2015_2020_m1.ini","odc_center_continuous_2015_2020_m1","profiles\odc_center.set","93714B18CCB6E927EC8EB3CF6097896F947DEE281EF23A48A27CBEB20D6EAF2C","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","45.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"6","odc_prior020","2","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_prior020.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_odc_prior020_older_2015_2018_m1.ini","odc_prior020_older_2015_2018_m1","profiles\odc_prior020.set","D1D3D52D532613E8E20D876DCB6D48330A50CD35ED14B3CF824C818415C5F636","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.20","45.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"7","odc_prior020","2","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_prior020.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_odc_prior020_discovery_2019_2020_m1.ini","odc_prior020_discovery_2019_2020_m1","profiles\odc_prior020.set","D1D3D52D532613E8E20D876DCB6D48330A50CD35ED14B3CF824C818415C5F636","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.20","45.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"9","odc_prior020","2","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_prior020.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_odc_prior020_continuous_2015_2020_m1.ini","odc_prior020_continuous_2015_2020_m1","profiles\odc_prior020.set","D1D3D52D532613E8E20D876DCB6D48330A50CD35ED14B3CF824C818415C5F636","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.20","45.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"10","odc_prior040","3","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_prior040.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_odc_prior040_older_2015_2018_m1.ini","odc_prior040_older_2015_2018_m1","profiles\odc_prior040.set","668BAC6D2A8E1D1989CC19BD9EECF90336F1F04280BAB2C253EED83F5AB5EFFE","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.40","45.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"12","odc_prior040","3","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_prior040.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_odc_prior040_discovery_2019_2020_m1.ini","odc_prior040_discovery_2019_2020_m1","profiles\odc_prior040.set","668BAC6D2A8E1D1989CC19BD9EECF90336F1F04280BAB2C253EED83F5AB5EFFE","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.40","45.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"13","odc_prior040","3","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_prior040.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_odc_prior040_continuous_2015_2020_m1.ini","odc_prior040_continuous_2015_2020_m1","profiles\odc_prior040.set","668BAC6D2A8E1D1989CC19BD9EECF90336F1F04280BAB2C253EED83F5AB5EFFE","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.40","45.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
"15","odc_priorbody35","4","independent_m15_overnight_drift_continuation","1","discovery_model1","odc_priorbody35.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_odc_priorbody35_older_2015_2018_m1.ini","odc_priorbody35_older_2015_2018_m1","profiles\odc_priorbody35.set","C0C761D74889D70C789B7EC5EE5C8FB04765FB8C92417C5A85BCE789B13F4BEA","B74E61CC7B473C03FCA79E1D8DC0C73C4512FCCF9596E439971E1D7C82149684","15","0.30","35.0","0.55","-0.15","7","35.0","1.50","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, with an adjacent one-factor shape before opening 2021-2026."
