"Candidate","Older2015To2018Net","Newer2019To2020Net","Continuous2015To2020Net","ContinuousProfitFactor","ContinuousMaxDrawdownPercent","ContinuousTrades","ContinuousWinRatePercent","ContinuousRecoveryFactor","BothDisjointErasPositive","ProfitFactorAtLeast120","TradesAtLeast60","DrawdownAtMost5Percent","DiscoveryGatePass","Decision"
"pds_volume105","-37.94","75","37.06","1.15","1.11","46","39.13","0.33","False","False","False","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pds_wick15","-95.07","48.92","-46.66","0.83","1.14","48","33.33","-0.41","False","False","False","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pds_trend","-36.92","-13.89","-50.81","0.23","1.17","10","20","-0.43","False","False","False","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pds_sweep10","-127.47","79.23","-60.89","0.85","1.93","75","38.67","-0.31","False","False","True","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pds_adx24","-51.35","-37.65","-89","0.41","1.33","28","39.29","-0.67","False","False","False","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pds_reclaim05","-114.65","38.15","-89.15","0.77","1.85","65","33.85","-0.48","False","False","True","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pds_base","-114.65","38.15","-89.15","0.77","1.85","65","33.85","-0.48","False","False","True","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pds_rr20","-123.53","33.59","-102.59","0.74","2","65","32.31","-0.51","False","False","True","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pds_session12_22","-123.33","16.41","-107.52","0.67","1.76","59","35.59","-0.61","False","False","False","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pds_midpoint","-116.28","-44.97","-166.76","0.55","2.41","63","33.33","-0.69","False","False","True","True","False","REJECTED_NO_RECENT_NO_MODEL4"
