"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","pds_base","discovery_model1","Independent M15 previous-day sweep discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\001_pds_base_older_2015_2018_m1.ini","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\001_pds_base_older_2015_2018_m1.ini","pds_base_older_2015_2018_m1","outputs\independent_m15_prevday_sweep_discovery_model1_package\reports_here\pds_base_older_2015_2018_m1","81E66BFE3E9929338CD9DACEF57517A4D5A83FEF7C388FE1D36461CCF29EF857","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"2","pds_base","discovery_model1","Independent M15 previous-day sweep discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\002_pds_base_discovery_2019_2020_m1.ini","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\002_pds_base_discovery_2019_2020_m1.ini","pds_base_discovery_2019_2020_m1","outputs\independent_m15_prevday_sweep_discovery_model1_package\reports_here\pds_base_discovery_2019_2020_m1","81E66BFE3E9929338CD9DACEF57517A4D5A83FEF7C388FE1D36461CCF29EF857","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"3","pds_base","discovery_model1","Independent M15 previous-day sweep discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\003_pds_base_continuous_2015_2020_m1.ini","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\003_pds_base_continuous_2015_2020_m1.ini","pds_base_continuous_2015_2020_m1","outputs\independent_m15_prevday_sweep_discovery_model1_package\reports_here\pds_base_continuous_2015_2020_m1","81E66BFE3E9929338CD9DACEF57517A4D5A83FEF7C388FE1D36461CCF29EF857","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"4","pds_wick15","discovery_model1","Independent M15 previous-day sweep discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\004_pds_wick15_older_2015_2018_m1.ini","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\004_pds_wick15_older_2015_2018_m1.ini","pds_wick15_older_2015_2018_m1","outputs\independent_m15_prevday_sweep_discovery_model1_package\reports_here\pds_wick15_older_2015_2018_m1","2D65B4B2B81D83768D5F3F12947D27D3246589A7A396501C505D9787AAF0F2E0","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"5","pds_wick15","discovery_model1","Independent M15 previous-day sweep discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\005_pds_wick15_discovery_2019_2020_m1.ini","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\005_pds_wick15_discovery_2019_2020_m1.ini","pds_wick15_discovery_2019_2020_m1","outputs\independent_m15_prevday_sweep_discovery_model1_package\reports_here\pds_wick15_discovery_2019_2020_m1","2D65B4B2B81D83768D5F3F12947D27D3246589A7A396501C505D9787AAF0F2E0","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"6","pds_wick15","discovery_model1","Independent M15 previous-day sweep discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\006_pds_wick15_continuous_2015_2020_m1.ini","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\006_pds_wick15_continuous_2015_2020_m1.ini","pds_wick15_continuous_2015_2020_m1","outputs\independent_m15_prevday_sweep_discovery_model1_package\reports_here\pds_wick15_continuous_2015_2020_m1","2D65B4B2B81D83768D5F3F12947D27D3246589A7A396501C505D9787AAF0F2E0","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"7","pds_sweep10","discovery_model1","Independent M15 previous-day sweep discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\007_pds_sweep10_older_2015_2018_m1.ini","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\007_pds_sweep10_older_2015_2018_m1.ini","pds_sweep10_older_2015_2018_m1","outputs\independent_m15_prevday_sweep_discovery_model1_package\reports_here\pds_sweep10_older_2015_2018_m1","27C19F9A181952E1888E9684F48F0CA9143FB16F9F30023FA3FA1D351DB4CE48","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"8","pds_sweep10","discovery_model1","Independent M15 previous-day sweep discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\008_pds_sweep10_discovery_2019_2020_m1.ini","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\008_pds_sweep10_discovery_2019_2020_m1.ini","pds_sweep10_discovery_2019_2020_m1","outputs\independent_m15_prevday_sweep_discovery_model1_package\reports_here\pds_sweep10_discovery_2019_2020_m1","27C19F9A181952E1888E9684F48F0CA9143FB16F9F30023FA3FA1D351DB4CE48","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"9","pds_sweep10","discovery_model1","Independent M15 previous-day sweep discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\009_pds_sweep10_continuous_2015_2020_m1.ini","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\009_pds_sweep10_continuous_2015_2020_m1.ini","pds_sweep10_continuous_2015_2020_m1","outputs\independent_m15_prevday_sweep_discovery_model1_package\reports_here\pds_sweep10_continuous_2015_2020_m1","27C19F9A181952E1888E9684F48F0CA9143FB16F9F30023FA3FA1D351DB4CE48","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"10","pds_reclaim05","discovery_model1","Independent M15 previous-day sweep discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\010_pds_reclaim05_older_2015_2018_m1.ini","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\010_pds_reclaim05_older_2015_2018_m1.ini","pds_reclaim05_older_2015_2018_m1","outputs\independent_m15_prevday_sweep_discovery_model1_package\reports_here\pds_reclaim05_older_2015_2018_m1","4900425C01C302078B1457F856F62DF9527C26B8FE35379B24E8B2C05EF7241C","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"11","pds_reclaim05","discovery_model1","Independent M15 previous-day sweep discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\011_pds_reclaim05_discovery_2019_2020_m1.ini","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\011_pds_reclaim05_discovery_2019_2020_m1.ini","pds_reclaim05_discovery_2019_2020_m1","outputs\independent_m15_prevday_sweep_discovery_model1_package\reports_here\pds_reclaim05_discovery_2019_2020_m1","4900425C01C302078B1457F856F62DF9527C26B8FE35379B24E8B2C05EF7241C","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"12","pds_reclaim05","discovery_model1","Independent M15 previous-day sweep discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\012_pds_reclaim05_continuous_2015_2020_m1.ini","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\012_pds_reclaim05_continuous_2015_2020_m1.ini","pds_reclaim05_continuous_2015_2020_m1","outputs\independent_m15_prevday_sweep_discovery_model1_package\reports_here\pds_reclaim05_continuous_2015_2020_m1","4900425C01C302078B1457F856F62DF9527C26B8FE35379B24E8B2C05EF7241C","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"13","pds_volume105","discovery_model1","Independent M15 previous-day sweep discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\013_pds_volume105_older_2015_2018_m1.ini","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\013_pds_volume105_older_2015_2018_m1.ini","pds_volume105_older_2015_2018_m1","outputs\independent_m15_prevday_sweep_discovery_model1_package\reports_here\pds_volume105_older_2015_2018_m1","2E68F22B3EF0494A6BEFE91CB3D6C00A585BC4455088BED8C4EB22C5E8DCD62E","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
