"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","MinimumSweepATR","MinimumReclaimATR","WickToBodyRatio","UseTickVolumeFilter","MinimumVolumeRatio","UseTrendEMAFilter","UseMaximumADXFilter","MaximumADX","TakeProfitR","UsePreviousDayMidpointTarget","SessionStartHour","SessionEndHour","StopRule"
"1","pds_base","1","independent_m15_prevday_sweep","1","discovery_model1","pds_base.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_pds_base_older_2015_2018_m1.ini","pds_base_older_2015_2018_m1","profiles\pds_base.set","81E66BFE3E9929338CD9DACEF57517A4D5A83FEF7C388FE1D36461CCF29EF857","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","false","1.10","false","false","28.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"2","pds_base","1","independent_m15_prevday_sweep","1","discovery_model1","pds_base.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_pds_base_discovery_2019_2020_m1.ini","pds_base_discovery_2019_2020_m1","profiles\pds_base.set","81E66BFE3E9929338CD9DACEF57517A4D5A83FEF7C388FE1D36461CCF29EF857","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","false","1.10","false","false","28.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"3","pds_base","1","independent_m15_prevday_sweep","1","discovery_model1","pds_base.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_pds_base_continuous_2015_2020_m1.ini","pds_base_continuous_2015_2020_m1","profiles\pds_base.set","81E66BFE3E9929338CD9DACEF57517A4D5A83FEF7C388FE1D36461CCF29EF857","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.00","false","1.10","false","false","28.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"4","pds_wick15","2","independent_m15_prevday_sweep","1","discovery_model1","pds_wick15.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_pds_wick15_older_2015_2018_m1.ini","pds_wick15_older_2015_2018_m1","profiles\pds_wick15.set","2D65B4B2B81D83768D5F3F12947D27D3246589A7A396501C505D9787AAF0F2E0","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.50","false","1.10","false","false","28.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"5","pds_wick15","2","independent_m15_prevday_sweep","1","discovery_model1","pds_wick15.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_pds_wick15_discovery_2019_2020_m1.ini","pds_wick15_discovery_2019_2020_m1","profiles\pds_wick15.set","2D65B4B2B81D83768D5F3F12947D27D3246589A7A396501C505D9787AAF0F2E0","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.50","false","1.10","false","false","28.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"6","pds_wick15","2","independent_m15_prevday_sweep","1","discovery_model1","pds_wick15.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_pds_wick15_continuous_2015_2020_m1.ini","pds_wick15_continuous_2015_2020_m1","profiles\pds_wick15.set","2D65B4B2B81D83768D5F3F12947D27D3246589A7A396501C505D9787AAF0F2E0","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.00","1.50","false","1.10","false","false","28.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"7","pds_sweep10","3","independent_m15_prevday_sweep","1","discovery_model1","pds_sweep10.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_pds_sweep10_older_2015_2018_m1.ini","pds_sweep10_older_2015_2018_m1","profiles\pds_sweep10.set","27C19F9A181952E1888E9684F48F0CA9143FB16F9F30023FA3FA1D351DB4CE48","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.10","0.00","1.00","false","1.10","false","false","28.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"8","pds_sweep10","3","independent_m15_prevday_sweep","1","discovery_model1","pds_sweep10.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_pds_sweep10_discovery_2019_2020_m1.ini","pds_sweep10_discovery_2019_2020_m1","profiles\pds_sweep10.set","27C19F9A181952E1888E9684F48F0CA9143FB16F9F30023FA3FA1D351DB4CE48","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.10","0.00","1.00","false","1.10","false","false","28.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"9","pds_sweep10","3","independent_m15_prevday_sweep","1","discovery_model1","pds_sweep10.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_pds_sweep10_continuous_2015_2020_m1.ini","pds_sweep10_continuous_2015_2020_m1","profiles\pds_sweep10.set","27C19F9A181952E1888E9684F48F0CA9143FB16F9F30023FA3FA1D351DB4CE48","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.10","0.00","1.00","false","1.10","false","false","28.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
"10","pds_reclaim05","4","independent_m15_prevday_sweep","1","discovery_model1","pds_reclaim05.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_pds_reclaim05_older_2015_2018_m1.ini","pds_reclaim05_older_2015_2018_m1","profiles\pds_reclaim05.set","4900425C01C302078B1457F856F62DF9527C26B8FE35379B24E8B2C05EF7241C","DE93CFC433C0F3A9B19A6F8D58AAF32894FC8FE6DC41F98A3745FD209C787E8E","15","0.05","0.05","1.00","false","1.10","false","false","28.0","1.50","false","6","18","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026."
