"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","StopRule","Status","ReportPath","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor","RunnerStatus","RunnerEvidence","LogTimestamp","TesterStatsTimestamp"
"1","pds_base","1","independent_m15_prevday_sweep","1","discovery_model1","pds_base.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\001_pds_base_older_2015_2018_m1.ini","pds_base_older_2015_2018_m1","profiles\pds_base.set","81E66BFE3E9929338CD9DACEF57517A4D5A83FEF7C388FE1D36461CCF29EF857","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\pds_base_older_2015_2018_m1.htm","10000","1460","3.9973","-114.65","9885.35","-1.15","-0.29","-0.29","0.45","-3.1","-5","37.84","37","6","165.51","1.65","117.33","165.51","-0.69","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"2","pds_base","1","independent_m15_prevday_sweep","1","discovery_model1","pds_base.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\002_pds_base_discovery_2019_2020_m1.ini","pds_base_discovery_2019_2020_m1","profiles\pds_base.set","81E66BFE3E9929338CD9DACEF57517A4D5A83FEF7C388FE1D36461CCF29EF857","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\pds_base_discovery_2019_2020_m1.htm","10000","730","1.9986","38.15","10038.15","0.38","0.19","0.19","1.22","1.36","4.44","28.57","28","5","140.16","1.39","90.8","140.16","0.27","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"3","pds_base","1","independent_m15_prevday_sweep","1","discovery_model1","pds_base.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\003_pds_base_continuous_2015_2020_m1.ini","pds_base_continuous_2015_2020_m1","profiles\pds_base.set","81E66BFE3E9929338CD9DACEF57517A4D5A83FEF7C388FE1D36461CCF29EF857","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\pds_base_continuous_2015_2020_m1.htm","10000","2191","5.9986","-89.15","9910.85","-0.89","-0.15","-0.15","0.77","-1.37","-5","33.85","65","6","185.45","1.85","135.58","185.45","-0.48","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"4","pds_wick15","2","independent_m15_prevday_sweep","1","discovery_model1","pds_wick15.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\004_pds_wick15_older_2015_2018_m1.ini","pds_wick15_older_2015_2018_m1","profiles\pds_wick15.set","2D65B4B2B81D83768D5F3F12947D27D3246589A7A396501C505D9787AAF0F2E0","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\pds_wick15_older_2015_2018_m1.htm","10000","1460","3.9973","-95.07","9904.93","-0.95","-0.24","-0.24","0.39","-3.66","-5","34.62","26","5","113.89","1.14","111.79","113.89","-0.83","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"5","pds_wick15","2","independent_m15_prevday_sweep","1","discovery_model1","pds_wick15.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\005_pds_wick15_discovery_2019_2020_m1.ini","pds_wick15_discovery_2019_2020_m1","profiles\pds_wick15.set","2D65B4B2B81D83768D5F3F12947D27D3246589A7A396501C505D9787AAF0F2E0","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\pds_wick15_discovery_2019_2020_m1.htm","10000","730","1.9986","48.92","10048.92","0.49","0.24","0.24","1.37","2.22","7.23","31.82","22","4","79.28","0.79","63.02","79.28","0.62","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"6","pds_wick15","2","independent_m15_prevday_sweep","1","discovery_model1","pds_wick15.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\006_pds_wick15_continuous_2015_2020_m1.ini","pds_wick15_continuous_2015_2020_m1","profiles\pds_wick15.set","2D65B4B2B81D83768D5F3F12947D27D3246589A7A396501C505D9787AAF0F2E0","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\pds_wick15_continuous_2015_2020_m1.htm","10000","2191","5.9986","-46.66","9953.34","-0.47","-0.08","-0.08","0.83","-0.97","-5","33.33","48","5","113.89","1.14","111.79","113.89","-0.41","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"7","pds_sweep10","3","independent_m15_prevday_sweep","1","discovery_model1","pds_sweep10.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\007_pds_sweep10_older_2015_2018_m1.ini","pds_sweep10_older_2015_2018_m1","profiles\pds_sweep10.set","27C19F9A181952E1888E9684F48F0CA9143FB16F9F30023FA3FA1D351DB4CE48","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\pds_sweep10_older_2015_2018_m1.htm","10000","1460","3.9973","-127.47","9872.53","-1.27","-0.32","-0.32","0.44","-3.27","-5","35.9","39","6","178.33","1.78","139.1","178.33","-0.71","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"8","pds_sweep10","3","independent_m15_prevday_sweep","1","discovery_model1","pds_sweep10.set","discovery_2019_2020","2019.01.01","2020.12.31","1","configs\008_pds_sweep10_discovery_2019_2020_m1.ini","pds_sweep10_discovery_2019_2020_m1","profiles\pds_sweep10.set","27C19F9A181952E1888E9684F48F0CA9143FB16F9F30023FA3FA1D351DB4CE48","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\pds_sweep10_discovery_2019_2020_m1.htm","10000","730","1.9986","79.23","10079.23","0.79","0.4","0.4","1.43","2.2","6.99","41.67","36","5","110.94","1.1","63.2","110.94","0.71","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"9","pds_sweep10","3","independent_m15_prevday_sweep","1","discovery_model1","pds_sweep10.set","continuous_2015_2020","2015.01.01","2020.12.31","1","configs\009_pds_sweep10_continuous_2015_2020_m1.ini","pds_sweep10_continuous_2015_2020_m1","profiles\pds_sweep10.set","27C19F9A181952E1888E9684F48F0CA9143FB16F9F30023FA3FA1D351DB4CE48","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\pds_sweep10_continuous_2015_2020_m1.htm","10000","2191","5.9986","-60.89","9939.11","-0.61","-0.1","-0.1","0.85","-0.81","-3.48","38.67","75","6","193.45","1.93","156.08","193.45","-0.31","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
"10","pds_reclaim05","4","independent_m15_prevday_sweep","1","discovery_model1","pds_reclaim05.set","older_2015_2018","2015.01.01","2018.12.31","1","configs\010_pds_reclaim05_older_2015_2018_m1.ini","pds_reclaim05_older_2015_2018_m1","profiles\pds_reclaim05.set","4900425C01C302078B1457F856F62DF9527C26B8FE35379B24E8B2C05EF7241C","Discovery only through 2020: require both disjoint eras positive, continuous PF at least 1.20, at least 60 continuous trades, DD at or below 5%, and support from neighboring sweep/rejection/payoff shapes before opening 2021-2026.","PARSED","outputs\returned_mt5_reports\first_pass_inbox\pds_reclaim05_older_2015_2018_m1.htm","10000","1460","3.9973","-114.65","9885.35","-1.15","-0.29","-0.29","0.45","-3.1","-5","37.84","37","6","165.51","1.65","117.33","165.51","-0.69","REPORT_FOUND","Copied 1 report file(s) into the first-pass inbox.","",""
