"QueueRank","Candidate","Window","Model","Status","Action","Config","ConfigExists","ExpectedReportName","FirstPassInbox","MaxCpuPercent","Reports","Evidence","Started","Finished"
"1","pds_base","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\001_pds_base_older_2015_2018_m1.ini","True","pds_base_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_base_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:08:49","2026-07-16T21:09:00"
"2","pds_base","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\002_pds_base_discovery_2019_2020_m1.ini","True","pds_base_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_base_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:09:00","2026-07-16T21:09:10"
"3","pds_base","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\003_pds_base_continuous_2015_2020_m1.ini","True","pds_base_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_base_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:09:10","2026-07-16T21:09:22"
"4","pds_wick15","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\004_pds_wick15_older_2015_2018_m1.ini","True","pds_wick15_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_wick15_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:09:22","2026-07-16T21:09:36"
"5","pds_wick15","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\005_pds_wick15_discovery_2019_2020_m1.ini","True","pds_wick15_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_wick15_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:09:36","2026-07-16T21:09:48"
"6","pds_wick15","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\006_pds_wick15_continuous_2015_2020_m1.ini","True","pds_wick15_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_wick15_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:09:48","2026-07-16T21:10:00"
"7","pds_sweep10","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\007_pds_sweep10_older_2015_2018_m1.ini","True","pds_sweep10_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_sweep10_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:10:00","2026-07-16T21:10:12"
"8","pds_sweep10","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\008_pds_sweep10_discovery_2019_2020_m1.ini","True","pds_sweep10_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_sweep10_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:10:12","2026-07-16T21:10:23"
"9","pds_sweep10","continuous_2015_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\009_pds_sweep10_continuous_2015_2020_m1.ini","True","pds_sweep10_continuous_2015_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_sweep10_continuous_2015_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:10:23","2026-07-16T21:10:35"
"10","pds_reclaim05","older_2015_2018","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\010_pds_reclaim05_older_2015_2018_m1.ini","True","pds_reclaim05_older_2015_2018_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_reclaim05_older_2015_2018_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:10:35","2026-07-16T21:10:47"
"11","pds_reclaim05","discovery_2019_2020","1","REPORT_FOUND","RUN_HIDDEN","outputs\independent_m15_prevday_sweep_discovery_model1_package\configs\011_pds_reclaim05_discovery_2019_2020_m1.ini","True","pds_reclaim05_discovery_2019_2020_m1","outputs\returned_mt5_reports\first_pass_inbox","80","C:\Users\Ant\Documents\Codex\2026-07-03\absolutely-here-s-a-summary-you\outputs\returned_mt5_reports\first_pass_inbox\pds_reclaim05_discovery_2019_2020_m1.htm","Copied 1 report file(s) into the first-pass inbox.","2026-07-16T21:10:47","2026-07-16T21:10:58"
