"Candidate","SourceType","Phase","Expected","ParsedReports","ParsedLogs","ParsedTotal","Missing","Unparsed","TotalNetProfit","WorstNetProfit","AverageAnnualizedReturnPercent","WorstAnnualizedReturnPercent","AverageCagrPercent","WorstCagrPercent","WorstDrawdownPercent","MinProfitFactor","TotalTrades"
"pds_base","independent_m15_prevday_sweep","discovery_model1","3","3","0","3","0","0","-165.65","-114.65","-0.08","-0.29","-0.08","-0.29","1.85","0.45","130"
"pds_wick15","independent_m15_prevday_sweep","discovery_model1","3","3","0","3","0","0","-92.81","-95.07","-0.03","-0.24","-0.03","-0.24","1.14","0.39","96"
"pds_sweep10","independent_m15_prevday_sweep","discovery_model1","3","3","0","3","0","0","-109.13","-127.47","-0.01","-0.32","-0.01","-0.32","1.93","0.44","150"
"pds_reclaim05","independent_m15_prevday_sweep","discovery_model1","3","3","0","3","0","0","-165.65","-114.65","-0.08","-0.29","-0.08","-0.29","1.85","0.45","130"
"pds_volume105","independent_m15_prevday_sweep","discovery_model1","3","3","0","3","0","0","74.12","-37.94","0.12","-0.09","0.11","-0.1","1.11","0.67","92"
"pds_trend","independent_m15_prevday_sweep","discovery_model1","3","3","0","3","0","0","-101.62","-50.81","-0.08","-0.09","-0.08","-0.09","1.17","0.02","20"
"pds_adx24","independent_m15_prevday_sweep","discovery_model1","3","3","0","3","0","0","-178","-89","-0.16","-0.19","-0.16","-0.19","1.33","0.34","56"
"pds_rr20","independent_m15_prevday_sweep","discovery_model1","3","3","0","3","0","0","-192.53","-123.53","-0.1","-0.31","-0.1","-0.31","2","0.43","130"
"pds_midpoint","independent_m15_prevday_sweep","discovery_model1","3","3","0","3","0","0","-328.01","-166.76","-0.27","-0.29","-0.27","-0.29","2.41","0.42","126"
"pds_session12_22","independent_m15_prevday_sweep","discovery_model1","3","3","0","3","0","0","-214.44","-123.33","-0.14","-0.31","-0.14","-0.31","1.76","0.34","118"
