"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","sip_center","discovery_model1","Independent M15 session impulse-pullback discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\001_sip_center_older_2015_2018_m1.ini","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\001_sip_center_older_2015_2018_m1.ini","sip_center_older_2015_2018_m1","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_center_older_2015_2018_m1","84421F1BAAE3E0C08B6003F9E08AB5B4CE8380295FC80EEFDD6A9672DC8C12B7","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"2","sip_center","discovery_model1","Independent M15 session impulse-pullback discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\002_sip_center_discovery_2019_2020_m1.ini","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\002_sip_center_discovery_2019_2020_m1.ini","sip_center_discovery_2019_2020_m1","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_center_discovery_2019_2020_m1","84421F1BAAE3E0C08B6003F9E08AB5B4CE8380295FC80EEFDD6A9672DC8C12B7","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"3","sip_center","discovery_model1","Independent M15 session impulse-pullback discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\003_sip_center_continuous_2015_2020_m1.ini","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\003_sip_center_continuous_2015_2020_m1.ini","sip_center_continuous_2015_2020_m1","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_center_continuous_2015_2020_m1","84421F1BAAE3E0C08B6003F9E08AB5B4CE8380295FC80EEFDD6A9672DC8C12B7","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"4","sip_end8","discovery_model1","Independent M15 session impulse-pullback discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\004_sip_end8_older_2015_2018_m1.ini","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\004_sip_end8_older_2015_2018_m1.ini","sip_end8_older_2015_2018_m1","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_end8_older_2015_2018_m1","EC61FC7924769D826D124EC8CEBACEA480F9913D175CC5E752409C3982008172","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"5","sip_end8","discovery_model1","Independent M15 session impulse-pullback discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\005_sip_end8_discovery_2019_2020_m1.ini","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\005_sip_end8_discovery_2019_2020_m1.ini","sip_end8_discovery_2019_2020_m1","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_end8_discovery_2019_2020_m1","EC61FC7924769D826D124EC8CEBACEA480F9913D175CC5E752409C3982008172","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"6","sip_end8","discovery_model1","Independent M15 session impulse-pullback discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\006_sip_end8_continuous_2015_2020_m1.ini","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\006_sip_end8_continuous_2015_2020_m1.ini","sip_end8_continuous_2015_2020_m1","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_end8_continuous_2015_2020_m1","EC61FC7924769D826D124EC8CEBACEA480F9913D175CC5E752409C3982008172","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"7","sip_end10","discovery_model1","Independent M15 session impulse-pullback discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\007_sip_end10_older_2015_2018_m1.ini","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\007_sip_end10_older_2015_2018_m1.ini","sip_end10_older_2015_2018_m1","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_end10_older_2015_2018_m1","748A53351F7B5038AE2C46B70DA6474C32F6F0D5290D8B3EFC334C2B8B3A17A8","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"8","sip_end10","discovery_model1","Independent M15 session impulse-pullback discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\008_sip_end10_discovery_2019_2020_m1.ini","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\008_sip_end10_discovery_2019_2020_m1.ini","sip_end10_discovery_2019_2020_m1","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_end10_discovery_2019_2020_m1","748A53351F7B5038AE2C46B70DA6474C32F6F0D5290D8B3EFC334C2B8B3A17A8","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"9","sip_end10","discovery_model1","Independent M15 session impulse-pullback discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\009_sip_end10_continuous_2015_2020_m1.ini","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\009_sip_end10_continuous_2015_2020_m1.ini","sip_end10_continuous_2015_2020_m1","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_end10_continuous_2015_2020_m1","748A53351F7B5038AE2C46B70DA6474C32F6F0D5290D8B3EFC334C2B8B3A17A8","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"10","sip_impulse40","discovery_model1","Independent M15 session impulse-pullback discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\010_sip_impulse40_older_2015_2018_m1.ini","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\configs\010_sip_impulse40_older_2015_2018_m1.ini","sip_impulse40_older_2015_2018_m1","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_impulse40_older_2015_2018_m1","B6FC40AFF943FFF4610C3FB95BA0F2CD416F4E07FE48A9D2551B70F9C95B2F11","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
