"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","ObservationEndHour","MinimumImpulseATR","MinimumEfficiency","MinimumDirectionalBarsPercent","MinimumPullbackRetracement","MaximumPullbackRetracement","PullbackLookbackBars","TakeProfitR","StopRule","Status","ReportPath","ReportSha256","ConfigSha256","IdentityPath","IdentityCreatedUtc","PortableBinarySha256","InitialDeposit","CalendarDays","Years","NetProfit","Balance","TotalReturnPercent","AnnualizedReturnPercent","CagrPercent","ProfitFactor","ExpectedPayoff","SharpeRatio","WinRatePercent","TotalTrades","MaxConsecutiveLosses","MaxDrawdownMoney","MaxDrawdownPercent","BalanceDrawdownMaximal","EquityDrawdownMaximal","RecoveryFactor"
"1","sip_center","1","independent_m15_session_impulse_pullback","1","discovery_model1","sip_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_sip_center_older_2015_2018_m1.ini","sip_center_older_2015_2018_m1","profiles\sip_center.set","84421F1BAAE3E0C08B6003F9E08AB5B4CE8380295FC80EEFDD6A9672DC8C12B7","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026.","PARSED","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_center_older_2015_2018_m1.htm","D69E6C732142CA7D9B3E234E3F89952823BC467052BA0C820BEAECD42A164FB6","8BC3EE554A2496479FB74CA209D03DB63823D99209878C93198BAD9D7CF534D4","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_center_older_2015_2018_m1.identity.json","2026-07-19T15:04:20.1979528Z","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","10000","1460","3.9973","-28.15","9971.85","-0.28","-0.07","-0.07","0","-9.38","-0.51","0","3","3","28.15","0.28","28.15","28.15","-1"
"2","sip_center","1","independent_m15_session_impulse_pullback","1","discovery_model1","sip_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_sip_center_discovery_2019_2020_m1.ini","sip_center_discovery_2019_2020_m1","profiles\sip_center.set","84421F1BAAE3E0C08B6003F9E08AB5B4CE8380295FC80EEFDD6A9672DC8C12B7","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026.","PARSED","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_center_discovery_2019_2020_m1.htm","BF1703C4B28359FC0728AAF765280700395CAEBDB7685759199C815753F6370D","C16E69CF7C4F7D89F61A3ED9D08AF7103ADC396E52B139EAE37A3FED71173E92","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_center_discovery_2019_2020_m1.identity.json","2026-07-19T15:04:35.9580819Z","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","10000","730","1.9986","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"3","sip_center","1","independent_m15_session_impulse_pullback","1","discovery_model1","sip_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_sip_center_continuous_2015_2020_m1.ini","sip_center_continuous_2015_2020_m1","profiles\sip_center.set","84421F1BAAE3E0C08B6003F9E08AB5B4CE8380295FC80EEFDD6A9672DC8C12B7","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.60","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026.","PARSED","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_center_continuous_2015_2020_m1.htm","500E5A5552A3D770C033590BDD8FFE75CAEB555A5A288EFFEB1246C5EA362C23","40EFE982DB1D22AB4BB7B3E5FB72DD0B6E7EB385F2F2DDA8344129DDE4695097","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_center_continuous_2015_2020_m1.identity.json","2026-07-19T15:04:55.1044602Z","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","10000","2191","5.9986","-28.15","9971.85","-0.28","-0.05","-0.05","0","-9.38","-0.51","0","3","3","28.15","0.28","28.15","28.15","-1"
"4","sip_end8","2","independent_m15_session_impulse_pullback","1","discovery_model1","sip_end8.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_sip_end8_older_2015_2018_m1.ini","sip_end8_older_2015_2018_m1","profiles\sip_end8.set","EC61FC7924769D826D124EC8CEBACEA480F9913D175CC5E752409C3982008172","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","8","0.60","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026.","PARSED","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_end8_older_2015_2018_m1.htm","16E41100B0A9B10C8A09E2AECBB23302503937549C197015E30CAA465EC79612","9B7E4BE2A901F4330CB8AF8A05CBD7E44212A6248A752B33D7B6E4BDBFF52840","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_end8_older_2015_2018_m1.identity.json","2026-07-19T15:05:13.5918682Z","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","10000","1460","3.9973","48.99","10048.99","0.49","0.12","0.12","2.03","4.08","6.71","58.33","12","1","28.26","0.28","18.69","28.26","1.7335"
"5","sip_end8","2","independent_m15_session_impulse_pullback","1","discovery_model1","sip_end8.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_sip_end8_discovery_2019_2020_m1.ini","sip_end8_discovery_2019_2020_m1","profiles\sip_end8.set","EC61FC7924769D826D124EC8CEBACEA480F9913D175CC5E752409C3982008172","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","8","0.60","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026.","PARSED","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_end8_discovery_2019_2020_m1.htm","2C4A70EF07B186E809953C79E349F2076C2863276FA2ED3E5D6FB01A6E61A8A8","138D03E030C1796DD2D15521124F9869E0D574A3EFE85C4C5AB665552CF05901","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_end8_discovery_2019_2020_m1.identity.json","2026-07-19T15:05:29.6821266Z","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","10000","730","1.9986","-15.08","9984.92","-0.15","-0.08","-0.08","0.53","-2.51","-1.24","33.33","6","4","41.49","0.41","32.24","41.49","-0.3635"
"6","sip_end8","2","independent_m15_session_impulse_pullback","1","discovery_model1","sip_end8.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_sip_end8_continuous_2015_2020_m1.ini","sip_end8_continuous_2015_2020_m1","profiles\sip_end8.set","EC61FC7924769D826D124EC8CEBACEA480F9913D175CC5E752409C3982008172","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","8","0.60","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026.","PARSED","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_end8_continuous_2015_2020_m1.htm","536172FC9F0EBE9260498DBE65A438C1BF2BDECB03FFCC1E48EBD11EDAFCD5CC","2C2ACD6213001047F41D07A3E1BE7F1BDD4832EFE841307831B620BBDBA878F8","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_end8_continuous_2015_2020_m1.identity.json","2026-07-19T15:05:48.0695935Z","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","10000","2191","5.9986","33.91","10033.91","0.34","0.06","0.06","1.42","1.88","7.92","50","18","4","43.34","0.43","33.77","43.34","0.7824"
"7","sip_end10","3","independent_m15_session_impulse_pullback","1","discovery_model1","sip_end10.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_sip_end10_older_2015_2018_m1.ini","sip_end10_older_2015_2018_m1","profiles\sip_end10.set","748A53351F7B5038AE2C46B70DA6474C32F6F0D5290D8B3EFC334C2B8B3A17A8","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","10","0.60","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026.","PARSED","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_end10_older_2015_2018_m1.htm","D649BD99102D2DBD4A3BD25E006A37E4E679AA84C4C911AE40DDB3AA99763420","E0B0D7DA378090A100F9C6AC2F7CF45A33847EBDCFA0C6FF6833D478B6919678","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_end10_older_2015_2018_m1.identity.json","2026-07-19T15:06:04.1502225Z","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","10000","1460","3.9973","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"8","sip_end10","3","independent_m15_session_impulse_pullback","1","discovery_model1","sip_end10.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_sip_end10_discovery_2019_2020_m1.ini","sip_end10_discovery_2019_2020_m1","profiles\sip_end10.set","748A53351F7B5038AE2C46B70DA6474C32F6F0D5290D8B3EFC334C2B8B3A17A8","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","10","0.60","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026.","PARSED","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_end10_discovery_2019_2020_m1.htm","FAFE7CC9585E93D1143CBAE14F1D44689C7FFA5F6CF66FFBF058A774574BE0A2","88C61DC194E28DC4E1B31CA5DB0296534DD7E81689F5DDC561EDC3EF5428E03C","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_end10_discovery_2019_2020_m1.identity.json","2026-07-19T15:06:20.3427680Z","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","10000","730","1.9986","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"9","sip_end10","3","independent_m15_session_impulse_pullback","1","discovery_model1","sip_end10.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_sip_end10_continuous_2015_2020_m1.ini","sip_end10_continuous_2015_2020_m1","profiles\sip_end10.set","748A53351F7B5038AE2C46B70DA6474C32F6F0D5290D8B3EFC334C2B8B3A17A8","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","10","0.60","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026.","PARSED","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_end10_continuous_2015_2020_m1.htm","E4E9E1F9A971A146EE7793CB4111CB8F5F57087D3AE3F93141E0190458F093FF","9F96030805A7110C06520B5709A1AB762F620A630A55645DFF8C37B3C85B0B00","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_end10_continuous_2015_2020_m1.identity.json","2026-07-19T15:06:36.1946983Z","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","10000","2191","5.9986","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"10","sip_impulse40","4","independent_m15_session_impulse_pullback","1","discovery_model1","sip_impulse40.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_sip_impulse40_older_2015_2018_m1.ini","sip_impulse40_older_2015_2018_m1","profiles\sip_impulse40.set","B6FC40AFF943FFF4610C3FB95BA0F2CD416F4E07FE48A9D2551B70F9C95B2F11","A5A4A1F8C26C7DBEDB7EAE46C599F6429626F69312A21D352883592E2D63FDD9","15","9","0.40","0.45","55.0","0.20","0.60","6","2.00","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026.","PARSED","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_impulse40_older_2015_2018_m1.htm","07B900203E8E58BACB7299BE5C3C31B6FB2978E06E074C391B7F51AFA6A5EBCE","FE520E63BF402D41D733A60D27B7693DA273616B52D4295C03595521303D3106","outputs\independent_m15_session_impulse_pullback_discovery_model1_package\reports_here\sip_impulse40_older_2015_2018_m1.identity.json","2026-07-19T15:06:52.3646226Z","69E76951ECE247CC928128D9E94C90622D42F39E15DA54C01D252689DB5A82F6","10000","1460","3.9973","-28.15","9971.85","-0.28","-0.07","-0.07","0","-9.38","-0.51","0","3","3","28.15","0.28","28.15","28.15","-1"
