"Candidate","OlderNetProfit","OlderProfitFactor","OlderTrades","LaterNetProfit","LaterProfitFactor","LaterTrades","ContinuousNetProfit","ContinuousCagrPercent","ContinuousProfitFactor","ContinuousTrades","ContinuousMaxDrawdownPercent","ContinuousExpectedPayoff","ReturnDrawdown","NumericPass","AdjacentPass","PassingNeighbors","Decision"
"sip_center","-28.15","0","3","0","0","0","-28.15","-0.05","0","3","0.28","-9.38","-1.00","False","False","","REJECT_BEFORE_HOLDOUT"
"sip_dir45","-28.15","0","3","0","0","0","-28.15","-0.05","0","3","0.28","-9.38","-1.00","False","False","","REJECT_BEFORE_HOLDOUT"
"sip_dir65","0","0","0","0","0","0","0","0","0","0","0","0","0.00","False","False","","REJECT_BEFORE_HOLDOUT"
"sip_eff35","-6.38","0.86","9","-28.08","0","3","-34.46","-0.06","0.54","12","0.59","-2.87","-0.58","False","False","","REJECT_BEFORE_HOLDOUT"
"sip_eff55","-9.8","0","1","0","0","0","-9.8","-0.02","0","1","0.1","-9.8","-1.00","False","False","","REJECT_BEFORE_HOLDOUT"
"sip_end10","0","0","0","0","0","0","0","0","0","0","0","0","0.00","False","False","","REJECT_BEFORE_HOLDOUT"
"sip_end8","48.99","2.03","12","-15.08","0.53","6","33.91","0.06","1.42","18","0.43","1.88","0.78","False","False","","REJECT_BEFORE_HOLDOUT"
"sip_impulse40","-28.15","0","3","0","0","0","-28.15","-0.05","0","3","0.28","-9.38","-1.00","False","False","","REJECT_BEFORE_HOLDOUT"
"sip_impulse80","-28.15","0","3","0","0","0","-28.15","-0.05","0","3","0.28","-9.38","-1.00","False","False","","REJECT_BEFORE_HOLDOUT"
"sip_lookback4","-28.15","0","3","0","0","0","-28.15","-0.05","0","3","0.28","-9.38","-1.00","False","False","","REJECT_BEFORE_HOLDOUT"
"sip_lookback8","-28.15","0","3","0","0","0","-28.15","-0.05","0","3","0.28","-9.38","-1.00","False","False","","REJECT_BEFORE_HOLDOUT"
"sip_maxret45","-18.35","0","2","0","0","0","-18.35","-0.03","0","2","0.18","-9.18","-1.00","False","False","","REJECT_BEFORE_HOLDOUT"
"sip_maxret75","-27.71","0.02","4","-6.8","0","1","-34.51","-0.06","0.01","5","0.46","-6.9","-0.76","False","False","","REJECT_BEFORE_HOLDOUT"
"sip_minret10","-28.15","0","3","0","0","0","-28.15","-0.05","0","3","0.28","-9.38","-1.00","False","False","","REJECT_BEFORE_HOLDOUT"
"sip_minret30","-9.8","0","1","0","0","0","-9.8","-0.02","0","1","0.1","-9.8","-0.95","False","False","","REJECT_BEFORE_HOLDOUT"
