"Candidate","OlderNetProfit","OlderProfitFactor","OlderTrades","LaterNetProfit","LaterProfitFactor","LaterTrades","ContinuousNetProfit","ContinuousCagrPercent","ContinuousProfitFactor","ContinuousTrades","ContinuousMaxDrawdownPercent","ContinuousExpectedPayoff","ReturnDrawdown","NumericPass","AdjacentPass","Decision"
"tltri_center","-391.52","0.82","454","48.99","1.05","226","-345.49","-0.58","0.89","681","4.68","-0.51","-0.74","False","False","REJECT_BEFORE_HOLDOUT"
"tltri_move10","-314.5","0.87","495","28.89","1.03","247","-287.38","-0.48","0.92","743","4.01","-0.39","-0.72","False","False","REJECT_BEFORE_HOLDOUT"
"tltri_move30","-348.31","0.83","408","110.14","1.12","210","-222.02","-0.37","0.92","619","3.88","-0.36","-0.57","False","False","REJECT_BEFORE_HOLDOUT"
"tltri_ref2","-256.08","0.9","518","-88.13","0.93","270","-349.39","-0.59","0.9","789","4.64","-0.44","-0.75","False","False","REJECT_BEFORE_HOLDOUT"
"tltri_ref3","-300.17","0.89","573","-116.24","0.92","301","-390.31","-0.66","0.9","874","4.41","-0.45","-0.88","False","False","REJECT_BEFORE_HOLDOUT"
"tltri_notrend","-485.09","0.78","453","-115.38","0.92","333","-485.09","-0.83","0.78","453","5.01","-1.07","-0.97","False","False","REJECT_BEFORE_HOLDOUT"
"tltri_trend5","-485.27","0.8","481","-57.17","0.95","258","-485.27","-0.83","0.8","481","5.01","-1.01","-0.97","False","False","REJECT_BEFORE_HOLDOUT"
"tltri_trend20","-275.6","0.86","403","59.33","1.07","206","-217.8","-0.37","0.92","610","3.48","-0.36","-0.62","False","False","REJECT_BEFORE_HOLDOUT"
"tltri_break2","-495.79","0.78","460","-14.65","0.99","263","-495.79","-0.84","0.78","460","5.01","-1.08","-0.99","False","False","REJECT_BEFORE_HOLDOUT"
"tltri_break6","-269.76","0.85","377","72.34","1.09","195","-179.32","-0.3","0.93","572","2.99","-0.31","-0.60","False","False","REJECT_BEFORE_HOLDOUT"
"tltri_buffer00","-489.5","0.78","447","39.59","1.04","238","-489.5","-0.83","0.78","447","5","-1.1","-0.98","False","False","REJECT_BEFORE_HOLDOUT"
"tltri_buffer10","-416.6","0.8","419","31.66","1.03","218","-500.09","-0.85","0.81","540","5.01","-0.93","-1.00","False","False","REJECT_BEFORE_HOLDOUT"
"tltri_tp150","-436.79","0.8","454","-11.29","0.99","226","-487.71","-0.83","0.82","569","5.01","-0.86","-0.97","False","False","REJECT_BEFORE_HOLDOUT"
"tltri_tp200","-297.88","0.87","454","136.93","1.14","226","-151.6","-0.25","0.95","681","3.75","-0.22","-0.40","False","False","REJECT_BEFORE_HOLDOUT"
"tltri_start8","-52.45","0.97","406","-93.75","0.89","197","-159.43","-0.27","0.94","604","3.03","-0.26","-0.52","False","False","REJECT_BEFORE_HOLDOUT"
