"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","PullbackEMAPeriod","PullbackLookbackBars","MinimumADX","TakeProfitR","UseSignalVolumeFilter","StopRule"
"1","m15tpb_center","1","independent_m15_trend_pullback","1","discovery_model1","m15tpb_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_m15tpb_center_older_2015_2018_m1.ini","m15tpb_center_older_2015_2018_m1","profiles\m15tpb_center.set","07E7F232259125E6795CE57A6D66751AC885D16CE3705D2B726F3B39EABA3E20","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","3","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"2","m15tpb_center","1","independent_m15_trend_pullback","1","discovery_model1","m15tpb_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_m15tpb_center_discovery_2019_2020_m1.ini","m15tpb_center_discovery_2019_2020_m1","profiles\m15tpb_center.set","07E7F232259125E6795CE57A6D66751AC885D16CE3705D2B726F3B39EABA3E20","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","3","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"3","m15tpb_center","1","independent_m15_trend_pullback","1","discovery_model1","m15tpb_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_m15tpb_center_continuous_2015_2020_m1.ini","m15tpb_center_continuous_2015_2020_m1","profiles\m15tpb_center.set","07E7F232259125E6795CE57A6D66751AC885D16CE3705D2B726F3B39EABA3E20","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","3","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"4","m15tpb_ema15","2","independent_m15_trend_pullback","1","discovery_model1","m15tpb_ema15.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_m15tpb_ema15_older_2015_2018_m1.ini","m15tpb_ema15_older_2015_2018_m1","profiles\m15tpb_ema15.set","3011A779073131D63A75932F26EEE46457FD3C1E7F4A60C0F5E7C8859984DC6F","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","15","3","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"5","m15tpb_ema15","2","independent_m15_trend_pullback","1","discovery_model1","m15tpb_ema15.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_m15tpb_ema15_discovery_2019_2020_m1.ini","m15tpb_ema15_discovery_2019_2020_m1","profiles\m15tpb_ema15.set","3011A779073131D63A75932F26EEE46457FD3C1E7F4A60C0F5E7C8859984DC6F","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","15","3","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"6","m15tpb_ema15","2","independent_m15_trend_pullback","1","discovery_model1","m15tpb_ema15.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_m15tpb_ema15_continuous_2015_2020_m1.ini","m15tpb_ema15_continuous_2015_2020_m1","profiles\m15tpb_ema15.set","3011A779073131D63A75932F26EEE46457FD3C1E7F4A60C0F5E7C8859984DC6F","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","15","3","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"7","m15tpb_ema30","3","independent_m15_trend_pullback","1","discovery_model1","m15tpb_ema30.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_m15tpb_ema30_older_2015_2018_m1.ini","m15tpb_ema30_older_2015_2018_m1","profiles\m15tpb_ema30.set","8ECDE52ED711871907953127936A8FDE79FC28EE323A6A4DDC19D697646118F4","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","30","3","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"8","m15tpb_ema30","3","independent_m15_trend_pullback","1","discovery_model1","m15tpb_ema30.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_m15tpb_ema30_discovery_2019_2020_m1.ini","m15tpb_ema30_discovery_2019_2020_m1","profiles\m15tpb_ema30.set","8ECDE52ED711871907953127936A8FDE79FC28EE323A6A4DDC19D697646118F4","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","30","3","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"9","m15tpb_ema30","3","independent_m15_trend_pullback","1","discovery_model1","m15tpb_ema30.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_m15tpb_ema30_continuous_2015_2020_m1.ini","m15tpb_ema30_continuous_2015_2020_m1","profiles\m15tpb_ema30.set","8ECDE52ED711871907953127936A8FDE79FC28EE323A6A4DDC19D697646118F4","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","30","3","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
"10","m15tpb_pb2","4","independent_m15_trend_pullback","1","discovery_model1","m15tpb_pb2.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_m15tpb_pb2_older_2015_2018_m1.ini","m15tpb_pb2_older_2015_2018_m1","profiles\m15tpb_pb2.set","8AAD820D5DCDAD41C944BC35546D0B1BC0D09AE960705611F294EA0545A7D8F6","2452BA2254D7848F768EF729C09D615DB6147D100318F4D72B73C86525CF0636","15","20","2","18.0","1.75","false","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 120 continuous trades, DD at or below 5%, and support from an adjacent EMA/pullback/ADX/payoff shape before opening 2021-2026."
