"Candidate","OlderNetProfit","OlderProfitFactor","OlderTrades","LaterNetProfit","LaterProfitFactor","LaterTrades","ContinuousNetProfit","ContinuousCagrPercent","ContinuousProfitFactor","ContinuousTrades","ContinuousMaxDrawdownPercent","NumericPass","AdjacentPass","PassingNeighbors","Decision"
"m15tpb_adx14","-205.59","0.34","51","-140.69","0.4","37","-339.78","-0.57","0.37","88","3.93","False","False","","REJECT_BEFORE_HOLDOUT"
"m15tpb_adx22","-149.37","0.27","32","-153.1","0.15","26","-297.2","-0.5","0.22","58","3.13","False","False","","REJECT_BEFORE_HOLDOUT"
"m15tpb_center","-146.31","0.42","43","-164.58","0.21","31","-305.62","-0.52","0.33","74","3.58","False","False","","REJECT_BEFORE_HOLDOUT"
"m15tpb_ema15","-234.26","0.38","65","-149.6","0.4","40","-378.91","-0.64","0.39","105","4.13","False","False","","REJECT_BEFORE_HOLDOUT"
"m15tpb_ema30","-137.78","0.33","32","-108.96","0.15","19","-241.47","-0.41","0.27","51","2.62","False","False","","REJECT_BEFORE_HOLDOUT"
"m15tpb_pb2","-158.8","0.39","43","-89.17","0.29","21","-243.86","-0.41","0.36","64","2.52","False","False","","REJECT_BEFORE_HOLDOUT"
"m15tpb_pb4","-218.51","0.33","50","-200.28","0.24","36","-417.72","-0.71","0.28","86","4.24","False","False","","REJECT_BEFORE_HOLDOUT"
"m15tpb_tp150","-119.04","0.53","43","-152.3","0.27","31","-266.07","-0.45","0.41","74","3.26","False","False","","REJECT_BEFORE_HOLDOUT"
"m15tpb_tp200","-114.03","0.55","43","-201.96","0.06","31","-313.19","-0.53","0.32","74","3.86","False","False","","REJECT_BEFORE_HOLDOUT"
"m15tpb_volume105","14.17","1.37","11","-63.19","0.01","8","-49.02","-0.08","0.52","19","1.15","False","False","","REJECT_BEFORE_HOLDOUT"
