"QueueRank","Candidate","CandidateRank","SourceType","SourceRank","Phase","Set","Window","From","To","Model","Deposit","Config","ExpectedReportName","ProfileSnapshot","ProfileSha256","SourceSha256","SignalTimeframe","ProxyLookbackBars","MinimumProxyComponentATR","MinimumConsensusATR","MaximumGoldExtensionATR","BreakoutLookbackBars","BreakoutBufferATR","TakeProfitR","StopRule"
"1","usdcll_center","1","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_center.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\001_usdcll_center_older_2015_2018_m1.ini","usdcll_center_older_2015_2018_m1","profiles\usdcll_center.set","7DED5768A5B6FB4DF584D91D8BEC857053C7C328F8B1114EBAEFA6C1938142D9","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"3","usdcll_center","1","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_center.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\002_usdcll_center_discovery_2019_2020_m1.ini","usdcll_center_discovery_2019_2020_m1","profiles\usdcll_center.set","7DED5768A5B6FB4DF584D91D8BEC857053C7C328F8B1114EBAEFA6C1938142D9","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"4","usdcll_center","1","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_center.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\003_usdcll_center_continuous_2015_2020_m1.ini","usdcll_center_continuous_2015_2020_m1","profiles\usdcll_center.set","7DED5768A5B6FB4DF584D91D8BEC857053C7C328F8B1114EBAEFA6C1938142D9","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.10","0.25","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"6","usdcll_proxy3","2","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_proxy3.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\004_usdcll_proxy3_older_2015_2018_m1.ini","usdcll_proxy3_older_2015_2018_m1","profiles\usdcll_proxy3.set","64099B6E8966C701B7F875A7FAFE30564B5E3DFE8F70C3E1699AD842D79C9E4F","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","3","0.10","0.25","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"7","usdcll_proxy3","2","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_proxy3.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\005_usdcll_proxy3_discovery_2019_2020_m1.ini","usdcll_proxy3_discovery_2019_2020_m1","profiles\usdcll_proxy3.set","64099B6E8966C701B7F875A7FAFE30564B5E3DFE8F70C3E1699AD842D79C9E4F","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","3","0.10","0.25","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"9","usdcll_proxy3","2","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_proxy3.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\006_usdcll_proxy3_continuous_2015_2020_m1.ini","usdcll_proxy3_continuous_2015_2020_m1","profiles\usdcll_proxy3.set","64099B6E8966C701B7F875A7FAFE30564B5E3DFE8F70C3E1699AD842D79C9E4F","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","3","0.10","0.25","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"10","usdcll_proxy6","3","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_proxy6.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\007_usdcll_proxy6_older_2015_2018_m1.ini","usdcll_proxy6_older_2015_2018_m1","profiles\usdcll_proxy6.set","33CAC5B24FA3D4E00692C0ECD8CC3A36215D0578D6952F9F63B0CA6AF3CAEE6D","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","6","0.10","0.25","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"12","usdcll_proxy6","3","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_proxy6.set","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","configs\008_usdcll_proxy6_discovery_2019_2020_m1.ini","usdcll_proxy6_discovery_2019_2020_m1","profiles\usdcll_proxy6.set","33CAC5B24FA3D4E00692C0ECD8CC3A36215D0578D6952F9F63B0CA6AF3CAEE6D","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","6","0.10","0.25","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"13","usdcll_proxy6","3","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_proxy6.set","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","configs\009_usdcll_proxy6_continuous_2015_2020_m1.ini","usdcll_proxy6_continuous_2015_2020_m1","profiles\usdcll_proxy6.set","33CAC5B24FA3D4E00692C0ECD8CC3A36215D0578D6952F9F63B0CA6AF3CAEE6D","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","6","0.10","0.25","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
"15","usdcll_component05","4","independent_m15_usd_consensus_lead_lag","1","discovery_model1","usdcll_component05.set","older_2015_2018","2015.01.01","2018.12.31","1","10000","configs\010_usdcll_component05_older_2015_2018_m1.ini","usdcll_component05_older_2015_2018_m1","profiles\usdcll_component05.set","7760374089C03EBFEB465F27C076CE523C9D8F3EA3C155DBBA29D68B124971C7","B19A299AB040C2050E881A481B71EEF57CD2C35155CF0EB65E5535C53C9AD7AA","15","4","0.05","0.25","0.35","4","0.05","1.75","Discovery only: require both disjoint eras positive, continuous PF at least 1.20, at least 80 continuous trades, DD at or below 3%, positive payoff and return/DD at least 1.0, plus adjacent one-factor support before opening 2021-2026."
