"Candidate","OlderNetProfit","OlderProfitFactor","OlderTrades","LaterNetProfit","LaterProfitFactor","LaterTrades","ContinuousNetProfit","ContinuousCagrPercent","ContinuousProfitFactor","ContinuousTrades","ContinuousMaxDrawdownPercent","ContinuousExpectedPayoff","ReturnDrawdown","NumericPass","AdjacentPass","Decision"
"usdcll_center","-292.67","0.66","158","41.31","1.11","85","-248.97","-0.42","0.79","243","3.81","-1.02","-0.65","False","False","REJECT_BEFORE_HOLDOUT"
"usdcll_proxy3","-267.69","0.74","198","-13.41","0.97","94","-270.89","-0.46","0.8","292","3.19","-0.93","-0.85","False","False","REJECT_BEFORE_HOLDOUT"
"usdcll_proxy6","-283.87","0.63","142","25.03","1.09","68","-251.11","-0.42","0.76","210","3.3","-1.2","-0.76","False","False","REJECT_BEFORE_HOLDOUT"
"usdcll_component05","-321.04","0.64","167","41.18","1.11","89","-272.5","-0.46","0.78","256","4.02","-1.06","-0.68","False","False","REJECT_BEFORE_HOLDOUT"
"usdcll_component15","-282.11","0.66","150","70.31","1.21","81","-204.44","-0.34","0.82","231","3.43","-0.89","-0.60","False","False","REJECT_BEFORE_HOLDOUT"
"usdcll_consensus15","-326.6","0.63","163","14.02","1.04","88","-312.52","-0.53","0.75","251","4.24","-1.25","-0.74","False","False","REJECT_BEFORE_HOLDOUT"
"usdcll_consensus35","-256.57","0.68","152","54.83","1.16","82","-194.38","-0.33","0.83","234","3.26","-0.83","-0.60","False","False","REJECT_BEFORE_HOLDOUT"
"usdcll_goldmax20","-219.46","0.66","116","39.03","1.17","59","-182.99","-0.31","0.79","175","3.03","-1.05","-0.60","False","False","REJECT_BEFORE_HOLDOUT"
"usdcll_goldmax50","-318.86","0.72","212","70.59","1.15","111","-240.01","-0.4","0.85","323","3.59","-0.74","-0.67","False","False","REJECT_BEFORE_HOLDOUT"
"usdcll_breakout3","-285.55","0.72","196","73.46","1.16","111","-208.87","-0.35","0.86","307","3.75","-0.68","-0.55","False","False","REJECT_BEFORE_HOLDOUT"
"usdcll_breakout6","-150.51","0.73","106","23.02","1.08","67","-128.09","-0.21","0.84","173","2.74","-0.74","-0.47","False","False","REJECT_BEFORE_HOLDOUT"
"usdcll_buffer00","-340.51","0.64","172","32.23","1.08","93","-304.63","-0.51","0.77","265","4.44","-1.15","-0.68","False","False","REJECT_BEFORE_HOLDOUT"
"usdcll_buffer10","-339.12","0.57","141","97.64","1.34","76","-238.86","-0.4","0.78","217","3.9","-1.1","-0.61","False","False","REJECT_BEFORE_HOLDOUT"
"usdcll_tp150","-307.81","0.64","158","-4.26","0.99","85","-315.34","-0.53","0.74","243","4.16","-1.3","-0.76","False","False","REJECT_BEFORE_HOLDOUT"
"usdcll_tp200","-279.95","0.67","158","50.38","1.14","85","-231.18","-0.39","0.81","243","3.89","-0.95","-0.59","False","False","REJECT_BEFORE_HOLDOUT"
