"QueueRank","Candidate","Phase","PhaseLabel","Window","Model","Deposit","PackageConfig","SourceConfig","ExpectedReportName","ReportDestination","ProfileSha256","StopRule"
"1","m15sqa_center_b6","discovery_model1","Independent M15 volatility-squeeze activity discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\001_m15sqa_center_b6_older_2015_2018_m1.ini","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\001_m15sqa_center_b6_older_2015_2018_m1.ini","m15sqa_center_b6_older_2015_2018_m1","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\reports_here\m15sqa_center_b6_older_2015_2018_m1","BB99DE2817FC1310FFB151DE1C1F64D07B9EF6B13C9F63AEF07744DD8366B1C5","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"2","m15sqa_center_b6","discovery_model1","Independent M15 volatility-squeeze activity discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\002_m15sqa_center_b6_discovery_2019_2020_m1.ini","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\002_m15sqa_center_b6_discovery_2019_2020_m1.ini","m15sqa_center_b6_discovery_2019_2020_m1","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\reports_here\m15sqa_center_b6_discovery_2019_2020_m1","BB99DE2817FC1310FFB151DE1C1F64D07B9EF6B13C9F63AEF07744DD8366B1C5","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"3","m15sqa_center_b6","discovery_model1","Independent M15 volatility-squeeze activity discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\003_m15sqa_center_b6_continuous_2015_2020_m1.ini","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\003_m15sqa_center_b6_continuous_2015_2020_m1.ini","m15sqa_center_b6_continuous_2015_2020_m1","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\reports_here\m15sqa_center_b6_continuous_2015_2020_m1","BB99DE2817FC1310FFB151DE1C1F64D07B9EF6B13C9F63AEF07744DD8366B1C5","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"4","m15sqa_b4","discovery_model1","Independent M15 volatility-squeeze activity discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\004_m15sqa_b4_older_2015_2018_m1.ini","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\004_m15sqa_b4_older_2015_2018_m1.ini","m15sqa_b4_older_2015_2018_m1","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\reports_here\m15sqa_b4_older_2015_2018_m1","56846225589D7C8A371522C9F26E53DF31F4DF1DF621582FF444183B0990620A","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"5","m15sqa_b4","discovery_model1","Independent M15 volatility-squeeze activity discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\005_m15sqa_b4_discovery_2019_2020_m1.ini","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\005_m15sqa_b4_discovery_2019_2020_m1.ini","m15sqa_b4_discovery_2019_2020_m1","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\reports_here\m15sqa_b4_discovery_2019_2020_m1","56846225589D7C8A371522C9F26E53DF31F4DF1DF621582FF444183B0990620A","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"6","m15sqa_b4","discovery_model1","Independent M15 volatility-squeeze activity discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\006_m15sqa_b4_continuous_2015_2020_m1.ini","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\006_m15sqa_b4_continuous_2015_2020_m1.ini","m15sqa_b4_continuous_2015_2020_m1","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\reports_here\m15sqa_b4_continuous_2015_2020_m1","56846225589D7C8A371522C9F26E53DF31F4DF1DF621582FF444183B0990620A","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"7","m15sqa_b8","discovery_model1","Independent M15 volatility-squeeze activity discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\007_m15sqa_b8_older_2015_2018_m1.ini","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\007_m15sqa_b8_older_2015_2018_m1.ini","m15sqa_b8_older_2015_2018_m1","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\reports_here\m15sqa_b8_older_2015_2018_m1","1DE7D321D06A3BC046302C73C47ED7B346A558A1F82EFCBC75C9C513638EAB4B","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"8","m15sqa_b8","discovery_model1","Independent M15 volatility-squeeze activity discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\008_m15sqa_b8_discovery_2019_2020_m1.ini","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\008_m15sqa_b8_discovery_2019_2020_m1.ini","m15sqa_b8_discovery_2019_2020_m1","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\reports_here\m15sqa_b8_discovery_2019_2020_m1","1DE7D321D06A3BC046302C73C47ED7B346A558A1F82EFCBC75C9C513638EAB4B","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"9","m15sqa_b8","discovery_model1","Independent M15 volatility-squeeze activity discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\009_m15sqa_b8_continuous_2015_2020_m1.ini","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\009_m15sqa_b8_continuous_2015_2020_m1.ini","m15sqa_b8_continuous_2015_2020_m1","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\reports_here\m15sqa_b8_continuous_2015_2020_m1","1DE7D321D06A3BC046302C73C47ED7B346A558A1F82EFCBC75C9C513638EAB4B","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"10","m15sqa_b10","discovery_model1","Independent M15 volatility-squeeze activity discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\010_m15sqa_b10_older_2015_2018_m1.ini","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\010_m15sqa_b10_older_2015_2018_m1.ini","m15sqa_b10_older_2015_2018_m1","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\reports_here\m15sqa_b10_older_2015_2018_m1","1BB5F1549B25158982F3F80A3293A0D4579973E856F5BD902FC632221781D04A","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"11","m15sqa_b10","discovery_model1","Independent M15 volatility-squeeze activity discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\011_m15sqa_b10_discovery_2019_2020_m1.ini","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\011_m15sqa_b10_discovery_2019_2020_m1.ini","m15sqa_b10_discovery_2019_2020_m1","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\reports_here\m15sqa_b10_discovery_2019_2020_m1","1BB5F1549B25158982F3F80A3293A0D4579973E856F5BD902FC632221781D04A","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"12","m15sqa_b10","discovery_model1","Independent M15 volatility-squeeze activity discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\012_m15sqa_b10_continuous_2015_2020_m1.ini","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\012_m15sqa_b10_continuous_2015_2020_m1.ini","m15sqa_b10_continuous_2015_2020_m1","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\reports_here\m15sqa_b10_continuous_2015_2020_m1","1BB5F1549B25158982F3F80A3293A0D4579973E856F5BD902FC632221781D04A","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"13","m15sqa_sq2","discovery_model1","Independent M15 volatility-squeeze activity discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\013_m15sqa_sq2_older_2015_2018_m1.ini","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\013_m15sqa_sq2_older_2015_2018_m1.ini","m15sqa_sq2_older_2015_2018_m1","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\reports_here\m15sqa_sq2_older_2015_2018_m1","543DE2B95DBAF9925A46C6DB5509132F137360E9962BB8AC3879010BD6E61659","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"14","m15sqa_sq2","discovery_model1","Independent M15 volatility-squeeze activity discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\014_m15sqa_sq2_discovery_2019_2020_m1.ini","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\014_m15sqa_sq2_discovery_2019_2020_m1.ini","m15sqa_sq2_discovery_2019_2020_m1","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\reports_here\m15sqa_sq2_discovery_2019_2020_m1","543DE2B95DBAF9925A46C6DB5509132F137360E9962BB8AC3879010BD6E61659","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"15","m15sqa_sq2","discovery_model1","Independent M15 volatility-squeeze activity discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\015_m15sqa_sq2_continuous_2015_2020_m1.ini","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\015_m15sqa_sq2_continuous_2015_2020_m1.ini","m15sqa_sq2_continuous_2015_2020_m1","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\reports_here\m15sqa_sq2_continuous_2015_2020_m1","543DE2B95DBAF9925A46C6DB5509132F137360E9962BB8AC3879010BD6E61659","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"16","m15sqa_sq4","discovery_model1","Independent M15 volatility-squeeze activity discovery Model1","older_2015_2018","1","10000","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\016_m15sqa_sq4_older_2015_2018_m1.ini","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\016_m15sqa_sq4_older_2015_2018_m1.ini","m15sqa_sq4_older_2015_2018_m1","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\reports_here\m15sqa_sq4_older_2015_2018_m1","6FFADA475C3895AFDEBA8C7711CCB1B2FDB04442BF152B5F3276A85C88D541B8","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"17","m15sqa_sq4","discovery_model1","Independent M15 volatility-squeeze activity discovery Model1","discovery_2019_2020","1","10000","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\017_m15sqa_sq4_discovery_2019_2020_m1.ini","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\017_m15sqa_sq4_discovery_2019_2020_m1.ini","m15sqa_sq4_discovery_2019_2020_m1","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\reports_here\m15sqa_sq4_discovery_2019_2020_m1","6FFADA475C3895AFDEBA8C7711CCB1B2FDB04442BF152B5F3276A85C88D541B8","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
"18","m15sqa_sq4","discovery_model1","Independent M15 volatility-squeeze activity discovery Model1","continuous_2015_2020","1","10000","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\018_m15sqa_sq4_continuous_2015_2020_m1.ini","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\configs\018_m15sqa_sq4_continuous_2015_2020_m1.ini","m15sqa_sq4_continuous_2015_2020_m1","outputs\independent_m15_volatility_squeeze_activity_discovery_model1_package\reports_here\m15sqa_sq4_continuous_2015_2020_m1","6FFADA475C3895AFDEBA8C7711CCB1B2FDB04442BF152B5F3276A85C88D541B8","Discovery only: both disjoint eras must be positive; continuous PF >= 1.20, trades >= 120, DD <= 5%, and an adjacent squeeze/breakout/payoff shape must pass before opening 2021-2026."
