"Candidate","OlderNetProfit","OlderProfitFactor","OlderTrades","LaterNetProfit","LaterProfitFactor","LaterTrades","ContinuousNetProfit","ContinuousCagrPercent","ContinuousProfitFactor","ContinuousTrades","ContinuousMaxDrawdownPercent","NumericPass","AdjacentPass","PassingNeighbors","Decision"
"m15sqa_b10","64.58","1.29","45","36.83","1.32","26","103.28","0.17","1.31","71","0.63","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sqa_b4","31.9","1.07","92","99.48","1.51","45","131.38","0.22","1.19","137","1.06","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sqa_b8","98.71","1.38","55","81.19","1.57","33","177.89","0.29","1.44","88","0.48","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sqa_center_b6","27.35","1.07","71","96.78","1.57","39","124.13","0.21","1.23","110","0.79","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sqa_exp090","-108.65","0.81","95","66.17","1.24","59","-43.6","-0.07","0.95","154","1.53","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sqa_exp100","-40.55","0.92","85","83.88","1.4","45","45.34","0.08","1.07","130","1.06","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sqa_exp120","61.5","1.23","55","79.61","1.56","32","142.2","0.24","1.34","87","0.59","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sqa_kc140","60.89","1.23","54","61.41","1.57","24","123.39","0.2","1.33","78","0.52","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sqa_kc160","3.6","1.01","88","104.89","1.43","53","108.49","0.18","1.15","141","1.28","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sqa_kc170","-152.01","0.75","106","59.39","1.19","62","-97.23","-0.16","0.89","168","1.87","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sqa_session420","57.01","1.11","100","89","1.39","52","144.57","0.24","1.19","152","0.95","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sqa_sq2","-38.4","0.91","75","57.55","1.26","44","19.29","0.03","1.03","119","1.16","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sqa_sq4","38.24","1.13","55","44.37","1.25","36","82.61","0.14","1.18","91","0.79","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sqa_trend200","-33.67","0.91","70","101.79","1.57","41","68.12","0.11","1.12","111","1.1","False","False","","REJECT_BEFORE_HOLDOUT"
"m15sqa_trend50","16.31","1.04","71","40.56","1.22","37","56.87","0.09","1.1","108","0.71","False","False","","REJECT_BEFORE_HOLDOUT"
